Gruppo patologie: Dati di prevalenza Ipertensione
Genere: Maschi
Classi età: 80-84
Indicatore: Numero assoluto
Anni¹: 2022


Leonessa;27
Licenza;10
Longone Sabino;12
Lubriano;9
Maenza;21
Magliano Romano;5
Magliano Sabina;39
Mandela;9
Manziana;66
Marano Equo;10
Marcellina;45
Marcetelli;(*)
Marino;293
Marta;43
Mazzano Romano;16
Mentana;129
Micigliano;(*)
Minturno;206
Mompeo;8
Montalto Di Castro;80
Montasola;5
Monte Porzio Catone;74
Monte Romano;15
Monte San Biagio;66
Monte San Giovanni Campano;108
Monte San Giovanni In Sabina;9
Montebuono;14
Montecompatri;74
Montefiascone;127
Monteflavio;8
Montelanico;21
Monteleone Sabino;13
Montelibretti;49
Montenero Sabino;6
Monterosi;17
Monterotondo;270
Montopoli Di Sabina;31
Montorio Romano;14
Moricone;17
Morlupo;66
Morolo;33
Morro Reatino;8
Nazzano;21
Nemi;13
Nepi;57
Nerola;17
Nespolo;4
Nettuno;367
Norma;34
Olevano Romano;60
Onano;8
Oriolo Romano;25
Orte;83
Orvinio;6
Paganico;(*)
Palestrina;129
Paliano;54
Palombara Sabina;79
Pastena;17
Patrica;26
Percile;4
Pescorocchiano;25
Pescosolido;8
Petrella Salto;19
Piansano;21
Picinisco;12
Pico;39
Piedimonte San Germano;34
Piglio;54
Pignataro Interamna;25
Pisoniano;8
Pofi;55
Poggio Bustone;11
Poggio Catino;15
Poggio Mirteto;58
Poggio Moiano;30
Poggio Nativo;29
Poggio San Lorenzo;5
Poli;14
Pomezia;365
Pontecorvo;121
Pontinia;97
Ponza;25
Ponzano Romano;6
Posta;13
Posta Fibreno;22
Pozzaglia Sabino;5
Priverno;130
Proceno;10
Prossedi;15
Riano;72
Rieti;484
Rignano Flaminio;62
Riofreddo;6
Ripi;60
Rivodutri;21
Rocca Canterano;(*)
Rocca D'Arce;10
Rocca Di Cave;4
Rocca Di Papa;94
Rocca Massima;16
Rocca Priora;82
Rocca Santo Stefano;13
Rocca Sinibalda;11
Roccagiovine;5
Roccagorga;42
Roccantica;12
Roccasecca;84
Roccasecca Dei Volsci;11
Roiate;9
Roma;26334
Ronciglione;57
Roviano;14
Sabaudia;130
Sacrofano;61
Salisano;7
Sambuci;9
San Biagio Saracinisco;(*)
San Cesareo;84
San Donato Val Di Comino;25
San Felice Circeo;91
San Giorgio A Liri;35
San Giovanni Incarico;53
San Gregorio Da Sassola;17
San Lorenzo Nuovo;30
San Polo Dei Cavalieri;22
San Vito Romano;30
San Vittore Del Lazio;20
Sant'Ambrogio Sul Garigliano;10
Sant'Andrea Del Garigliano;17
Sant'Angelo Romano;31
Sant'Apollinare;16
Sant'Elia Fiumerapido;68
Sant'Oreste;26
Santa Marinella;161
Santi Cosma E Damiano;67
Santopadre;17
Saracinesco;0
Scandriglia;25
Segni;101
Selci;16
Sermoneta;75
Serrone;29
Settefrati;6
Sezze;183
Sgurgola;23
Sonnino;79
Sora;252
Soriano Nel Cimino;69
Sperlonga;36
Spigno Saturnia;27
Stimigliano;12
Strangolagalli;14
Subiaco;82
Supino;41
Sutri;56
Tarano;13
Tarquinia;161
Terelle;8
Terracina;381
Tessennano;5
Tivoli;443
Toffia;15
Tolfa;48
Torre Cajetani;10
Torri In Sabina;21
Torrice;40
Torricella In Sabina;19
Torrita Tiberina;9
Trevi Nel Lazio;23
Trevignano Romano;44
Trivigliano;16
Turania;(*)
Tuscania;69
Vacone;10
Valentano;26
Vallecorsa;49
Vallemaio;18
Vallepietra;5
Vallerano;31
Vallerotonda;22
Vallinfreda;8
Valmontone;101
Varco Sabino;6
Vasanello;24
Vejano;25
Velletri;426
Ventotene;5
Veroli;170
Vetralla;131
Vicalvi;14
Vico Nel Lazio;16
Vicovaro;26
Vignanello;42
Villa Latina;16
Villa San Giovanni In Tuscia;16
Villa Santa Lucia;28
Villa Santo Stefano;18
Viterbo;573
Viticuso;4
Vitorchiano;27
Vivaro Romano;4
Zagarolo;114
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza

Fonte www.opensalutelazio.it
