"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"ROMA 6","""30_34""",15378,15843,2572,2797,17950,18640,36590,318332,310109,628441,628441,96,161,257,36333,115049,513392,628441,9,17,26,36564,9449,618992,628441
"ROMA 6","""35_39""",17196,17968,3025,3702,20221,21670,41891,318332,310109,628441,628441,202,400,602,41289,115049,513392,628441,12,24,36,41855,9449,618992,628441
"ROMA 6","""40_44""",20453,20330,3463,3743,23916,24073,47989,318332,310109,628441,628441,659,964,1623,46366,115049,513392,628441,15,34,49,47940,9449,618992,628441
"ROMA 6","""45_49""",24581,24261,3244,3204,27825,27465,55290,318332,310109,628441,628441,1551,2499,4050,51240,115049,513392,628441,35,87,122,55168,9449,618992,628441
"ROMA 6","""50_54""",24792,24243,2913,2557,27705,26800,54505,318332,310109,628441,628441,3158,4432,7590,46915,115049,513392,628441,81,192,273,54232,9449,618992,628441
"ROMA 6","""55_59""",23553,23045,1880,1515,25433,24560,49993,318332,310109,628441,628441,5196,6695,11891,38102,115049,513392,628441,130,326,456,49537,9449,618992,628441
"ROMA 6","""60_64""",19941,18865,1368,994,21309,19859,41168,318332,310109,628441,628441,6488,7597,14085,27083,115049,513392,628441,240,480,720,40448,9449,618992,628441
"ROMA 6","""65_69""",17158,15669,746,470,17904,16139,34043,318332,310109,628441,628441,7805,8171,15976,18067,115049,513392,628441,310,578,888,33155,9449,618992,628441
"ROMA 6","""70_74""",15734,14229,374,204,16108,14433,30541,318332,310109,628441,628441,9000,8822,17822,12719,115049,513392,628441,546,789,1335,29206,9449,618992,628441
"ROMA 6","""75_79""",12451,10536,159,100,12610,10636,23246,318332,310109,628441,628441,8447,7180,15627,7619,115049,513392,628441,689,828,1517,21729,9449,618992,628441
"ROMA 6","""80_84""",10587,7770,105,63,10692,7833,18525,318332,310109,628441,628441,7701,5547,13248,5277,115049,513392,628441,898,802,1700,16825,9449,618992,628441
"ROMA 6","""85_100""",10401,5587,86,40,10487,5627,16114,318332,310109,628441,628441,7811,4097,11908,4206,115049,513392,628441,1453,830,2283,13831,9449,618992,628441
"VITERBO","""00_04""",4765,5081,749,863,5514,5944,11458,172137,166470,338607,338607,0,6,6,11452,66370,272237,338607,4,5,9,11449,5415,333192,338607
"VITERBO","""05_09""",5990,6226,822,855,6812,7081,13893,172137,166470,338607,338607,6,7,13,13880,66370,272237,338607,0,0,0,13893,5415,333192,338607
"VITERBO","""10_14""",6623,7075,753,810,7376,7885,15261,172137,166470,338607,338607,7,13,20,15241,66370,272237,338607,0,0,0,15261,5415,333192,338607
"VITERBO","""15_19""",6535,6934,661,644,7196,7578,14774,172137,166470,338607,338607,11,16,27,14747,66370,272237,338607,0,0,0,14774,5415,333192,338607
"VITERBO","""20_24""",6662,7299,685,1026,7347,8325,15672,172137,166470,338607,338607,8,21,29,15643,66370,272237,338607,0,0,0,15672,5415,333192,338607
"VITERBO","""25_29""",6906,7735,960,1247,7866,8982,16848,172137,166470,338607,338607,13,28,41,16807,66370,272237,338607,0,0,0,16848,5415,333192,338607
"VITERBO","""30_34""",7919,8378,1432,1498,9351,9876,19227,172137,166470,338607,338607,31,60,91,19136,66370,272237,338607,4,0,4,19223,5415,333192,338607
"VITERBO","""35_39""",9039,9082,1612,1673,10651,10755,21406,172137,166470,338607,338607,90,202,292,21114,66370,272237,338607,9,12,21,21385,5415,333192,338607
"VITERBO","""40_44""",10453,10668,1668,1651,12121,12319,24440,172137,166470,338607,338607,282,520,802,23638,66370,272237,338607,4,20,24,24416,5415,333192,338607
"VITERBO","""45_49""",12294,12326,1542,1479,13836,13805,27641,172137,166470,338607,338607,726,1262,1988,25653,66370,272237,338607,13,52,65,27576,5415,333192,338607
"VITERBO","""50_54""",12768,12407,1457,1189,14225,13596,27821,172137,166470,338607,338607,1573,2182,3755,24066,66370,272237,338607,35,71,106,27715,5415,333192,338607
"VITERBO","""55_59""",12676,12755,972,732,13648,13487,27135,172137,166470,338607,338607,2522,3486,6008,21127,66370,272237,338607,57,143,200,26935,5415,333192,338607
"VITERBO","""60_64""",11388,10855,788,510,12176,11365,23541,172137,166470,338607,338607,3337,4152,7489,16052,66370,272237,338607,87,239,326,23215,5415,333192,338607
"VITERBO","""65_69""",10456,9852,504,282,10960,10134,21094,172137,166470,338607,338607,4353,4805,9158,11936,66370,272237,338607,159,309,468,20626,5415,333192,338607
"VITERBO","""70_74""",9866,9193,274,144,10140,9337,19477,172137,166470,338607,338607,5282,5374,10656,8821,66370,272237,338607,295,461,756,18721,5415,333192,338607
"VITERBO","""75_79""",7961,6725,117,88,8078,6813,14891,172137,166470,338607,338607,5001,4369,9370,5521,66370,272237,338607,389,515,904,13987,5415,333192,338607
"VITERBO","""80_84""",7036,5160,76,46,7112,5206,12318,172137,166470,338607,338607,4872,3522,8394,3924,66370,272237,338607,527,503,1030,11288,5415,333192,338607
"VITERBO","""85_100""",7690,3959,38,23,7728,3982,11710,172137,166470,338607,338607,5446,2785,8231,3479,66370,272237,338607,939,563,1502,10208,5415,333192,338607
