"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"RIETI","""00_04""",2147,2446,255,309,2402,2755,5157,82212,82150,164362,164362,0,0,0,5157,37389,126973,164362,0,0,0,5157,3290,161072,164362
"RIETI","""05_09""",2662,2864,299,336,2961,3200,6161,82212,82150,164362,164362,0,0,0,6161,37389,126973,164362,0,0,0,6161,3290,161072,164362
"RIETI","""10_14""",3045,3216,297,316,3342,3532,6874,82212,82150,164362,164362,0,6,6,6868,37389,126973,164362,0,0,0,6874,3290,161072,164362
"RIETI","""15_19""",3051,3445,249,326,3300,3771,7071,82212,82150,164362,164362,10,19,29,7042,37389,126973,164362,0,0,0,7071,3290,161072,164362
"RIETI","""20_24""",3326,3693,300,609,3626,4302,7928,82212,82150,164362,164362,0,8,8,7920,37389,126973,164362,0,0,0,7928,3290,161072,164362
"RIETI","""25_29""",3583,4372,414,836,3997,5208,9205,82212,82150,164362,164362,5,28,33,9172,37389,126973,164362,0,0,0,9205,3290,161072,164362
"RIETI","""30_34""",3757,4318,538,894,4295,5212,9507,82212,82150,164362,164362,28,50,78,9429,37389,126973,164362,0,6,6,9501,3290,161072,164362
"RIETI","""35_39""",3975,4355,628,775,4603,5130,9733,82212,82150,164362,164362,56,129,185,9548,37389,126973,164362,0,5,5,9728,3290,161072,164362
"RIETI","""40_44""",4753,4866,679,673,5432,5539,10971,82212,82150,164362,164362,217,294,511,10460,37389,126973,164362,4,11,15,10956,3290,161072,164362
"RIETI","""45_49""",5672,5690,713,567,6385,6257,12642,82212,82150,164362,164362,464,720,1184,11458,37389,126973,164362,17,21,38,12604,3290,161072,164362
"RIETI","""50_54""",6128,5972,669,489,6797,6461,13258,82212,82150,164362,164362,954,1317,2271,10987,37389,126973,164362,21,41,62,13196,3290,161072,164362
"RIETI","""55_59""",6328,6253,495,298,6823,6551,13374,82212,82150,164362,164362,1608,2042,3650,9724,37389,126973,164362,34,94,128,13246,3290,161072,164362
"RIETI","""60_64""",5598,5385,384,172,5982,5557,11539,82212,82150,164362,164362,1975,2296,4271,7268,37389,126973,164362,65,123,188,11351,3290,161072,164362
"RIETI","""65_69""",5064,4971,225,104,5289,5075,10364,82212,82150,164362,164362,2335,2588,4923,5441,37389,126973,164362,96,191,287,10077,3290,161072,164362
"RIETI","""70_74""",5006,4838,137,61,5143,4899,10042,82212,82150,164362,164362,2915,2948,5863,4179,37389,126973,164362,170,274,444,9598,3290,161072,164362
"RIETI","""75_79""",3789,3478,62,34,3851,3512,7363,82212,82150,164362,164362,2556,2334,4890,2473,37389,126973,164362,206,292,498,6865,3290,161072,164362
"RIETI","""80_84""",3705,2802,34,15,3739,2817,6556,82212,82150,164362,164362,2705,1966,4671,1885,37389,126973,164362,366,307,673,5883,3290,161072,164362
"RIETI","""85_100""",4225,2365,20,7,4245,2372,6617,82212,82150,164362,164362,3118,1698,4816,1801,37389,126973,164362,607,339,946,5671,3290,161072,164362
"ROMA 1","""00_04""",16585,17494,2430,2527,19015,20021,39036,599352,524383,1123735,1123735,8,6,14,39022,190739,932996,1123735,7,10,17,39019,15951,1107784,1123735
"ROMA 1","""05_09""",20150,21550,2933,3186,23083,24736,47819,599352,524383,1123735,1123735,17,25,42,47777,190739,932996,1123735,4,0,4,47815,15951,1107784,1123735
"ROMA 1","""10_14""",22467,23877,2747,2957,25214,26834,52048,599352,524383,1123735,1123735,16,46,62,51986,190739,932996,1123735,0,0,0,52048,15951,1107784,1123735
"ROMA 1","""15_19""",22384,23406,2213,2528,24597,25934,50531,599352,524383,1123735,1123735,40,70,110,50421,190739,932996,1123735,8,8,16,50515,15951,1107784,1123735
