"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL","hf_fem","hf_male","hpt_fem","hpt_male","tot_hpt","tot_nohpt","male_nohpt","fem_nohpt","tot_hf","tot_nohf","male_nohf","fem_nohf","mar_hptASL","mar_nohptASL","mar_hfASL","mar_nohfASL","mar_hptmanASL","mar_nohptmanASL","mar_hptfemASL","mar_nohptfemASL","mar_hfmanASL","mar_nohfmanASL","mar_hffemASL","mar_nohffemASL"
"LATINA","40_44",19231,20097,2639,3571,21870,23668,45538,310233,309924,620157,620157,21,40,669,1118,1787,43751,22550,21201,61,45477,23628,21849,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","45_49",22927,23286,2379,2882,25306,26168,51474,310233,309924,620157,620157,34,106,1734,2608,4342,47132,23560,23572,140,51334,26062,25272,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","50_54",23437,22965,2106,2186,25543,25151,50694,310233,309924,620157,620157,86,179,3457,4453,7910,42784,20698,22086,265,50429,24972,25457,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","55_59",22632,21877,1333,1152,23965,23029,46994,310233,309924,620157,620157,162,302,5462,6545,12007,34987,16484,18503,464,46530,22727,23803,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","60_64",19289,18014,941,692,20230,18706,38936,310233,309924,620157,620157,223,387,6868,7471,14339,24597,11235,13362,610,38326,18319,20007,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","65_69",16998,15910,466,326,17464,16236,33700,310233,309924,620157,620157,326,563,8288,8428,16716,16984,7808,9176,889,32811,15673,17138,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","70_74",17217,15503,285,147,17502,15650,33152,310233,309924,620157,620157,573,787,10276,9534,19810,13342,6116,7226,1360,31792,14863,16929,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","75_79",12445,10543,112,64,12557,10607,23164,310233,309924,620157,620157,726,741,8613,7126,15739,7425,3481,3944,1467,21697,9866,11831,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","80_84",11085,8476,79,38,11164,8514,19678,310233,309924,620157,620157,976,857,8347,6086,14433,5245,2428,2817,1833,17845,7657,10188,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"LATINA","85_100",11334,6446,52,30,11386,6476,17862,310233,309924,620157,620157,1587,916,8785,4686,13471,4391,1790,2601,2503,15359,5560,9799,121945,498212,9701,610456,58911,251013,63034,247199,4947,304977,4754,305479
"RIETI","00_04",2147,2446,255,309,2402,2755,5157,82212,82150,164362,164362,0,0,0,0,0,5157,2755,2402,0,5157,2755,2402,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","05_09",2662,2864,299,336,2961,3200,6161,82212,82150,164362,164362,0,0,0,0,0,6161,3200,2961,0,6161,3200,2961,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","10_14",3045,3216,297,316,3342,3532,6874,82212,82150,164362,164362,0,0,0,6,6,6868,3526,3342,0,6874,3532,3342,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","15_19",3051,3445,249,326,3300,3771,7071,82212,82150,164362,164362,0,0,10,19,29,7042,3752,3290,0,7071,3771,3300,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","20_24",3326,3693,300,609,3626,4302,7928,82212,82150,164362,164362,0,0,0,8,8,7920,4294,3626,0,7928,4302,3626,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","25_29",3583,4372,414,836,3997,5208,9205,82212,82150,164362,164362,0,0,5,28,33,9172,5180,3992,0,9205,5208,3997,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","30_34",3757,4318,538,894,4295,5212,9507,82212,82150,164362,164362,0,6,28,50,78,9429,5162,4267,6,9501,5206,4295,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","35_39",3975,4355,628,775,4603,5130,9733,82212,82150,164362,164362,0,5,56,129,185,9548,5001,4547,5,9728,5125,4603,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","40_44",4753,4866,679,673,5432,5539,10971,82212,82150,164362,164362,4,11,217,294,511,10460,5245,5215,15,10956,5528,5428,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","45_49",5672,5690,713,567,6385,6257,12642,82212,82150,164362,164362,17,21,464,720,1184,11458,5537,5921,38,12604,6236,6368,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","50_54",6128,5972,669,489,6797,6461,13258,82212,82150,164362,164362,21,41,954,1317,2271,10987,5144,5843,62,13196,6420,6776,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","55_59",6328,6253,495,298,6823,6551,13374,82212,82150,164362,164362,34,94,1608,2042,3650,9724,4509,5215,128,13246,6457,6789,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","60_64",5598,5385,384,172,5982,5557,11539,82212,82150,164362,164362,65,123,1975,2296,4271,7268,3261,4007,188,11351,5434,5917,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","65_69",5064,4971,225,104,5289,5075,10364,82212,82150,164362,164362,96,191,2335,2588,4923,5441,2487,2954,287,10077,4884,5193,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","70_74",5006,4838,137,61,5143,4899,10042,82212,82150,164362,164362,170,274,2915,2948,5863,4179,1951,2228,444,9598,4625,4973,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","75_79",3789,3478,62,34,3851,3512,7363,82212,82150,164362,164362,206,292,2556,2334,4890,2473,1178,1295,498,6865,3220,3645,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","80_84",3705,2802,34,15,3739,2817,6556,82212,82150,164362,164362,366,307,2705,1966,4671,1885,851,1034,673,5883,2510,3373,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"RIETI","85_100",4225,2365,20,7,4245,2372,6617,82212,82150,164362,164362,607,339,3118,1698,4816,1801,674,1127,946,5671,2033,3638,37389,126973,3290,161072,18443,63707,18946,63266,1704,80446,1586,80626
"ROMA 1","00_04",16585,17494,2430,2527,19015,20021,39036,599352,524383,1123735,1123735,7,10,8,6,14,39022,20015,19007,17,39019,20011,19008,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","05_09",20150,21550,2933,3186,23083,24736,47819,599352,524383,1123735,1123735,4,0,17,25,42,47777,24711,23066,4,47815,24736,23079,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","10_14",22467,23877,2747,2957,25214,26834,52048,599352,524383,1123735,1123735,0,0,16,46,62,51986,26788,25198,0,52048,26834,25214,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","15_19",22384,23406,2213,2528,24597,25934,50531,599352,524383,1123735,1123735,8,8,40,70,110,50421,25864,24557,16,50515,25926,24589,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","20_24",21246,22704,2019,2691,23265,25395,48660,599352,524383,1123735,1123735,7,9,46,92,138,48522,25303,23219,16,48644,25386,23258,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","25_29",22739,24008,3345,3999,26084,28007,54091,599352,524383,1123735,1123735,8,18,51,124,175,53916,27883,26033,26,54065,27989,26076,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","30_34",25478,25326,5175,5398,30653,30724,61377,599352,524383,1123735,1123735,19,15,123,199,322,61055,30525,30530,34,61343,30709,30634,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","35_39",29493,28068,7007,7252,36500,35320,71820,599352,524383,1123735,1123735,9,29,247,523,770,71050,34797,36253,38,71782,35291,36491,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","40_44",34333,31281,8083,7468,42416,38749,81165,599352,524383,1123735,1123735,29,57,734,1364,2098,79067,37385,41682,86,81079,38692,42387,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","45_49",42546,37423,8197,6614,50743,44037,94780,599352,524383,1123735,1123735,52,132,2011,3179,5190,89590,40858,48732,184,94596,43905,50691,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","50_54",46163,40009,8260,5454,54423,45463,99886,599352,524383,1123735,1123735,86,242,4456,5884,10340,89546,39579,49967,328,99558,45221,54337,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
