Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMINAZI
"""00-04""";10165;10931;1582;1659;ROMA 3
"""05-09""";13275;13735;1837;1938;ROMA 3
"""10-14""";14753;15593;1653;1777;ROMA 3
"""15-19""";14034;15135;1272;1441;ROMA 3
"""20-24""";13177;14554;1179;1709;ROMA 3
"""25-29""";13323;14124;1835;2210;ROMA 3
"""30-34""";14551;14727;2844;2921;ROMA 3
"""35-39""";16823;16507;3665;4021;ROMA 3
"""40-44""";20974;19508;4047;4214;ROMA 3
"""45-49""";26699;24504;4015;3371;ROMA 3
"""50-54""";27897;25646;3870;2721;ROMA 3
"""55-59""";25713;24264;2746;1752;ROMA 3
"""60-64""";20498;18081;2152;1150;ROMA 3
"""65-69""";17186;14588;1247;601;ROMA 3
"""70-74""";16967;13021;650;288;ROMA 3
"""75-79""";15275;10963;330;128;ROMA 3
"""80-84""";14003;9583;167;67;ROMA 3
"""85-100""";13940;7374;126;49;ROMA 3
