Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Femmine
Classi età: 25-29
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;1510
ROMA;696
ASL Roma 1;242
ASL Roma 2;349
ASL Roma 3;119
ASL Roma 4;113
ASL Roma 5;110
ASL Roma 6;118
ASL Frosinone;120
ASL Latina;176
ASL Rieti;47
ASL Viterbo;116

DISTRETTO;2022

ASL Roma 1, Distretto 01;35
ASL Roma 1, Distretto 02;27
ASL Roma 1, Distretto 03;31
ASL Roma 1, Distretto 13;42
ASL Roma 1, Distretto 14;64
ASL Roma 1, Distretto 15;43
ASL Roma 2, Distretto 04;37
ASL Roma 2, Distretto 05;116
ASL Roma 2, Distretto 06;79
ASL Roma 2, Distretto 07;62
ASL Roma 2, Distretto 08;32
ASL Roma 2, Distretto 09;23
ASL Roma 3, Municipio X;45
ASL Roma 3, Municipio XI;42
ASL Roma 3, Municipio XII;18
ASL Roma 3, Fiumicino;14
ASL Roma 4, Distretto F1;28
ASL Roma 4, Distretto F2;36
ASL Roma 4, Distretto F3;20
ASL Roma 4, Distretto F4;29
ASL Roma 5, Distretto G1-Mentana-Monterotondo;27
ASL Roma 5, Distretto G2-Guidonia;35
ASL Roma 5, Distretto G3-Tivoli;14
ASL Roma 5, Distretto G4-Subiaco;4
ASL Roma 5, Distretto G5-Palestrina;15
ASL Roma 5, Distretto G6-Colleferro;15
ASL Roma 6, Distretto H1;15
ASL Roma 6, Distretto H2;16
ASL Roma 6, Distretto H3;10
ASL Roma 6, Distretto H4;23
ASL Roma 6, Distretto H5;21
ASL Roma 6, Distretto H6;33
ASL Viterbo, Distretto A;38
ASL Viterbo, Distretto B;30
ASL Viterbo, Distretto C;48
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;26
ASL Rieti, Distretto 2 - Salario-Mirtense;21
ASL Latina, Distretto 1 - Aprilia-Cisterna;24
ASL Latina, Distretto 2 - Latina;62
ASL Latina, Distretto 3 - Monti Lepini;15
ASL Latina, Distretto 4 - Fondi-Terracina;41
ASL Latina, Distretto 5 - Formia-Gaeta;34
ASL Frosinone, Distretto A - Alatri-Anagni;30
ASL Frosinone, Distretto B - Frosinone;44
ASL Frosinone, Distretto C - Sora;23
ASL Frosinone, Distretto D - Cassino - Pontecorvo;23

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;6
Acuto;0
Affile;0
