Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Monterotondo;6
Montopoli Di Sabina;0
Montorio Romano;0
Moricone;0
Morlupo;(*)
Morolo;0
Morro Reatino;0
Nazzano;0
Nemi;0
Nepi;(*)
Nerola;0
Nespolo;0
Nettuno;7
Norma;0
Olevano Romano;0
Onano;0
Oriolo Romano;0
Orte;0
Orvinio;0
Paganico;0
Palestrina;4
Paliano;0
Palombara Sabina;(*)
Pastena;0
Patrica;0
Percile;0
Pescorocchiano;0
Pescosolido;0
Petrella Salto;0
Piansano;(*)
Picinisco;0
Pico;0
Piedimonte San Germano;(*)
Piglio;(*)
Pignataro Interamna;0
Pisoniano;0
Pofi;0
Poggio Bustone;0
Poggio Catino;(*)
Poggio Mirteto;0
Poggio Moiano;0
Poggio Nativo;0
Poggio San Lorenzo;0
Poli;0
Pomezia;8
Pontecorvo;(*)
Pontinia;4
Ponza;0
Ponzano Romano;0
Posta;0
Posta Fibreno;0
Pozzaglia Sabino;0
Priverno;(*)
Proceno;0
Prossedi;0
Riano;0
Rieti;4
Rignano Flaminio;(*)
Riofreddo;0
Ripi;0
Rivodutri;(*)
Rocca Canterano;0
Rocca D'Arce;0
Rocca Di Cave;0
Rocca Di Papa;4
Rocca Massima;0
Rocca Priora;0
Rocca Santo Stefano;0
Rocca Sinibalda;0
Roccagiovine;0
Roccagorga;(*)
Roccantica;0
Roccasecca;(*)
Roccasecca Dei Volsci;0
Roiate;0
Roma;274
Ronciglione;0
Roviano;(*)
Sabaudia;(*)
Sacrofano;0
Salisano;0
Sambuci;0
San Biagio Saracinisco;0
San Cesareo;4
San Donato Val Di Comino;(*)
San Felice Circeo;0
San Giorgio A Liri;0
San Giovanni Incarico;0
San Gregorio Da Sassola;0
San Lorenzo Nuovo;0
San Polo Dei Cavalieri;(*)
San Vito Romano;0
San Vittore Del Lazio;0
Sant'Ambrogio Sul Garigliano;0
Sant'Andrea Del Garigliano;0
Sant'Angelo Romano;0
Sant'Apollinare;0
Sant'Elia Fiumerapido;0
Sant'Oreste;0
Santa Marinella;5
Santi Cosma E Damiano;(*)
Santopadre;0
Saracinesco;0
Scandriglia;0
Segni;0
Selci;0
Sermoneta;(*)
Serrone;0
Settefrati;0
Sezze;5
Sgurgola;0
Sonnino;0
Sora;(*)
Soriano Nel Cimino;0
Sperlonga;0
