Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Maschi
Classi età: 25-29
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;289
ROMA;144
ASL Roma 1;53
ASL Roma 2;67
ASL Roma 3;28
ASL Roma 4;13
ASL Roma 5;18
ASL Roma 6;26
ASL Frosinone;35
ASL Latina;30
ASL Rieti;7
ASL Viterbo;12

DISTRETTO;2022

ASL Roma 1, Distretto 01;11
ASL Roma 1, Distretto 02;9
ASL Roma 1, Distretto 03;8
ASL Roma 1, Distretto 13;(*)
ASL Roma 1, Distretto 14;12
ASL Roma 1, Distretto 15;11
ASL Roma 2, Distretto 04;8
ASL Roma 2, Distretto 05;20
ASL Roma 2, Distretto 06;10
ASL Roma 2, Distretto 07;15
ASL Roma 2, Distretto 08;8
ASL Roma 2, Distretto 09;6
ASL Roma 3, Municipio X;11
ASL Roma 3, Municipio XI;8
ASL Roma 3, Municipio XII;5
ASL Roma 3, Fiumicino;4
ASL Roma 4, Distretto F1;(*)
ASL Roma 4, Distretto F2;4
ASL Roma 4, Distretto F3;5
ASL Roma 4, Distretto F4;(*)
ASL Roma 5, Distretto G1-Mentana-Monterotondo;(*)
ASL Roma 5, Distretto G2-Guidonia;5
ASL Roma 5, Distretto G3-Tivoli;4
ASL Roma 5, Distretto G4-Subiaco;(*)
ASL Roma 5, Distretto G5-Palestrina;(*)
ASL Roma 5, Distretto G6-Colleferro;(*)
ASL Roma 6, Distretto H1;4
ASL Roma 6, Distretto H2;4
ASL Roma 6, Distretto H3;(*)
ASL Roma 6, Distretto H4;8
ASL Roma 6, Distretto H5;(*)
ASL Roma 6, Distretto H6;4
ASL Viterbo, Distretto A;5
ASL Viterbo, Distretto C;7
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;4
ASL Rieti, Distretto 2 - Salario-Mirtense;(*)
ASL Latina, Distretto 1 - Aprilia-Cisterna;7
ASL Latina, Distretto 2 - Latina;7
ASL Latina, Distretto 3 - Monti Lepini;6
ASL Latina, Distretto 4 - Fondi-Terracina;9
ASL Latina, Distretto 5 - Formia-Gaeta;(*)
ASL Frosinone, Distretto A - Alatri-Anagni;5
ASL Frosinone, Distretto B - Frosinone;14
ASL Frosinone, Distretto C - Sora;4
ASL Frosinone, Distretto D - Cassino - Pontecorvo;12

COMUNE;2022
Accumoli;0
Acquafondata;0
Acquapendente;0
Acuto;0
Affile;0
Agosta;0
Alatri;(*)
Albano Laziale;0
Allumiere;0
Alvito;0
Amaseno;0
Amatrice;0
Anagni;0
Anguillara Sabazia;(*)
Anticoli Corrado;0
Antrodoco;0
Anzio;(*)
Aprilia;6
Aquino;(*)
Arce;0
Arcinazzo Romano;0
Ardea;(*)
Ariccia;(*)
Arlena Di Castro;0
Arnara;0
Arpino;0
Arsoli;0
Artena;0
Ascrea;0
Atina;0
Ausonia;(*)
Bagnoregio;0
Barbarano Romano;0
Bassano In Teverina;0
Bassano Romano;0
Bassiano;0
Bellegra;0
Belmonte Castello;0
Belmonte In Sabina;0
Blera;(*)
Bolsena;0
Bomarzo;0
Borbona;0
Borgo Velino;0
Borgorose;0
Boville Ernica;0
Bracciano;(*)
Broccostella;0
Calcata;0
Camerata Nuova;0
Campagnano Di Roma;0
Campodimele;0
Campoli Appennino;0
Canale Monterano;(*)
Canepina;0
Canino;0
Cantalice;(*)
Cantalupo In Sabina;0
Canterano;0
Capena;(*)
Capodimonte;0
Capranica;(*)
Capranica Prenestina;0
Caprarola;(*)
Carbognano;0
Carpineto Romano;0
Casalattico;0
Casalvieri;0
Casape;0
Casaprota;0
Casperia;0
Cassino;(*)
Castel Di Tora;0
Castel Gandolfo;(*)
Castel Madama;(*)
Castel San Pietro Romano;0
Castel Sant'Angelo;0
Castel Sant'Elia;0
Castelforte;0
Castelliri;0
Castelnuovo Di Farfa;0
Castelnuovo Di Porto;0
Castelnuovo Parano;0
Castiglione In Teverina;0
Castro Dei Volsci;0
Castrocielo;0
Cave;0
Ceccano;(*)
Celleno;0
Cellere;0
Ceprano;0
Cerreto Laziale;0
Cervara Di Roma;0
Cervaro;0
Cerveteri;(*)
Ciampino;0
Ciciliano;0
Cineto Romano;0
Cisterna Di Latina;(*)
Cittaducale;0
Cittareale;0
Civita Castellana;(*)
Civitavecchia;(*)
Civitella D'Agliano;0
Civitella San Paolo;0
Colfelice;0
Collalto Sabino;0
Colle Di Tora;0
Colle San Magno;0
Colleferro;(*)
Collegiove;0
Collepardo;0
Collevecchio;0
Colli Sul Velino;0
Colonna;0
Concerviano;0
Configni;0
Contigliano;0
Corchiano;0
Coreno Ausonio;0
Cori;0
Cottanello;0
Esperia;(*)
Fabrica Di Roma;(*)
Faleria;0
