Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Morro Reatino;(*)
Nazzano;8
Nemi;8
Nepi;50
Nerola;7
Nespolo;5
Nettuno;265
Norma;20
Olevano Romano;37
Onano;7
Oriolo Romano;26
Orte;37
Orvinio;8
Paganico;(*)
Palestrina;109
Paliano;59
Palombara Sabina;59
Pastena;12
Patrica;24
Percile;(*)
Pescorocchiano;26
Pescosolido;11
Petrella Salto;11
Piansano;12
Picinisco;9
Pico;14
Piedimonte San Germano;37
Piglio;41
Pignataro Interamna;16
Pisoniano;9
Pofi;26
Poggio Bustone;18
Poggio Catino;9
Poggio Mirteto;33
Poggio Moiano;26
Poggio Nativo;24
Poggio San Lorenzo;4
Poli;14
Pomezia;281
Pontecorvo;103
Pontinia;78
Ponza;28
Ponzano Romano;(*)
Posta;(*)
Posta Fibreno;8
Pozzaglia Sabino;0
Priverno;54
Proceno;(*)
Prossedi;8
Riano;51
Rieti;255
Rignano Flaminio;49
Riofreddo;5
Ripi;29
Rivodutri;6
Rocca Canterano;6
Rocca D'Arce;8
Rocca Di Cave;4
Rocca Di Papa;84
Rocca Massima;6
Rocca Priora;55
Rocca Santo Stefano;10
Rocca Sinibalda;18
Roccagiovine;(*)
Roccagorga;29
Roccantica;(*)
Roccasecca;55
Roccasecca Dei Volsci;13
Roiate;7
Roma;11268
Ronciglione;43
Roviano;10
Sabaudia;114
Sacrofano;31
Salisano;(*)
Sambuci;(*)
San Biagio Saracinisco;(*)
San Cesareo;98
San Donato Val Di Comino;15
San Felice Circeo;67
San Giorgio A Liri;15
San Giovanni Incarico;20
San Gregorio Da Sassola;9
San Lorenzo Nuovo;11
San Polo Dei Cavalieri;12
San Vito Romano;16
San Vittore Del Lazio;17
Sant'Ambrogio Sul Garigliano;7
Sant'Andrea Del Garigliano;13
Sant'Angelo Romano;16
Sant'Apollinare;13
Sant'Elia Fiumerapido;45
Sant'Oreste;24
Santa Marinella;103
Santi Cosma E Damiano;47
Santopadre;8
Saracinesco;(*)
Scandriglia;21
Segni;51
Selci;9
Sermoneta;51
Serrone;20
Settefrati;6
Sezze;106
Sgurgola;11
Sonnino;55
Sora;120
Soriano Nel Cimino;48
Sperlonga;30
Spigno Saturnia;27
Stimigliano;9
Strangolagalli;11
Subiaco;48
Supino;27
Sutri;27
Tarano;9
Tarquinia;91
Terelle;(*)
Terracina;282
Tessennano;0
Tivoli;284
Toffia;7
Tolfa;23
Torre Cajetani;9
Torri In Sabina;12
Torrice;27
Torricella In Sabina;18
Torrita Tiberina;6
Trevi Nel Lazio;10
Trevignano Romano;34
Trivigliano;18
Turania;(*)
Tuscania;38
Vacone;0
Valentano;17
Vallecorsa;18
Vallemaio;5
Vallepietra;4
Vallerano;11
Vallerotonda;9
Vallinfreda;(*)
Valmontone;88
Varco Sabino;(*)
Vasanello;33
Vejano;12
Velletri;262
Ventotene;(*)
Veroli;96
Vetralla;71
Vicalvi;5
Vico Nel Lazio;12
Vicovaro;29
Vignanello;26
Villa Latina;10
Villa San Giovanni In Tuscia;4
Villa Santa Lucia;17
Villa Santo Stefano;18
Viterbo;299
Viticuso;(*)
Vitorchiano;20
Vivaro Romano;0
Zagarolo;106
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza

Fonte www.opensalutelazio.it
