Argomento: Popolazione
Classi età: 50-54
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;27
Acquafondata;8
Acquapendente;208
Acuto;86
Affile;47
Agosta;66
Alatri;1096
Albano Laziale;1744
Allumiere;139
Alvito;86
Amaseno;163
Amatrice;90
Anagni;781
Anguillara Sabazia;852
Anticoli Corrado;37
Antrodoco;86
Anzio;2523
Aprilia;3157
Aquino;194
Arce;191
Arcinazzo Romano;55
Ardea;2209
Ariccia;800
Arlena Di Castro;17
Arnara;83
Arpino;275
Arsoli;62
Artena;590
Ascrea;3
Atina;158
Ausonia;103
Bagnoregio;146
Barbarano Romano;38
Bassano In Teverina;62
Bassano Romano;200
Bassiano;58
Bellegra;103
Belmonte Castello;16
Belmonte In Sabina;34
Blera;110
Bolsena;153
Bomarzo;69
Borbona;26
Borgo Velino;42
Borgorose;155
Boville Ernica;349
Bracciano;862
Broccostella;112
Calcata;43
Camerata Nuova;18
Campagnano Di Roma;487
Campodimele;18
Campoli Appennino;63
Canale Monterano;167
Canepina;109
Canino;189
Cantalice;96
Cantalupo In Sabina;69
Canterano;12
Capena;463
Capodimonte;68
Capranica;257
Capranica Prenestina;15
Caprarola;191
Carbognano;86
Carpineto Romano;156
Casalattico;11
Casalvieri;94
Casape;28
Casaprota;35
Casperia;65
Cassino;1359
Castel Di Tora;14
Castel Gandolfo;380
Castel Madama;262
Castel San Pietro Romano;36
Castel Sant'Angelo;39
Castel Sant'Elia;106
Castelforte;132
Castelliri;127
Castelnuovo Di Farfa;39
Castelnuovo Di Porto;379
Castelnuovo Parano;37
Castiglione In Teverina;90
Castro Dei Volsci;191
Castrocielo;152
Cave;403
Ceccano;934
Celleno;51
Cellere;47
Ceprano;327
Cerreto Laziale;45
Cervara Di Roma;10
Cervaro;307
Cerveteri;1833
Ciampino;1685
Ciciliano;53
Cineto Romano;30
Cisterna Di Latina;1496
Cittaducale;276
Cittareale;14
Civita Castellana;644
Civitavecchia;2288
Civitella D'Agliano;53
Civitella San Paolo;99
Colfelice;66
Collalto Sabino;13
Colle Di Tora;13
Colle San Magno;12
Colleferro;896
Collegiove;3
Collepardo;35
Collevecchio;71
Colli Sul Velino;25
Colonna;190
Concerviano;6
Configni;26
Contigliano;158
Corchiano;144
Coreno Ausonio;48
Cori;412
Cottanello;12
Esperia;132
Fabrica Di Roma;324
Faleria;82
Falvaterra;16
Fara In Sabina;584
Farnese;55
Ferentino;824
Fiamignano;26
Fiano Romano;669
Filacciano;19
Filettino;16
Fiuggi;451
Fiumicino;3595
Fondi;1591
Fontana Liri;95
Fonte Nuova;1348
Fontechiari;60
Forano;119
Formello;609
Formia;1563
Frascati;974
Frasso Sabino;25
Frosinone;1858
Fumone;77
Gaeta;779
Gallese;110
Gallicano Nel Lazio;276
Gallinaro;47
Gavignano;85
Genazzano;249
Genzano Di Roma;971
Gerano;50
Giuliano Di Roma;96
Gorga;21
Gradoli;62
Graffignano;81
Greccio;49
Grottaferrata;948
Grotte Di Castro;82
Guarcino;48
Guidonia Montecelio;3983
Ischia Di Castro;69
Isola Del Liri;473
Itri;434
Jenne;8
Labico;289
Labro;15
Ladispoli;2103
Lanuvio;526
Lariano;573
Latera;25
Latina;5623
Lenola;151
Leonessa;86
Licenza;24
Longone Sabino;13
Lubriano;28
Maenza;127
Magliano Romano;63
Magliano Sabina;156
Mandela;41
Manziana;315
Marano Equo;18
Marcellina;300
Marcetelli;0
Marino;1874
Marta;141
Mazzano Romano;131
Mentana;1009
Micigliano;6
Minturno;779
Mompeo;17
Montalto Di Castro;363
Montasola;14
Monte Porzio Catone;364
Monte Romano;60
Monte San Biagio;209
Monte San Giovanni Campano;419
Monte San Giovanni In Sabina;24
Montebuono;31
Montecompatri;547
Montefiascone;548
Monteflavio;50
Montelanico;77
Monteleone Sabino;46
Montelibretti;202
Montenero Sabino;8
Monterosi;217
Monterotondo;1922
Montopoli Di Sabina;162
Montorio Romano;77
Moricone;111
Morlupo;391
Morolo;117
Morro Reatino;11
Nazzano;51
Nemi;80
Nepi;433
Nerola;93
Nespolo;9
Nettuno;2071
Norma;135
Olevano Romano;277
Onano;27
Oriolo Romano;165
Orte;402
Orvinio;14
Paganico;10
Palestrina;914
Paliano;328
Palombara Sabina;574
Pastena;52
Patrica;130
Percile;8
Pescorocchiano;58
Pescosolido;68
Petrella Salto;38
Piansano;76
Picinisco;41
Pico;103
Piedimonte San Germano;216
Piglio;170
Pignataro Interamna;72
Pisoniano;36
Pofi;131
Poggio Bustone;64
Poggio Catino;45
Poggio Mirteto;259
Poggio Moiano;102
Poggio Nativo;91
Poggio San Lorenzo;14
Poli;82
Pomezia;2931
Pontecorvo;484
Pontinia;589
Ponza;105
Ponzano Romano;43
Posta;22
Posta Fibreno;36
Pozzaglia Sabino;13
Priverno;568
Proceno;20
Prossedi;36
Riano;465
Rieti;1935
Rignano Flaminio;466
Riofreddo;25
Ripi;172
Rivodutri;50
Rocca Canterano;8
Rocca D'Arce;32
Rocca Di Cave;13
Rocca Di Papa;726
Rocca Massima;49
Rocca Priora;520
Rocca Santo Stefano;39
Rocca Sinibalda;31
Roccagiovine;9
Roccagorga;189
Roccantica;24
Roccasecca;285
Roccasecca Dei Volsci;57
Roiate;24
Roma;123934
Ronciglione;336
Roviano;59
Sabaudia;783
Sacrofano;383
Salisano;21
Sambuci;34
San Biagio Saracinisco;11
San Cesareo;669
San Donato Val Di Comino;81
San Felice Circeo;408
San Giorgio A Liri;106
San Giovanni Incarico;130
San Gregorio Da Sassola;46
San Lorenzo Nuovo;86
San Polo Dei Cavalieri;109
San Vito Romano;115
San Vittore Del Lazio;108
Sant'Ambrogio Sul Garigliano;33
Sant'Andrea Del Garigliano;43
Sant'Angelo Romano;245
Sant'Apollinare;77
Sant'Elia Fiumerapido;205
Sant'Oreste;141
Santa Marinella;863
Santi Cosma E Damiano;265
Santopadre;40
Saracinesco;3
Scandriglia;122
Segni;364
Selci;38
Sermoneta;380
Serrone;105
Settefrati;26
Sezze;985
Sgurgola;105
Sonnino;296
Sora;1029
Soriano Nel Cimino;350
Sperlonga;104
Spigno Saturnia;108
Stimigliano;107
Strangolagalli;99
Subiaco;333
Supino;198
Sutri;289
Tarano;67
Tarquinia;672
Terelle;12
Terracina;1823
Tessennano;14
Tivoli;2429
Toffia;42
Tolfa;184
Torre Cajetani;49
Torri In Sabina;46
Torrice;195
Torricella In Sabina;48
Torrita Tiberina;42
Trevi Nel Lazio;64
Trevignano Romano;266
Trivigliano;58
Turania;12
Tuscania;323
Vacone;11
Valentano;110
Vallecorsa;76
Vallemaio;34
Vallepietra;11
Vallerano;99
Vallerotonda;57
Vallinfreda;13
Valmontone;640
Varco Sabino;6
Vasanello;148
Vejano;85
Velletri;2156
Ventotene;28
Veroli;774
Vetralla;566
Vicalvi;28
Vico Nel Lazio;87
Vicovaro;145
Vignanello;169
Villa Latina;46
Villa San Giovanni In Tuscia;50
Villa Santa Lucia;107
Villa Santo Stefano;60
Viterbo;2779
Viticuso;13
Vitorchiano;241
Vivaro Romano;6
Zagarolo;785

Fonte www.opensalutelazio.it
