Argomento: Popolazione
Classi età: 55-59
Genere: Femmine
Anni¹: 2022


;2022
Collegiove;10
Collepardo;43
Collevecchio;61
Colli Sul Velino;16
Colonna;175
Concerviano;9
Configni;16
Contigliano;144
Corchiano;138
Coreno Ausonio;62
Cori;410
Cottanello;19
Esperia;151
Fabrica Di Roma;346
Faleria;110
Falvaterra;29
Fara In Sabina;541
Farnese;61
Ferentino;823
Fiamignano;54
Fiano Romano;582
Filacciano;22
Filettino;24
Fiuggi;431
Fiumicino;3111
Fondi;1493
Fontana Liri;105
Fonte Nuova;1272
Fontechiari;63
Forano;119
Formello;559
Formia;1542
Frascati;918
Frasso Sabino;37
Frosinone;1808
Fumone;79
Gaeta;841
Gallese;111
Gallicano Nel Lazio;244
Gallinaro;49
Gavignano;94
Genazzano;242
Genzano Di Roma;996
Gerano;46
Giuliano Di Roma;77
Gorga;35
Gradoli;57
Graffignano;87
Greccio;63
Grottaferrata;871
Grotte Di Castro;114
Guarcino;55
Guidonia Montecelio;3581
Ischia Di Castro;117
Isola Del Liri;428
Itri;392
Jenne;20
Labico;252
Labro;11
Ladispoli;1879
Lanuvio;489
Lariano;532
Latera;39
Latina;5222
Lenola;163
Leonessa;93
Licenza;31
Longone Sabino;27
Lubriano;32
Maenza;137
Magliano Romano;59
Magliano Sabina;147
Mandela;31
Manziana;322
Marano Equo;26
Marcellina;284
Marcetelli;1
Marino;1703
Marta;115
Mazzano Romano;115
Mentana;878
Micigliano;2
Minturno;819
Mompeo;21
Montalto Di Castro;322
Montasola;18
Monte Porzio Catone;365
Monte Romano;72
Monte San Biagio;233
Monte San Giovanni Campano;505
Monte San Giovanni In Sabina;18
Montebuono;40
Montecompatri;479
Montefiascone;537
Monteflavio;59
Montelanico;96
Monteleone Sabino;47
Montelibretti;215
Montenero Sabino;16
Monterosi;213
Monterotondo;1729
Montopoli Di Sabina;177
Montorio Romano;94
Moricone;99
Morlupo;412
Morolo;124
Morro Reatino;14
Nazzano;61
Nemi;79
Nepi;401
Nerola;69
Nespolo;2
Nettuno;2011
Norma;158
Olevano Romano;278
Onano;32
Oriolo Romano;145
Orte;365
Orvinio;15
Paganico;5
Palestrina;888
Paliano;306
Palombara Sabina;550
Pastena;52
Patrica;133
Percile;12
Pescorocchiano;74
Pescosolido;59
Petrella Salto;42
Piansano;81
Picinisco;47
Pico;114
Piedimonte San Germano;206
Piglio;178
Pignataro Interamna;102
Pisoniano;34
Pofi;176
Poggio Bustone;98
Poggio Catino;55
Poggio Mirteto;254
Poggio Moiano;117
Poggio Nativo;110
Poggio San Lorenzo;23
Poli;95
Pomezia;2622
Pontecorvo;493
Pontinia;509
Ponza;125
Ponzano Romano;43
Posta;23
Posta Fibreno;40
Pozzaglia Sabino;14
Priverno;529
Proceno;26
Prossedi;44
Riano;419
Rieti;1984
Rignano Flaminio;403
Riofreddo;32
Ripi;193
Rivodutri;47
Rocca Canterano;7
Rocca D'Arce;44
Rocca Di Cave;10
Rocca Di Papa;727
Rocca Massima;47
Rocca Priora;498
Rocca Santo Stefano;36
Rocca Sinibalda;41
Roccagiovine;4
Roccagorga;174
Roccantica;14
Roccasecca;286
Roccasecca Dei Volsci;41
Roiate;34
Roma;121180
Ronciglione;347
Roviano;54
Sabaudia;786
Sacrofano;316
Salisano;27
Sambuci;31
San Biagio Saracinisco;11
San Cesareo;602
San Donato Val Di Comino;82
San Felice Circeo;381
San Giorgio A Liri;125
San Giovanni Incarico;126
San Gregorio Da Sassola;71
San Lorenzo Nuovo;76
San Polo Dei Cavalieri;91
San Vito Romano;142
San Vittore Del Lazio;97
Sant'Ambrogio Sul Garigliano;30
Sant'Andrea Del Garigliano;45
Sant'Angelo Romano;198
Sant'Apollinare;71
Sant'Elia Fiumerapido;226
Sant'Oreste;136
Santa Marinella;819
Santi Cosma E Damiano;269
Santopadre;62
Saracinesco;8
Scandriglia;129
Segni;382
Selci;47
Sermoneta;368
Serrone;110
Settefrati;33
Sezze;906
Sgurgola;96
Sonnino;276
Sora;1065
Soriano Nel Cimino;327
Sperlonga;128
Spigno Saturnia;112
Stimigliano;81
Strangolagalli;89
Subiaco;355
Supino;186
Sutri;281
Tarano;54
Tarquinia;656
Terelle;10
Terracina;1798
Tessennano;17
Tivoli;2280
Toffia;52
Tolfa;188
Torre Cajetani;46
Torri In Sabina;52
Torrice;198
Torricella In Sabina;63
Torrita Tiberina;55
Trevi Nel Lazio;72
Trevignano Romano;271
Trivigliano;57
Turania;6
Tuscania;331
Vacone;13
Valentano;125
Vallecorsa;82
Vallemaio;36
Vallepietra;9
Vallerano;110
Vallerotonda;55
Vallinfreda;11
Valmontone;599
Varco Sabino;2
Vasanello;138
Vejano;86
Velletri;2117
Ventotene;23
Veroli;768
Vetralla;556
Vicalvi;24
Vico Nel Lazio;78
Vicovaro;155
Vignanello;165
Villa Latina;46
Villa San Giovanni In Tuscia;48
Villa Santa Lucia;93
Villa Santo Stefano;68
Viterbo;2685
Viticuso;11
Vitorchiano;233
Vivaro Romano;11
Zagarolo;716

Fonte www.opensalutelazio.it
