Argomento: Popolazione
Classi età: 55-59
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;21
Acquafondata;11
Acquapendente;213
Acuto;73
Affile;62
Agosta;71
Alatri;1138
Albano Laziale;1644
Allumiere;155
Alvito;93
Amaseno;157
Amatrice;98
Anagni;814
Anguillara Sabazia;831
Anticoli Corrado;36
Antrodoco;95
Anzio;2344
Aprilia;2988
Aquino;168
Arce;207
Arcinazzo Romano;59
Ardea;2023
Ariccia;778
Arlena Di Castro;31
Arnara;96
Arpino;293
Arsoli;64
Artena;542
Ascrea;12
Atina;177
Ausonia;107
Bagnoregio;148
Barbarano Romano;45
Bassano In Teverina;43
Bassano Romano;189
Bassiano;55
Bellegra;139
Belmonte Castello;33
Belmonte In Sabina;26
Blera;127
Bolsena;169
Bomarzo;60
Borbona;30
Borgo Velino;41
Borgorose;176
Boville Ernica;343
Bracciano;843
Broccostella;132
Calcata;40
Camerata Nuova;19
Campagnano Di Roma;504
Campodimele;32
Campoli Appennino;74
Canale Monterano;205
Canepina;126
Canino;198
Cantalice;88
Cantalupo In Sabina;65
Canterano;16
Capena;427
Capodimonte;58
Capranica;295
Capranica Prenestina;15
Caprarola;215
Carbognano;84
Carpineto Romano;166
Casalattico;18
Casalvieri;83
Casape;30
Casaprota;33
Casperia;48
Cassino;1420
Castel Di Tora;11
Castel Gandolfo;399
Castel Madama;292
Castel San Pietro Romano;34
Castel Sant'Angelo;43
Castel Sant'Elia;106
Castelforte;184
Castelliri;136
Castelnuovo Di Farfa;50
Castelnuovo Di Porto;379
Castelnuovo Parano;30
Castiglione In Teverina;73
Castro Dei Volsci;176
Castrocielo;157
Cave;423
Ceccano;905
Celleno;56
Cellere;42
Ceprano;305
Cerreto Laziale;46
Cervara Di Roma;22
Cervaro;304
Cerveteri;1718
Ciampino;1783
Ciciliano;55
Cineto Romano;31
Cisterna Di Latina;1447
Cittaducale;287
Cittareale;13
Civita Castellana;594
Civitavecchia;2123
Civitella D'Agliano;62
Civitella San Paolo;83
Colfelice;70
Collalto Sabino;11
Colle Di Tora;15
Colle San Magno;35
Colleferro;914
