Argomento: Popolazione
Classi età: ≥85
Genere: Femmine
Anni¹: 2022


;2022
Torricella In Sabina;44
Torrita Tiberina;24
Trevi Nel Lazio;59
Trevignano Romano;122
Trivigliano;38
Turania;5
Tuscania;163
Vacone;7
Valentano;87
Vallecorsa;115
Vallemaio;38
Vallepietra;11
Vallerano;61
Vallerotonda;55
Vallinfreda;8
Valmontone;277
Varco Sabino;10
Vasanello;76
Vejano;69
Velletri;1071
Ventotene;19
Veroli;400
Vetralla;360
Vicalvi;24
Vico Nel Lazio;43
Vicovaro;83
Vignanello;127
Villa Latina;34
Villa San Giovanni In Tuscia;34
Villa Santa Lucia;54
Villa Santo Stefano;55
Viterbo;1570
Viticuso;20
Vitorchiano;76
Vivaro Romano;4
Zagarolo;275

Fonte www.opensalutelazio.it
