Argomento: Popolazione
Classi età: 55-59
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;24
Acquafondata;11
Acquapendente;234
Acuto;77
Affile;60
Agosta;84
Alatri;1045
Albano Laziale;1534
Allumiere;151
Alvito;110
Amaseno;162
Amatrice;112
Anagni;773
Anguillara Sabazia;804
Anticoli Corrado;39
Antrodoco;104
Anzio;2398
Aprilia;2940
Aquino;172
Arce;192
Arcinazzo Romano;66
Ardea;2155
Ariccia;725
Arlena Di Castro;21
Arnara;74
Arpino;270
Arsoli;60
Artena;509
Ascrea;14
Atina;157
Ausonia;109
Bagnoregio;133
Barbarano Romano;56
Bassano In Teverina;40
Bassano Romano;223
Bassiano;66
Bellegra;129
Belmonte Castello;28
Belmonte In Sabina;26
Blera;143
Bolsena;148
Bomarzo;58
Borbona;36
Borgo Velino;33
Borgorose;190
Boville Ernica;312
Bracciano;815
Broccostella;122
Calcata;39
Camerata Nuova;21
Campagnano Di Roma;444
Campodimele;24
Campoli Appennino;60
Canale Monterano;189
Canepina;132
Canino;200
Cantalice;107
Cantalupo In Sabina;62
Canterano;14
Capena;474
Capodimonte;73
Capranica;282
Capranica Prenestina;17
Caprarola;219
Carbognano;82
Carpineto Romano;165
Casalattico;23
Casalvieri;71
Casape;35
Casaprota;44
Casperia;53
Cassino;1235
Castel Di Tora;13
Castel Gandolfo;352
Castel Madama;272
Castel San Pietro Romano;40
Castel Sant'Angelo;48
Castel Sant'Elia;110
Castelforte;139
Castelliri;112
Castelnuovo Di Farfa;40
Castelnuovo Di Porto;375
Castelnuovo Parano;32
Castiglione In Teverina;83
Castro Dei Volsci;191
Castrocielo;131
Cave;406
Ceccano;852
Celleno;64
Cellere;51
Ceprano;313
Cerreto Laziale;38
Cervara Di Roma;32
Cervaro;307
Cerveteri;1756
Ciampino;1516
Ciciliano;55
Cineto Romano;38
Cisterna Di Latina;1364
Cittaducale;289
Cittareale;21
Civita Castellana;631
Civitavecchia;2019
Civitella D'Agliano;51
Civitella San Paolo;97
Colfelice;60
Collalto Sabino;18
Colle Di Tora;20
Colle San Magno;23
Colleferro;819
Collegiove;7
Collepardo;37
Collevecchio;77
Colli Sul Velino;22
Colonna;168
Concerviano;10
Configni;25
Contigliano;156
Corchiano;165
Coreno Ausonio;71
Cori;425
Cottanello;18
Esperia;133
Fabrica Di Roma;317
Faleria;99
Falvaterra;19
Fara In Sabina;552
Farnese;64
Ferentino;762
Fiamignano;49
Fiano Romano;636
Filacciano;19
Filettino;32
Fiuggi;397
Fiumicino;3315
Fondi;1364
Fontana Liri;103
Fonte Nuova;1261
Fontechiari;44
Forano;114
Formello;538
Formia;1423
Frascati;886
Frasso Sabino;27
Frosinone;1683
Fumone;67
Gaeta;754
Gallese;113
Gallicano Nel Lazio;243
Gallinaro;53
Gavignano;77
Genazzano;272
Genzano Di Roma;979
Gerano;45
Giuliano Di Roma;85
Gorga;19
Gradoli;55
Graffignano;94
Greccio;61
Grottaferrata;835
Grotte Di Castro;104
Guarcino;61
Guidonia Montecelio;3612
Ischia Di Castro;77
Isola Del Liri;457
Itri;413
Jenne;12
Labico;221
Labro;17
Ladispoli;1791
Lanuvio;498
Lariano;498
Latera;41
Latina;5117
Lenola;161
Leonessa;93
Licenza;39
Longone Sabino;18
Lubriano;34
Maenza;117
Magliano Romano;63
Magliano Sabina;141
Mandela;41
Manziana;319
Marano Equo;32
Marcellina;260
Marcetelli;1
Marino;1676
Marta;117
Mazzano Romano;133
Mentana;859
Micigliano;8
Minturno;753
Mompeo;28
Montalto Di Castro;354
Montasola;15
Monte Porzio Catone;317
Monte Romano;65
Monte San Biagio;206
Monte San Giovanni Campano;411
Monte San Giovanni In Sabina;28
Montebuono;39
Montecompatri;484
Montefiascone;471
Monteflavio;53
Montelanico;75
Monteleone Sabino;45
Montelibretti;187
Montenero Sabino;8
Monterosi;224
Monterotondo;1582
Montopoli Di Sabina;152
Montorio Romano;84
Moricone;112
Morlupo;362
Morolo;132
Morro Reatino;12
Nazzano;60
Nemi;92
Nepi;454
Nerola;81
Nespolo;12
Nettuno;1982
Norma;141
Olevano Romano;266
Onano;39
Oriolo Romano;154
Orte;350
Orvinio;22
Paganico;15
Palestrina;843
Paliano;306
Palombara Sabina;548
Pastena;58
Patrica;129
Percile;12
Pescorocchiano;87
Pescosolido;60
Petrella Salto;47
Piansano;78
Picinisco;53
Pico;100
Piedimonte San Germano;174
Piglio;198
Pignataro Interamna;79
Pisoniano;35
Pofi;153
Poggio Bustone;86
Poggio Catino;44
Poggio Mirteto;245
Poggio Moiano;116
Poggio Nativo;90
Poggio San Lorenzo;23
Poli;104
Pomezia;2671
Pontecorvo;431
Pontinia;531
Ponza;117
Ponzano Romano;53
Posta;34
Posta Fibreno;41
Pozzaglia Sabino;8
Priverno;495
Proceno;26
Prossedi;43
Riano;410
Rieti;1791
Rignano Flaminio;406
Riofreddo;28
Ripi;194
Rivodutri;55
Rocca Canterano;10
Rocca D'Arce;34
Rocca Di Cave;24
Rocca Di Papa;707
Rocca Massima;47
Rocca Priora;510
Rocca Santo Stefano;49
Rocca Sinibalda;44
Roccagiovine;5
Roccagorga;179
Roccantica;25
Roccasecca;281
Roccasecca Dei Volsci;47
Roiate;32
Roma;108911
Ronciglione;331
Roviano;51
Sabaudia;749
Sacrofano;296
Salisano;19
Sambuci;30
San Biagio Saracinisco;13
San Cesareo;604
San Donato Val Di Comino;84
San Felice Circeo;439
San Giorgio A Liri;115
San Giovanni Incarico;118
San Gregorio Da Sassola;69
San Lorenzo Nuovo;81
San Polo Dei Cavalieri;113
San Vito Romano;140
San Vittore Del Lazio;102
Sant'Ambrogio Sul Garigliano;29
Sant'Andrea Del Garigliano;59
Sant'Angelo Romano;211
Sant'Apollinare;64
Sant'Elia Fiumerapido;198
Sant'Oreste;132
Santa Marinella;806
Santi Cosma E Damiano;256
Santopadre;50
Saracinesco;10
Scandriglia;139
Segni;357
Selci;43
Sermoneta;346
Serrone;117
Settefrati;27
Sezze;931
Sgurgola;112
Sonnino;291
Sora;982
Soriano Nel Cimino;357
Sperlonga;135
Spigno Saturnia;94
Stimigliano;90
Strangolagalli;88
Subiaco;327
Supino;178
Sutri;265
Tarano;50
Tarquinia;683
Terelle;14
Terracina;1740
Tessennano;15
Tivoli;2158
Toffia;53
Tolfa;223
Torre Cajetani;71
Torri In Sabina;45
Torrice;194
Torricella In Sabina;57
Torrita Tiberina;46
Trevi Nel Lazio;95
Trevignano Romano;242
Trivigliano;54
Turania;14
Tuscania;305
Vacone;11
Valentano;110
Vallecorsa;75
Vallemaio;31
Vallepietra;10
Vallerano;112
Vallerotonda;58
Vallinfreda;19
Valmontone;592
Varco Sabino;11
Vasanello;142
Vejano;102
Velletri;2062
Ventotene;30
Veroli;758
Vetralla;558
Vicalvi;22
Vico Nel Lazio;74
Vicovaro;143
Vignanello;180
Villa Latina;45
Villa San Giovanni In Tuscia;64
Villa Santa Lucia;92
Villa Santo Stefano;53
Viterbo;2668
Viticuso;17
Vitorchiano;214
Vivaro Romano;15
Zagarolo;782

Fonte www.opensalutelazio.it
