Argomento: Popolazione
Classi età: 15-19
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;8
Acquafondata;2
Acquapendente;95
Acuto;35
Affile;29
Agosta;35
Alatri;688
Albano Laziale;1013
Allumiere;70
Alvito;43
Amaseno;90
Amatrice;40
Anagni;501
Anguillara Sabazia;501
Anticoli Corrado;24
Antrodoco;39
Anzio;1406
Aprilia;1860
Aquino;110
Arce;135
Arcinazzo Romano;15
Ardea;1230
Ariccia;454
Arlena Di Castro;13
Arnara;52
Arpino;131
Arsoli;28
Artena;373
Ascrea;0
Atina;98
Ausonia;52
Bagnoregio;63
Barbarano Romano;17
Bassano In Teverina;27
Bassano Romano;100
Bassiano;27
Bellegra;69
Belmonte Castello;18
Belmonte In Sabina;19
Blera;62
Bolsena;58
Bomarzo;35
Borbona;8
Borgo Velino;16
Borgorose;73
Boville Ernica;160
Bracciano;478
Broccostella;65
Calcata;18
Camerata Nuova;9
Campagnano Di Roma;283
Campodimele;2
Campoli Appennino;39
Canale Monterano;83
Canepina;63
Canino;88
Cantalice;52
Cantalupo In Sabina;25
Canterano;5
Capena;269
Capodimonte;28
Capranica;153
Capranica Prenestina;7
Caprarola;98
Carbognano;41
Carpineto Romano;90
Casalattico;5
Casalvieri;53
Casape;10
Casaprota;17
Casperia;24
Cassino;738
Castel Di Tora;2
Castel Gandolfo;219
Castel Madama;160
Castel San Pietro Romano;24
Castel Sant'Angelo;20
Castel Sant'Elia;59
Castelforte;98
Castelliri;46
Castelnuovo Di Farfa;26
Castelnuovo Di Porto;212
Castelnuovo Parano;26
Castiglione In Teverina;53
Castro Dei Volsci;104
Castrocielo;88
Cave;254
Ceccano;491
Celleno;25
Cellere;15
Ceprano;200
Cerreto Laziale;21
Cervara Di Roma;3
Cervaro;171
Cerveteri;871
Ciampino;964
Ciciliano;26
Cineto Romano;15
Cisterna Di Latina;874
Cittaducale;138
Cittareale;5
Civita Castellana;359
Civitavecchia;1195
Civitella D'Agliano;29
Civitella San Paolo;41
Colfelice;36
Collalto Sabino;6
Colle Di Tora;4
Colle San Magno;13
Colleferro;458
Collegiove;0
Collepardo;16
Collevecchio;29
Colli Sul Velino;12
Colonna;109
Concerviano;5
Configni;9
Contigliano;87
Corchiano;87
Coreno Ausonio;35
Cori;249
Cottanello;5
Esperia;69
Fabrica Di Roma;189
Faleria;36
Falvaterra;8
Fara In Sabina;336
Farnese;23
Ferentino;442
Fiamignano;8
Fiano Romano;409
Filacciano;13
Filettino;6
Fiuggi;223
Fiumicino;1877
Fondi;990
Fontana Liri;50
Fonte Nuova;788
Fontechiari;35
Forano;71
Formello;380
Formia;885
Frascati;585
Frasso Sabino;19
Frosinone;900
Fumone;37
Gaeta;369
Gallese;59
Gallicano Nel Lazio;172
Gallinaro;30
Gavignano;44
Genazzano;117
Genzano Di Roma;537
Gerano;28
Giuliano Di Roma;45
Gorga;5
Gradoli;26
Graffignano;35
Greccio;28
Grottaferrata;522
Grotte Di Castro;41
Guarcino;34
Guidonia Montecelio;2356
Ischia Di Castro;35
Isola Del Liri;233
Itri;191
Jenne;1
Labico;176
Labro;3
Ladispoli;1034
Lanuvio;306
Lariano;326
Latera;16
Latina;3124
Lenola;81
Leonessa;43
Licenza;14
Longone Sabino;6
Lubriano;16
Maenza;68
Magliano Romano;26
Magliano Sabina;73
Mandela;21
Manziana;199
Marano Equo;20
Marcellina;143
Marcetelli;0
Marino;1009
Marta;66
Mazzano Romano;63
Mentana;546
Micigliano;3
Minturno;457
Mompeo;9
Montalto Di Castro;184
Montasola;7
Monte Porzio Catone;203
Monte Romano;39
Monte San Biagio;121
Monte San Giovanni Campano;271
Monte San Giovanni In Sabina;8
Montebuono;10
Montecompatri;280
Montefiascone;269
Monteflavio;28
Montelanico;47
Monteleone Sabino;24
Montelibretti;116
Montenero Sabino;3
Monterosi;96
Monterotondo;1014
Montopoli Di Sabina;90
Montorio Romano;47
Moricone;55
Morlupo;198
Morolo;54
Morro Reatino;10
Nazzano;28
Nemi;56
Nepi;219
Nerola;46
Nespolo;4
Nettuno;1126
Norma;106
Olevano Romano;164
Onano;10
Oriolo Romano;80
Orte;171
Orvinio;3
Paganico;0
Palestrina;502
Paliano;186
Palombara Sabina;300
Pastena;20
Patrica;64
Percile;4
Pescorocchiano;30
Pescosolido;26
Petrella Salto;13
Piansano;24
Picinisco;26
Pico;71
Piedimonte San Germano;148
Piglio;81
Pignataro Interamna;62
Pisoniano;12
Pofi;70
Poggio Bustone;36
Poggio Catino;21
Poggio Mirteto;143
Poggio Moiano;63
Poggio Nativo;50
Poggio San Lorenzo;9
Poli;53
Pomezia;1528
Pontecorvo;292
Pontinia;342
Ponza;59
Ponzano Romano;20
Posta;7
Posta Fibreno;16
Pozzaglia Sabino;2
Priverno;332
Proceno;9
Prossedi;24
Riano;258
Rieti;963
Rignano Flaminio;252
Riofreddo;12
Ripi;122
Rivodutri;23
Rocca Canterano;1
Rocca D'Arce;9
Rocca Di Cave;8
Rocca Di Papa;455
Rocca Massima;23
Rocca Priora;269
Rocca Santo Stefano;21
Rocca Sinibalda;11
Roccagiovine;1
Roccagorga;95
Roccantica;7
Roccasecca;155
Roccasecca Dei Volsci;31
Roiate;8
Roma;62360
Ronciglione;170
Roviano;33
Sabaudia;430
Sacrofano;183
Salisano;8
Sambuci;19
San Biagio Saracinisco;4
San Cesareo;378
San Donato Val Di Comino;34
San Felice Circeo;176
San Giorgio A Liri;68
San Giovanni Incarico;57
San Gregorio Da Sassola;21
San Lorenzo Nuovo;35
San Polo Dei Cavalieri;67
San Vito Romano;60
San Vittore Del Lazio;56
Sant'Ambrogio Sul Garigliano;11
Sant'Andrea Del Garigliano;25
Sant'Angelo Romano;133
Sant'Apollinare;36
Sant'Elia Fiumerapido;112
Sant'Oreste;60
Santa Marinella;364
Santi Cosma E Damiano;172
Santopadre;32
Saracinesco;3
Scandriglia;45
Segni;210
Selci;28
Sermoneta;205
Serrone;75
Settefrati;13
Sezze;558
Sgurgola;62
Sonnino;169
Sora;552
Soriano Nel Cimino;174
Sperlonga;38
Spigno Saturnia;86
Stimigliano;41
Strangolagalli;53
Subiaco;165
Supino;105
Sutri;155
Tarano;40
Tarquinia;352
Terelle;7
Terracina;950
Tessennano;3
Tivoli;1286
Toffia;19
Tolfa;109
Torre Cajetani;27
Torri In Sabina;29
Torrice;121
Torricella In Sabina;25
Torrita Tiberina;19
Trevi Nel Lazio;25
Trevignano Romano;123
Trivigliano;41
Turania;2
Tuscania;163
Vacone;5
Valentano;49
Vallecorsa;53
Vallemaio;16
Vallepietra;5
Vallerano;52
Vallerotonda;23
Vallinfreda;5
Valmontone;367
Varco Sabino;4
Vasanello;91
Vejano;44
Velletri;1210
Ventotene;10
Veroli;471
Vetralla;267
Vicalvi;20
Vico Nel Lazio;46
Vicovaro;78
Vignanello;91
Villa Latina;24
Villa San Giovanni In Tuscia;25
Villa Santa Lucia;63
Villa Santo Stefano;39
Viterbo;1493
Viticuso;7
Vitorchiano;142
Vivaro Romano;1
Zagarolo;501

Fonte www.opensalutelazio.it
