Argomento: Popolazione
Classi età: 15-19
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;12
Acquafondata;3
Acquapendente;102
Acuto;40
Affile;29
Agosta;38
Alatri;663
Albano Laziale;1077
Allumiere;88
Alvito;37
Amaseno;100
Amatrice;35
Anagni;516
Anguillara Sabazia;539
Anticoli Corrado;19
Antrodoco;49
Anzio;1551
Aprilia;1867
Aquino;145
Arce;92
Arcinazzo Romano;23
Ardea;1266
Ariccia;466
Arlena Di Castro;13
Arnara;48
Arpino;154
Arsoli;27
Artena;335
Ascrea;3
Atina;75
Ausonia;54
Bagnoregio;80
Barbarano Romano;19
Bassano In Teverina;25
Bassano Romano;87
Bassiano;32
Bellegra;65
Belmonte Castello;14
Belmonte In Sabina;20
Blera;74
Bolsena;91
Bomarzo;32
Borbona;7
Borgo Velino;25
Borgorose;101
Boville Ernica;211
Bracciano;485
Broccostella;68
Calcata;15
Camerata Nuova;11
Campagnano Di Roma;285
Campodimele;6
Campoli Appennino;31
Canale Monterano;103
Canepina;66
Canino;117
Cantalice;41
Cantalupo In Sabina;39
Canterano;6
Capena;263
Capodimonte;33
Capranica;133
Capranica Prenestina;5
Caprarola;114
Carbognano;35
Carpineto Romano;78
Casalattico;12
Casalvieri;50
Casape;14
Casaprota;16
Casperia;32
Cassino;873
Castel Di Tora;3
Castel Gandolfo;217
Castel Madama;194
Castel San Pietro Romano;21
Castel Sant'Angelo;26
Castel Sant'Elia;60
Castelforte;100
Castelliri;66
Castelnuovo Di Farfa;17
Castelnuovo Di Porto;223
Castelnuovo Parano;12
Castiglione In Teverina;67
Castro Dei Volsci;107
Castrocielo;97
Cave;256
Ceccano;519
Celleno;27
Cellere;26
Ceprano;196
Cerreto Laziale;24
Cervara Di Roma;3
Cervaro;193
Cerveteri;978
Ciampino;874
Ciciliano;39
Cineto Romano;5
Cisterna Di Latina;959
Cittaducale;152
Cittareale;2
Civita Castellana;398
Civitavecchia;1342
Civitella D'Agliano;27
Civitella San Paolo;39
Colfelice;44
Collalto Sabino;3
Colle Di Tora;8
Colle San Magno;13
Colleferro;532
Collegiove;0
Collepardo;16
Collevecchio;36
Colli Sul Velino;10
Colonna;107
Concerviano;5
Configni;11
Contigliano;80
Corchiano;107
Coreno Ausonio;27
Cori;251
Cottanello;11
Esperia;65
Fabrica Di Roma;207
Faleria;53
Falvaterra;4
Fara In Sabina;341
Farnese;21
Ferentino;509
Fiamignano;21
Fiano Romano;441
Filacciano;8
Filettino;8
Fiuggi;242
Fiumicino;2104
Fondi;1071
Fontana Liri;46
Fonte Nuova;821
Fontechiari;14
Forano;99
Formello;372
Formia;924
Frascati;543
Frasso Sabino;22
Frosinone;1021
Fumone;53
Gaeta;451
Gallese;58
Gallicano Nel Lazio;190
Gallinaro;26
Gavignano;51
Genazzano;143
Genzano Di Roma;541
Gerano;27
Giuliano Di Roma;61
Gorga;15
Gradoli;29
Graffignano;35
Greccio;24
Grottaferrata;563
Grotte Di Castro;41
Guarcino;30
Guidonia Montecelio;2473
Ischia Di Castro;49
Isola Del Liri;225
Itri;236
Jenne;5
Labico;185
Labro;10
Ladispoli;1125
Lanuvio;375
Lariano;362
Latera;11
Latina;3262
Lenola;105
Leonessa;42
Licenza;21
Longone Sabino;5
Lubriano;14
Maenza;63
Magliano Romano;35
Magliano Sabina;74
Mandela;22
Manziana;199
Marano Equo;21
Marcellina;186
Marcetelli;0
Marino;1073
Marta;60
Mazzano Romano;50
Mentana;660
Micigliano;0
Minturno;467
Mompeo;6
Montalto Di Castro;190
Montasola;14
Monte Porzio Catone;241
Monte Romano;38
Monte San Biagio;128
Monte San Giovanni Campano;270
Monte San Giovanni In Sabina;10
Montebuono;17
Montecompatri;305
Montefiascone;275
Monteflavio;18
Montelanico;43
Monteleone Sabino;26
Montelibretti;132
Montenero Sabino;3
Monterosi;122
Monterotondo;1108
Montopoli Di Sabina;111
Montorio Romano;48
Moricone;52
Morlupo;205
Morolo;70
Morro Reatino;7
Nazzano;25
Nemi;57
Nepi;232
Nerola;61
Nespolo;4
Nettuno;1205
Norma;86
Olevano Romano;156
Onano;12
Oriolo Romano;100
Orte;210
Orvinio;8
Paganico;0
Palestrina;575
Paliano;192
Palombara Sabina;345
Pastena;32
Patrica;84
Percile;5
Pescorocchiano;40
Pescosolido;38
Petrella Salto;22
