Argomento: Popolazione
Classi età: 20-24
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;15
Acquafondata;6
Acquapendente;119
Acuto;33
Affile;38
Agosta;29
Alatri;654
Albano Laziale;922
Allumiere;84
Alvito;63
Amaseno;87
Amatrice;48
Anagni;479
Anguillara Sabazia;487
Anticoli Corrado;14
Antrodoco;59
Anzio;1314
Aprilia;1840
Aquino;103
Arce;114
Arcinazzo Romano;27
Ardea;1191
Ariccia;459
Arlena Di Castro;17
Arnara;44
Arpino;106
Arsoli;29
Artena;311
Ascrea;2
Atina;89
Ausonia;65
Bagnoregio;88
Barbarano Romano;16
Bassano In Teverina;34
Bassano Romano;89
Bassiano;37
Bellegra;65
Belmonte Castello;12
Belmonte In Sabina;14
Blera;78
Bolsena;60
Bomarzo;32
Borbona;3
Borgo Velino;31
Borgorose;88
Boville Ernica;198
Bracciano;482
Broccostella;66
Calcata;31
Camerata Nuova;3
Campagnano Di Roma;256
Campodimele;8
Campoli Appennino;31
Canale Monterano;95
Canepina;50
Canino;98
Cantalice;67
Cantalupo In Sabina;31
Canterano;11
Capena;239
Capodimonte;28
Capranica;149
Capranica Prenestina;6
Caprarola;110
Carbognano;48
Carpineto Romano;76
Casalattico;20
Casalvieri;53
Casape;14
Casaprota;15
Casperia;26
Cassino;842
Castel Di Tora;12
Castel Gandolfo;212
Castel Madama;138
Castel San Pietro Romano;24
Castel Sant'Angelo;21
Castel Sant'Elia;54
Castelforte;86
Castelliri;66
Castelnuovo Di Farfa;14
Castelnuovo Di Porto;201
Castelnuovo Parano;16
Castiglione In Teverina;51
Castro Dei Volsci;105
Castrocielo;75
Cave;251
Ceccano;484
Celleno;22
Cellere;17
Ceprano;165
Cerreto Laziale;21
Cervara Di Roma;6
Cervaro;178
Cerveteri;896
Ciampino;877
Ciciliano;16
Cineto Romano;20
Cisterna Di Latina;896
Cittaducale;150
Cittareale;5
Civita Castellana;357
Civitavecchia;1210
Civitella D'Agliano;14
Civitella San Paolo;38
Colfelice;34
Collalto Sabino;6
Colle Di Tora;8
Colle San Magno;14
Colleferro;490
Collegiove;3
Collepardo;20
Collevecchio;32
Colli Sul Velino;12
Colonna;114
Concerviano;6
Configni;10
Contigliano;69
Corchiano;76
Coreno Ausonio;37
Cori;222
Cottanello;11
Esperia;64
Fabrica Di Roma;181
Faleria;47
Falvaterra;7
Fara In Sabina;306
Farnese;30
Ferentino;462
Fiamignano;20
Fiano Romano;335
Filacciano;9
Filettino;6
Fiuggi;238
Fiumicino;1741
Fondi;1004
Fontana Liri;40
Fonte Nuova;784
Fontechiari;36
Forano;81
Formello;330
Formia;957
Frascati;539
Frasso Sabino;11
Frosinone;1069
Fumone;37
Gaeta;461
Gallese;67
Gallicano Nel Lazio;152
Gallinaro;32
Gavignano;41
Genazzano;118
Genzano Di Roma;527
Gerano;24
