Argomento: Popolazione
Classi età: 65-69
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;20
Acquafondata;11
Acquapendente;203
Acuto;61
Affile;49
Agosta;59
Alatri;878
Albano Laziale;1243
Allumiere;123
Alvito;90
Amaseno;125
Amatrice;68
Anagni;695
Anguillara Sabazia;583
Anticoli Corrado;34
Antrodoco;96
Anzio;1664
Aprilia;1944
Aquino;210
Arce;188
Arcinazzo Romano;51
Ardea;1366
Ariccia;602
Arlena Di Castro;41
Arnara;89
Arpino;246
Arsoli;65
Artena;381
Ascrea;8
Atina;163
Ausonia;76
Bagnoregio;130
Barbarano Romano;32
Bassano In Teverina;41
Bassano Romano;189
Bassiano;48
Bellegra;85
Belmonte Castello;24
Belmonte In Sabina;17
Blera;115
Bolsena;158
Bomarzo;56
Borbona;29
Borgo Velino;31
Borgorose;133
Boville Ernica;245
Bracciano;487
Broccostella;85
Calcata;35
Camerata Nuova;14
Campagnano Di Roma;357
Campodimele;20
Campoli Appennino;59
Canale Monterano;137
Canepina;86
Canino;178
Cantalice;88
Cantalupo In Sabina;64
Canterano;14
Capena;284
Capodimonte;63
Capranica;207
Capranica Prenestina;7
Caprarola;173
Carbognano;70
Carpineto Romano;150
Casalattico;19
Casalvieri;80
Casape;19
Casaprota;24
Casperia;40
Cassino;1174
Castel Di Tora;8
Castel Gandolfo;260
Castel Madama;237
Castel San Pietro Romano;21
Castel Sant'Angelo;46
Castel Sant'Elia;66
Castelforte;154
Castelliri;112
Castelnuovo Di Farfa;39
Castelnuovo Di Porto;278
Castelnuovo Parano;30
Castiglione In Teverina;88
Castro Dei Volsci;140
Castrocielo;131
Cave;315
Ceccano;796
Celleno;45
Cellere;37
Ceprano;304
Cerreto Laziale;30
Cervara Di Roma;14
Cervaro;252
Cerveteri;1114
Ciampino;1203
Ciciliano;40
Cineto Romano;17
Cisterna Di Latina;1044
Cittaducale;210
Cittareale;19
Civita Castellana;516
Civitavecchia;1622
Civitella D'Agliano;65
Civitella San Paolo;61
Colfelice;65
Collalto Sabino;16
Colle Di Tora;15
Colle San Magno;23
Colleferro;654
Collegiove;6
Collepardo;45
Collevecchio;51
Colli Sul Velino;12
Colonna;126
Concerviano;11
Configni;29
Contigliano;112
Corchiano;113
Coreno Ausonio;65
Cori;335
Cottanello;12
Esperia;150
Fabrica Di Roma;261
Faleria;59
Falvaterra;21
Fara In Sabina;430
Farnese;44
Ferentino;630
Fiamignano;51
Fiano Romano;383
Filacciano;10
Filettino;21
Fiuggi;345
Fiumicino;1991
Fondi;1146
Fontana Liri;96
Fonte Nuova;926
Fontechiari;45
Forano;92
Formello;384
Formia;1287
Frascati;738
Frasso Sabino;20
Frosinone;1427
Fumone;75
Gaeta;678
Gallese;100
Gallicano Nel Lazio;176
Gallinaro;41
Gavignano;60
Genazzano;175
Genzano Di Roma;774
Gerano;39
Giuliano Di Roma;79
Gorga;23
Gradoli;48
Graffignano;75
Greccio;47
Grottaferrata;665
Grotte Di Castro;110
Guarcino;53
Guidonia Montecelio;2371
Ischia Di Castro;81
Isola Del Liri;377
Itri;317
Jenne;20
Labico;164
Labro;11
Ladispoli;1060
Lanuvio;433
Lariano;367
Latera;30
Latina;3807
Lenola;143
Leonessa;79
Licenza;36
Longone Sabino;22
Lubriano;31
Maenza;83
Magliano Romano;48
Magliano Sabina;123
Mandela;34
Manziana;263
Marano Equo;20
Marcellina;196
Marcetelli;1
Marino;1289
Marta;111
Mazzano Romano;98
Mentana;627
Micigliano;5
Minturno;651
Mompeo;20
Montalto Di Castro;295
Montasola;14
Monte Porzio Catone;304
Monte Romano;74
Monte San Biagio;206
Monte San Giovanni Campano;438
Monte San Giovanni In Sabina;22
Montebuono;32
Montecompatri;323
Montefiascone;432
Monteflavio;44
Montelanico;75
Monteleone Sabino;33
Montelibretti;155
Montenero Sabino;11
Monterosi;127
Monterotondo;1123
Montopoli Di Sabina;140
Montorio Romano;55
Moricone;83
Morlupo;272
Morolo;100
Morro Reatino;6
Nazzano;44
Nemi;67
Nepi;256
Nerola;60
Nespolo;6
Nettuno;1495
Norma;120
Olevano Romano;209
Onano;27
Oriolo Romano;128
Orte;263
Orvinio;19
Paganico;6
Palestrina;655
Paliano;259
Palombara Sabina;381
Pastena;52
Patrica;112
Percile;7
Pescorocchiano;75
Pescosolido;57
Petrella Salto;35
Piansano;81
Picinisco;41
Pico;92
Piedimonte San Germano;190
Piglio;152
Pignataro Interamna;100
Pisoniano;18
Pofi;144
Poggio Bustone;64
Poggio Catino;50
Poggio Mirteto;192
Poggio Moiano;85
Poggio Nativo;82
Poggio San Lorenzo;25
Poli;72
Pomezia;1693
Pontecorvo;447
Pontinia;407
Ponza;108
Ponzano Romano;31
Posta;15
Posta Fibreno;38
Pozzaglia Sabino;13
Priverno;425
Proceno;16
Prossedi;42
Riano;282
Rieti;1543
Rignano Flaminio;285
Riofreddo;31
Ripi;179
Rivodutri;40
Rocca Canterano;8
Rocca D'Arce;28
Rocca Di Cave;11
Rocca Di Papa;518
Rocca Massima;25
Rocca Priora;373
Rocca Santo Stefano;27
Rocca Sinibalda;39
Roccagiovine;6
Roccagorga;127
Roccantica;14
Roccasecca;240
Roccasecca Dei Volsci;38
Roiate;33
Roma;84992
Ronciglione;314
Roviano;50
Sabaudia;591
Sacrofano;232
Salisano;20
Sambuci;29
San Biagio Saracinisco;15
San Cesareo;425
San Donato Val Di Comino;71
San Felice Circeo;309
San Giorgio A Liri;91
San Giovanni Incarico;128
San Gregorio Da Sassola;43
San Lorenzo Nuovo;67
San Polo Dei Cavalieri;91
San Vito Romano;108
San Vittore Del Lazio;76
Sant'Ambrogio Sul Garigliano;28
Sant'Andrea Del Garigliano;62
Sant'Angelo Romano;138
Sant'Apollinare;49
Sant'Elia Fiumerapido;216
Sant'Oreste;123
Santa Marinella;605
Santi Cosma E Damiano;219
Santopadre;34
Saracinesco;4
Scandriglia;102
Segni;272
Selci;36
Sermoneta;268
Serrone;95
Settefrati;32
Sezze;636
Sgurgola;67
Sonnino;194
Sora;818
Soriano Nel Cimino;277
Sperlonga;129
Spigno Saturnia;103
Stimigliano;60
Strangolagalli;54
Subiaco;314
Supino;150
Sutri;250
Tarano;42
Tarquinia;569
Terelle;8
Terracina;1378
Tessennano;8
Tivoli;1662
Toffia;32
Tolfa;151
Torre Cajetani;47
Torri In Sabina;42
Torrice;140
Torricella In Sabina;44
Torrita Tiberina;36
Trevi Nel Lazio;75
Trevignano Romano;199
Trivigliano;54
Turania;8
Tuscania;314
Vacone;5
Valentano;110
