Argomento: Popolazione
Classi età: 70-74
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;15
Acquafondata;7
Acquapendente;194
Acuto;57
Affile;43
Agosta;40
Alatri;830
Albano Laziale;1181
Allumiere;125
Alvito;109
Amaseno;117
Amatrice;93
Anagni;665
Anguillara Sabazia;478
Anticoli Corrado;24
Antrodoco;98
Anzio;1699
Aprilia;1966
Aquino;209
Arce;203
Arcinazzo Romano;41
Ardea;1153
Ariccia;578
Arlena Di Castro;35
Arnara;73
Arpino;227
Arsoli;54
Artena;333
Ascrea;5
Atina;130
Ausonia;76
Bagnoregio;111
Barbarano Romano;40
Bassano In Teverina;40
Bassano Romano;135
Bassiano;49
Bellegra;87
Belmonte Castello;30
Belmonte In Sabina;36
Blera;104
Bolsena;157
Bomarzo;55
Borbona;18
Borgo Velino;34
Borgorose;125
Boville Ernica;263
Bracciano;510
Broccostella;76
Calcata;30
Camerata Nuova;12
Campagnano Di Roma;295
Campodimele;22
Campoli Appennino;56
Canale Monterano;130
Canepina;88
Canino;170
Cantalice;78
Cantalupo In Sabina;53
Canterano;13
Capena;213
Capodimonte;63
Capranica;178
Capranica Prenestina;8
Caprarola;173
Carbognano;54
Carpineto Romano;171
Casalattico;18
Casalvieri;73
Casape;26
Casaprota;22
Casperia;47
Cassino;1196
Castel Di Tora;11
Castel Gandolfo;219
Castel Madama;196
Castel San Pietro Romano;15
Castel Sant'Angelo;49
Castel Sant'Elia;67
Castelforte;155
Castelliri;113
Castelnuovo Di Farfa;44
Castelnuovo Di Porto;218
Castelnuovo Parano;15
Castiglione In Teverina;77
Castro Dei Volsci;177
Castrocielo;136
Cave;274
Ceccano;668
Celleno;47
Cellere;34
Ceprano;304
Cerreto Laziale;36
Cervara Di Roma;13
Cervaro;262
Cerveteri;1046
Ciampino;1107
Ciciliano;33
Cineto Romano;16
Cisterna Di Latina;1033
Cittaducale;229
Cittareale;18
Civita Castellana;480
Civitavecchia;1652
Civitella D'Agliano;51
Civitella San Paolo;46
Colfelice;59
Collalto Sabino;13
Colle Di Tora;14
Colle San Magno;18
Colleferro;672
Collegiove;2
Collepardo;26
Collevecchio;63
Colli Sul Velino;18
Colonna;96
Concerviano;11
Configni;21
Contigliano;105
Corchiano;102
Coreno Ausonio;53
Cori;344
Cottanello;16
Esperia;126
Fabrica Di Roma;245
Faleria;58
Falvaterra;19
Fara In Sabina;409
Farnese;66
Ferentino;610
Fiamignano;54
Fiano Romano;393
Filacciano;22
Filettino;9
Fiuggi;325
Fiumicino;1985
Fondi;1134
Fontana Liri;129
Fonte Nuova;773
Fontechiari;31
Forano;86
Formello;313
Formia;1239
Frascati;633
Frasso Sabino;13
Frosinone;1488
Fumone;66
Gaeta;812
Gallese;82
Gallicano Nel Lazio;155
Gallinaro;50
Gavignano;45
Genazzano;143
Genzano Di Roma;679
Gerano;34
Giuliano Di Roma;74
Gorga;29
Gradoli;45
Graffignano;85
Greccio;59
Grottaferrata;608
Grotte Di Castro;85
Guarcino;53
Guidonia Montecelio;2339
Ischia Di Castro;68
Isola Del Liri;385
Itri;334
Jenne;13
Labico;152
Labro;20
Ladispoli;919
Lanuvio;338
Lariano;359
Latera;21
Latina;3884
Lenola;144
Leonessa;87
Licenza;24
Longone Sabino;29
Lubriano;36
Maenza;91
Magliano Romano;39
Magliano Sabina;111
Mandela;23
Manziana;238
Marano Equo;33
Marcellina;166
Marcetelli;1
Marino;1200
Marta;134
Mazzano Romano;112
Mentana;512
Micigliano;1
Minturno;639
Mompeo;16
Montalto Di Castro;297
Montasola;16
Monte Porzio Catone;281
Monte Romano;49
Monte San Biagio;184
Monte San Giovanni Campano;386
Monte San Giovanni In Sabina;28
Montebuono;38
Montecompatri;261
Montefiascone;448
Monteflavio;49
Montelanico;60
Monteleone Sabino;50
Montelibretti;160
Montenero Sabino;7
Monterosi;103
Monterotondo;991
Montopoli Di Sabina;104
Montorio Romano;43
Moricone;81
Morlupo;230
Morolo;93
Morro Reatino;16
Nazzano;32
Nemi;39
Nepi;249
Nerola;53
Nespolo;4
Nettuno;1451
Norma;124
Olevano Romano;184
Onano;45
Oriolo Romano;101
Orte;284
Orvinio;15
Paganico;1
Palestrina;581
Paliano;236
Palombara Sabina;342
Pastena;44
Patrica;80
Percile;6
Pescorocchiano;69
Pescosolido;58
Petrella Salto;37
Piansano;67
Picinisco;33
Pico;105
Piedimonte San Germano;179
Piglio;135
Pignataro Interamna;77
Pisoniano;18
Pofi;144
Poggio Bustone;73
Poggio Catino;51
Poggio Mirteto;180
Poggio Moiano;89
Poggio Nativo;67
Poggio San Lorenzo;15
Poli;69
Pomezia;1577
Pontecorvo;414
Pontinia;455
Ponza;92
Ponzano Romano;35
Posta;30
Posta Fibreno;48
Pozzaglia Sabino;13
Priverno;404
Proceno;14
Prossedi;39
Riano;238
Rieti;1513
Rignano Flaminio;268
Riofreddo;22
Ripi;168
Rivodutri;40
Rocca Canterano;8
Rocca D'Arce;32
Rocca Di Cave;12
Rocca Di Papa;408
Rocca Massima;22
Rocca Priora;331
Rocca Santo Stefano;27
Rocca Sinibalda;31
Roccagiovine;10
Roccagorga;153
Roccantica;18
Roccasecca;240
Roccasecca Dei Volsci;32
Roiate;23
Roma;80879
Ronciglione;271
Roviano;35
Sabaudia;590
Sacrofano;201
Salisano;15
Sambuci;23
San Biagio Saracinisco;14
San Cesareo;363
San Donato Val Di Comino;64
San Felice Circeo;311
San Giorgio A Liri;96
San Giovanni Incarico;112
San Gregorio Da Sassola;39
San Lorenzo Nuovo;79
San Polo Dei Cavalieri;80
San Vito Romano;82
San Vittore Del Lazio;71
Sant'Ambrogio Sul Garigliano;38
Sant'Andrea Del Garigliano;43
Sant'Angelo Romano;99
Sant'Apollinare;67
Sant'Elia Fiumerapido;200
Sant'Oreste;108
Santa Marinella;608
Santi Cosma E Damiano;203
Santopadre;37
Saracinesco;1
Scandriglia;101
Segni;268
Selci;30
Sermoneta;265
Serrone;114
Settefrati;16
Sezze;634
Sgurgola;68
Sonnino;184
Sora;784
Soriano Nel Cimino;274
Sperlonga;115
Spigno Saturnia;106
Stimigliano;56
Strangolagalli;79
Subiaco;308
Supino;155
Sutri;210
Tarano;42
Tarquinia;528
Terelle;13
Terracina;1436
Tessennano;6
Tivoli;1573
Toffia;28
Tolfa;149
Torre Cajetani;47
Torri In Sabina;40
Torrice;144
Torricella In Sabina;39
Torrita Tiberina;35
Trevi Nel Lazio;60
Trevignano Romano;200
Trivigliano;60
Turania;5
Tuscania;260
Vacone;15
Valentano;84
Vallecorsa;96
Vallemaio;22
Vallepietra;9
Vallerano;76
Vallerotonda;64
Vallinfreda;5
Valmontone;403
Varco Sabino;6
Vasanello;131
Vejano;74
Velletri;1536
Ventotene;22
Veroli;631
Vetralla;411
Vicalvi;32
Vico Nel Lazio;61
Vicovaro;92
Vignanello;155
Villa Latina;44
Villa San Giovanni In Tuscia;39
Villa Santa Lucia;76
Villa Santo Stefano;47
Viterbo;2077
Viticuso;8
Vitorchiano;124
Vivaro Romano;4
Zagarolo;411

Fonte www.opensalutelazio.it
