Argomento: Popolazione
Classi età: 40-44
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;13
Acquafondata;7
Acquapendente;145
Acuto;65
Affile;33
Agosta;65
Alatri;935
Albano Laziale;1472
Allumiere;144
Alvito;84
Amaseno;140
Amatrice;54
Anagni;779
Anguillara Sabazia;706
Anticoli Corrado;20
Antrodoco;59
Anzio;1984
Aprilia;2633
Aquino;172
Arce;184
Arcinazzo Romano;25
Ardea;1829
Ariccia;587
Arlena Di Castro;23
Arnara;90
Arpino;212
Arsoli;39
Artena;480
Ascrea;3
Atina;137
Ausonia;84
Bagnoregio;97
Barbarano Romano;24
Bassano In Teverina;37
Bassano Romano;146
Bassiano;34
Bellegra;86
Belmonte Castello;19
Belmonte In Sabina;26
Blera;94
Bolsena;106
Bomarzo;51
Borbona;12
Borgo Velino;30
Borgorose;126
Boville Ernica;278
Bracciano;674
Broccostella;71
Calcata;32
Camerata Nuova;10
Campagnano Di Roma;399
Campodimele;10
Campoli Appennino;52
Canale Monterano;122
Canepina;103
Canino;185
Cantalice;75
Cantalupo In Sabina;50
Canterano;9
Capena;400
Capodimonte;35
Capranica;238
Capranica Prenestina;8
Caprarola;153
Carbognano;49
Carpineto Romano;134
Casalattico;17
Casalvieri;92
Casape;16
Casaprota;18
Casperia;34
Cassino;1221
Castel Di Tora;1
Castel Gandolfo;305
Castel Madama;232
Castel San Pietro Romano;30
Castel Sant'Angelo;37
Castel Sant'Elia;93
Castelforte;114
Castelliri;114
Castelnuovo Di Farfa;26
Castelnuovo Di Porto;292
Castelnuovo Parano;28
Castiglione In Teverina;77
Castro Dei Volsci;162
Castrocielo;159
Cave;389
Ceccano;784
Celleno;46
Cellere;36
Ceprano;290
Cerreto Laziale;42
Cervara Di Roma;10
Cervaro;276
Cerveteri;1339
Ciampino;1279
Ciciliano;37
Cineto Romano;13
Cisterna Di Latina;1275
Cittaducale;219
Cittareale;5
Civita Castellana;554
Civitavecchia;1794
Civitella D'Agliano;46
Civitella San Paolo;69
Colfelice;58
Collalto Sabino;15
Colle Di Tora;7
Colle San Magno;21
Colleferro;703
Collegiove;2
Collepardo;27
Collevecchio;38
Colli Sul Velino;16
Colonna;148
Concerviano;12
Configni;22
Contigliano;120
Corchiano;140
Coreno Ausonio;54
Cori;333
Cottanello;13
Esperia;98
Fabrica Di Roma;274
Faleria;73
Falvaterra;11
Fara In Sabina;530
Farnese;41
Ferentino;679
Fiamignano;27
Fiano Romano;651
Filacciano;16
Filettino;21
Fiuggi;359
Fiumicino;3243
Fondi;1401
Fontana Liri;89
Fonte Nuova;1213
Fontechiari;41
Forano;120
Formello;504
