Argomento: Popolazione
Classi età: 30-34
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;7
Acquafondata;6
Acquapendente;115
Acuto;51
Affile;40
Agosta;51
Alatri;820
Albano Laziale;1015
Allumiere;84
Alvito;64
Amaseno;129
Amatrice;46
Anagni;525
Anguillara Sabazia;507
Anticoli Corrado;24
Antrodoco;51
Anzio;1546
Aprilia;2161
Aquino;136
Arce;152
Arcinazzo Romano;35
Ardea;1199
Ariccia;454
Arlena Di Castro;21
Arnara;42
Arpino;166
Arsoli;41
Artena;412
Ascrea;5
Atina;106
Ausonia;62
Bagnoregio;99
Barbarano Romano;32
Bassano In Teverina;35
Bassano Romano;93
Bassiano;42
Bellegra;83
Belmonte Castello;12
Belmonte In Sabina;11
Blera;72
Bolsena;101
Bomarzo;37
Borbona;12
Borgo Velino;17
Borgorose;110
Boville Ernica;247
Bracciano;473
Broccostella;78
Calcata;25
Camerata Nuova;5
Campagnano Di Roma;293
Campodimele;13
Campoli Appennino;49
Canale Monterano;103
Canepina;82
Canino;119
Cantalice;64
Cantalupo In Sabina;42
Canterano;7
Capena;296
Capodimonte;44
Capranica;164
Capranica Prenestina;6
Caprarola;142
Carbognano;50
Carpineto Romano;92
Casalattico;20
Casalvieri;57
Casape;15
Casaprota;12
Casperia;39
Cassino;984
Castel Di Tora;7
Castel Gandolfo;217
Castel Madama;190
Castel San Pietro Romano;17
Castel Sant'Angelo;31
Castel Sant'Elia;63
Castelforte;119
Castelliri;94
Castelnuovo Di Farfa;25
Castelnuovo Di Porto;220
Castelnuovo Parano;21
Castiglione In Teverina;60
Castro Dei Volsci;110
Castrocielo;104
Cave;327
Ceccano;658
Celleno;29
Cellere;18
Ceprano;179
Cerreto Laziale;30
Cervara Di Roma;13
Cervaro;234
Cerveteri;951
Ciampino;1063
Ciciliano;32
Cineto Romano;14
Cisterna Di Latina;1085
Cittaducale;156
Cittareale;7
Civita Castellana;404
Civitavecchia;1296
Civitella D'Agliano;37
Civitella San Paolo;63
Colfelice;51
Collalto Sabino;9
Colle Di Tora;6
Colle San Magno;20
Colleferro;536
Collegiove;4
Collepardo;27
Collevecchio;33
Colli Sul Velino;10
Colonna;119
Concerviano;10
Configni;7
Contigliano;96
Corchiano;94
Coreno Ausonio;42
Cori;290
Cottanello;10
Esperia;96
Fabrica Di Roma;223
Faleria;59
Falvaterra;14
Fara In Sabina;370
Farnese;27
Ferentino;576
Fiamignano;21
Fiano Romano;481
Filacciano;15
Filettino;13
Fiuggi;268
Fiumicino;2264
Fondi;1177
Fontana Liri;68
Fonte Nuova;1006
Fontechiari;41
Forano;82
Formello;363
Formia;952
Frascati;635
Frasso Sabino;21
Frosinone;1194
Fumone;56
Gaeta;493
Gallese;69
Gallicano Nel Lazio;170
Gallinaro;43
Gavignano;45
Genazzano;144
Genzano Di Roma;577
Gerano;20
Giuliano Di Roma;59
Gorga;18
Gradoli;26
Graffignano;54
Greccio;29
Grottaferrata;481
Grotte Di Castro;53
Guarcino;39
Guidonia Montecelio;2492
Ischia Di Castro;59
Isola Del Liri;271
Itri;268
Jenne;11
Labico;207
Labro;9
Ladispoli;1024
Lanuvio;354
Lariano;394
Latera;18
Latina;3455
Lenola;112
Leonessa;51
Licenza;19
Longone Sabino;11
Lubriano;23
Maenza;97
Magliano Romano;52
Magliano Sabina;72
Mandela;17
Manziana;195
Marano Equo;21
Marcellina;221
Marcetelli;3
Marino;1551
Marta;80
Mazzano Romano;76
Mentana;709
Micigliano;2
Minturno;621
Mompeo;9
Montalto Di Castro;213
Montasola;7
Monte Porzio Catone;212
Monte Romano;44
Monte San Biagio;183
Monte San Giovanni Campano;365
Monte San Giovanni In Sabina;15
Montebuono;17
Montecompatri;335
Montefiascone;326
Monteflavio;33
Montelanico;61
Monteleone Sabino;28
Montelibretti;140
Montenero Sabino;7
Monterosi;135
Monterotondo;1164
Montopoli Di Sabina;103
Montorio Romano;56
Moricone;49
Morlupo;211
Morolo;102
Morro Reatino;5
Nazzano;42
Nemi;54
Nepi;244
Nerola;40
Nespolo;4
Nettuno;1258
Norma;99
Olevano Romano;186
Onano;14
Oriolo Romano;100
Orte;235
Orvinio;10
Paganico;4
Palestrina;632
Paliano;217
Palombara Sabina;326
Pastena;33
Patrica;96
Percile;6
Pescorocchiano;43
Pescosolido;37
Petrella Salto;21
Piansano;46
Picinisco;26
Pico;58
Piedimonte San Germano;193
Piglio;133
Pignataro Interamna;75
Pisoniano;17
Pofi;104
Poggio Bustone;56
Poggio Catino;38
Poggio Mirteto;148
Poggio Moiano;84
Poggio Nativo;66
Poggio San Lorenzo;13
Poli;56
Pomezia;1739
Pontecorvo;367
Pontinia;445
Ponza;95
Ponzano Romano;32
Posta;13
