Argomento: Popolazione
Classi età: 10-14
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;14
Acquafondata;2
Acquapendente;95
Acuto;41
Affile;24
Agosta;47
Alatri;713
Albano Laziale;1060
Allumiere;83
Alvito;40
Amaseno;96
Amatrice;43
Anagni;561
Anguillara Sabazia;581
Anticoli Corrado;15
Antrodoco;60
Anzio;1589
Aprilia;2028
Aquino;129
Arce;116
Arcinazzo Romano;18
Ardea;1453
Ariccia;440
Arlena Di Castro;12
Arnara;57
Arpino;140
Arsoli;17
Artena;411
Ascrea;3
Atina;102
Ausonia;60
Bagnoregio;54
Barbarano Romano;18
Bassano In Teverina;26
Bassano Romano;113
Bassiano;31
Bellegra;52
Belmonte Castello;21
Belmonte In Sabina;12
Blera;58
Bolsena;75
Bomarzo;39
Borbona;7
Borgo Velino;14
Borgorose;87
Boville Ernica;206
Bracciano;494
Broccostella;61
Calcata;22
Camerata Nuova;10
Campagnano Di Roma;307
Campodimele;6
Campoli Appennino;33
Canale Monterano;100
Canepina;62
Canino;99
Cantalice;41
Cantalupo In Sabina;36
Canterano;6
Capena;361
Capodimonte;21
Capranica;174
Capranica Prenestina;2
Caprarola;122
Carbognano;39
Carpineto Romano;90
Casalattico;15
Casalvieri;58
Casape;18
Casaprota;14
Casperia;24
Cassino;834
Castel Di Tora;0
Castel Gandolfo;237
Castel Madama;197
Castel San Pietro Romano;19
Castel Sant'Angelo;17
Castel Sant'Elia;57
Castelforte;94
Castelliri;78
Castelnuovo Di Farfa;23
Castelnuovo Di Porto;208
Castelnuovo Parano;19
Castiglione In Teverina;62
Castro Dei Volsci;92
Castrocielo;105
Cave;275
Ceccano;540
Celleno;26
Cellere;17
Ceprano;207
Cerreto Laziale;28
Cervara Di Roma;1
Cervaro;204
Cerveteri;1021
Ciampino;1004
Ciciliano;29
Cineto Romano;9
Cisterna Di Latina;1007
Cittaducale;134
Cittareale;4
Civita Castellana;319
Civitavecchia;1278
Civitella D'Agliano;28
Civitella San Paolo;49
Colfelice;35
Collalto Sabino;4
Colle Di Tora;5
Colle San Magno;12
Colleferro;510
Collegiove;1
Collepardo;20
Collevecchio;38
Colli Sul Velino;7
Colonna;124
Concerviano;3
Configni;10
Contigliano;101
Corchiano;87
Coreno Ausonio;40
Cori;240
Cottanello;3
Esperia;78
Fabrica Di Roma;222
Faleria;37
Falvaterra;10
Fara In Sabina;350
Farnese;19
Ferentino;480
Fiamignano;13
Fiano Romano;511
Filacciano;5
Filettino;9
Fiuggi;224
Fiumicino;2324
Fondi;971
Fontana Liri;67
Fonte Nuova;954
Fontechiari;22
Forano;83
Formello;406
Formia;912
Frascati;586
Frasso Sabino;10
Frosinone;986
Fumone;45
Gaeta;402
Gallese;50
Gallicano Nel Lazio;192
Gallinaro;25
Gavignano;44
Genazzano;135
Genzano Di Roma;573
Gerano;23
Giuliano Di Roma;54
Gorga;17
Gradoli;20
Graffignano;44
Greccio;35
Grottaferrata;536
Grotte Di Castro;37
Guarcino;38
Guidonia Montecelio;2546
Ischia Di Castro;34
Isola Del Liri;240
Itri;226
Jenne;6
Labico;223
Labro;9
Ladispoli;1026
Lanuvio;402
Lariano;377
Latera;9
Latina;3347
Lenola;92
Leonessa;28
Licenza;24
Longone Sabino;14
Lubriano;12
Maenza;70
Magliano Romano;43
Magliano Sabina;77
Mandela;22
Manziana;168
Marano Equo;17
Marcellina;187
Marcetelli;0
Marino;1202
Marta;52
Mazzano Romano;60
Mentana;664
Micigliano;0
Minturno;469
Mompeo;3
Montalto Di Castro;214
Montasola;18
Monte Porzio Catone;230
Monte Romano;51
Monte San Biagio;140
Monte San Giovanni Campano;312
Monte San Giovanni In Sabina;19
Montebuono;13
Montecompatri;335
Montefiascone;281
Monteflavio;17
Montelanico;39
Monteleone Sabino;23
Montelibretti;123
Montenero Sabino;2
Monterosi;153
Monterotondo;1186
Montopoli Di Sabina;111
Montorio Romano;43
Moricone;53
Morlupo;203
Morolo;75
