Argomento: Popolazione
Classi età: 80-84
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;17
Acquafondata;3
Acquapendente;108
Acuto;26
Affile;25
Agosta;29
Alatri;369
Albano Laziale;551
Allumiere;75
Alvito;53
Amaseno;65
Amatrice;67
Anagni;337
Anguillara Sabazia;291
Anticoli Corrado;11
Antrodoco;37
Anzio;830
Aprilia;933
Aquino;70
Arce;95
Arcinazzo Romano;33
Ardea;602
Ariccia;264
Arlena Di Castro;17
Arnara;39
Arpino;122
Arsoli;31
Artena;174
Ascrea;8
Atina;68
Ausonia;33
Bagnoregio;65
Barbarano Romano;17
Bassano In Teverina;19
Bassano Romano;92
Bassiano;35
Bellegra;35
Belmonte Castello;22
Belmonte In Sabina;11
Blera;54
Bolsena;92
Bomarzo;40
Borbona;7
Borgo Velino;22
Borgorose;74
Boville Ernica;120
Bracciano;287
Broccostella;39
Calcata;11
Camerata Nuova;12
Campagnano Di Roma;138
Campodimele;10
Campoli Appennino;37
Canale Monterano;76
Canepina;44
Canino;90
Cantalice;58
Cantalupo In Sabina;29
Canterano;7
Capena;110
Capodimonte;36
Capranica;90
Capranica Prenestina;8
Caprarola;79
Carbognano;16
Carpineto Romano;97
Casalattico;16
Casalvieri;44
Casape;8
Casaprota;8
Casperia;22
Cassino;540
Castel Di Tora;11
Castel Gandolfo;113
Castel Madama;102
Castel San Pietro Romano;9
Castel Sant'Angelo;20
Castel Sant'Elia;39
Castelforte;61
Castelliri;53
Castelnuovo Di Farfa;15
Castelnuovo Di Porto;90
Castelnuovo Parano;13
Castiglione In Teverina;40
Castro Dei Volsci;94
Castrocielo;47
Cave;137
Ceccano;343
Celleno;19
Cellere;32
Ceprano;149
Cerreto Laziale;17
Cervara Di Roma;6
Cervaro;129
Cerveteri;604
Ciampino;581
Ciciliano;23
Cineto Romano;7
Cisterna Di Latina;487
Cittaducale;115
Cittareale;13
Civita Castellana;228
Civitavecchia;781
Civitella D'Agliano;34
Civitella San Paolo;25
Colfelice;29
Collalto Sabino;6
Colle Di Tora;13
Colle San Magno;15
Colleferro;372
Collegiove;4
Collepardo;12
Collevecchio;18
Colli Sul Velino;15
Colonna;60
Concerviano;6
Configni;13
Contigliano;66
Corchiano;52
Coreno Ausonio;17
Cori;172
Cottanello;17
Esperia;53
Fabrica Di Roma;107
Faleria;21
Falvaterra;10
Fara In Sabina;195
Farnese;38
Ferentino;302
Fiamignano;28
Fiano Romano;182
Filacciano;14
Filettino;11
Fiuggi;134
Fiumicino;1048
Fondi;487
Fontana Liri;60
Fonte Nuova;380
Fontechiari;16
Forano;36
Formello;185
Formia;638
Frascati;320
Frasso Sabino;13
Frosinone;663
Fumone;25
Gaeta;373
Gallese;48
Gallicano Nel Lazio;78
Gallinaro;18
Gavignano;32
Genazzano;79
Genzano Di Roma;349
Gerano;22
Giuliano Di Roma;45
Gorga;14
Gradoli;32
Graffignano;45
Greccio;45
Grottaferrata;367
Grotte Di Castro;75
Guarcino;34
Guidonia Montecelio;1042
Ischia Di Castro;40
Isola Del Liri;230
Itri;149
Jenne;9
Labico;66
Labro;8
Ladispoli;552
Lanuvio;153
Lariano;182
Latera;26
