Argomento: Popolazione
Classi età: 45-49
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;18
Acquafondata;15
Acquapendente;196
Acuto;71
Affile;51
Agosta;55
Alatri;1037
Albano Laziale;1611
Allumiere;166
Alvito;100
Amaseno;149
Amatrice;85
Anagni;837
Anguillara Sabazia;802
Anticoli Corrado;24
Antrodoco;73
Anzio;2649
Aprilia;3149
Aquino;199
Arce;171
Arcinazzo Romano;41
Ardea;2373
Ariccia;707
Arlena Di Castro;31
Arnara;93
Arpino;227
Arsoli;57
Artena;518
Ascrea;8
Atina;123
Ausonia;88
Bagnoregio;117
Barbarano Romano;21
Bassano In Teverina;53
Bassano Romano;170
Bassiano;54
Bellegra;98
Belmonte Castello;22
Belmonte In Sabina;29
Blera;98
Bolsena;121
Bomarzo;85
Borbona;25
Borgo Velino;32
Borgorose;145
Boville Ernica;293
Bracciano;743
Broccostella;83
Calcata;37
Camerata Nuova;9
Campagnano Di Roma;424
Campodimele;22
Campoli Appennino;58
Canale Monterano;156
Canepina;112
Canino;199
Cantalice;85
Cantalupo In Sabina;64
Canterano;11
Capena;516
Capodimonte;58
Capranica;272
Capranica Prenestina;9
Caprarola;193
Carbognano;67
Carpineto Romano;151
Casalattico;20
Casalvieri;106
Casape;24
Casaprota;31
Casperia;46
Cassino;1326
Castel Di Tora;10
Castel Gandolfo;321
Castel Madama;314
Castel San Pietro Romano;28
Castel Sant'Angelo;43
Castel Sant'Elia;88
Castelforte;145
Castelliri;116
Castelnuovo Di Farfa;33
Castelnuovo Di Porto;328
Castelnuovo Parano;41
Castiglione In Teverina;88
Castro Dei Volsci;165
Castrocielo;139
Cave;438
Ceccano;871
Celleno;42
Cellere;41
Ceprano;339
Cerreto Laziale;44
Cervara Di Roma;21
Cervaro;309
Cerveteri;1511
Ciampino;1490
Ciciliano;46
Cineto Romano;16
Cisterna Di Latina;1493
Cittaducale;236
Cittareale;12
Civita Castellana;627
Civitavecchia;2207
Civitella D'Agliano;49
Civitella San Paolo;86
Colfelice;58
Collalto Sabino;16
Colle Di Tora;20
Colle San Magno;20
Colleferro;737
Collegiove;6
Collepardo;32
Collevecchio;56
Colli Sul Velino;19
Colonna;169
Concerviano;8
Configni;24
Contigliano;141
Corchiano;142
Coreno Ausonio;59
Cori;397
Cottanello;21
Esperia;107
Fabrica Di Roma;362
Faleria;95
Falvaterra;16
Fara In Sabina;607
Farnese;50
Ferentino;791
Fiamignano;59
Fiano Romano;722
Filacciano;23
Filettino;21
Fiuggi;424
Fiumicino;3855
Fondi;1666
Fontana Liri;87
Fonte Nuova;1393
Fontechiari;45
Forano;120
Formello;523
Formia;1414
Frascati;913
Frasso Sabino;17
Frosinone;1530
Fumone;83
Gaeta;787
Gallese;93
Gallicano Nel Lazio;276
Gallinaro;41
Gavignano;63
Genazzano;230
Genzano Di Roma;892
Gerano;53
