Argomento: Popolazione
Classi età: 80-84
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;20
Acquafondata;7
Acquapendente;159
Acuto;41
Affile;27
Agosta;32
Alatri;489
Albano Laziale;796
Allumiere;88
Alvito;61
Amaseno;79
Amatrice;55
Anagni;379
Anguillara Sabazia;325
Anticoli Corrado;21
Antrodoco;72
Anzio;1021
Aprilia;1262
Aquino;108
Arce;157
Arcinazzo Romano;36
Ardea;715
Ariccia;366
Arlena Di Castro;21
Arnara;38
Arpino;192
Arsoli;38
Artena;258
Ascrea;6
Atina;106
Ausonia;46
Bagnoregio;98
Barbarano Romano;24
Bassano In Teverina;26
Bassano Romano;114
Bassiano;39
Bellegra;59
Belmonte Castello;11
Belmonte In Sabina;12
Blera;74
Bolsena;115
Bomarzo;30
Borbona;18
Borgo Velino;21
Borgorose;87
Boville Ernica;174
Bracciano;380
Broccostella;61
Calcata;22
Camerata Nuova;12
Campagnano Di Roma;205
Campodimele;13
Campoli Appennino;45
Canale Monterano;80
Canepina;56
Canino;132
Cantalice;62
Cantalupo In Sabina;40
Canterano;8
Capena;144
Capodimonte;49
Capranica;129
Capranica Prenestina;5
Caprarola;134
Carbognano;42
Carpineto Romano;122
Casalattico;14
Casalvieri;52
Casape;17
Casaprota;17
Casperia;28
Cassino;651
Castel Di Tora;8
Castel Gandolfo;190
Castel Madama;142
Castel San Pietro Romano;13
Castel Sant'Angelo;34
Castel Sant'Elia;42
Castelforte;93
Castelliri;62
Castelnuovo Di Farfa;21
Castelnuovo Di Porto;160
Castelnuovo Parano;22
Castiglione In Teverina;51
Castro Dei Volsci;96
Castrocielo;61
Cave;182
Ceccano;411
Celleno;27
Cellere;45
Ceprano;182
Cerreto Laziale;22
Cervara Di Roma;8
Cervaro;135
Cerveteri;748
Ciampino;883
Ciciliano;22
Cineto Romano;19
Cisterna Di Latina;640
Cittaducale;145
Cittareale;14
Civita Castellana;353
Civitavecchia;1132
Civitella D'Agliano;40
Civitella San Paolo;44
Colfelice;32
Collalto Sabino;14
Colle Di Tora;14
Colle San Magno;18
Colleferro;486
Collegiove;3
Collepardo;24
Collevecchio;43
Colli Sul Velino;10
Colonna;79
Concerviano;10
Configni;23
Contigliano;77
Corchiano;78
Coreno Ausonio;23
Cori;263
Cottanello;14
Esperia;59
Fabrica Di Roma;140
Faleria;38
Falvaterra;11
Fara In Sabina;236
Farnese;48
Ferentino;383
Fiamignano;29
Fiano Romano;186
Filacciano;15
Filettino;16
Fiuggi;198
Fiumicino;1209
Fondi;616
Fontana Liri;57
Fonte Nuova;491
Fontechiari;27
Forano;68
Formello;240
Formia;789
Frascati;502
Frasso Sabino;15
Frosinone;1046
Fumone;47
Gaeta;502
Gallese;63
Gallicano Nel Lazio;94
Gallinaro;23
Gavignano;27
Genazzano;133
Genzano Di Roma;469
Gerano;23
Giuliano Di Roma;58
Gorga;18
Gradoli;52
Graffignano;65
Greccio;40
Grottaferrata;533
Grotte Di Castro;61
Guarcino;39
Guidonia Montecelio;1424
Ischia Di Castro;71
Isola Del Liri;315
Itri;172
Jenne;11
Labico;105
Labro;8
Ladispoli;769
Lanuvio;187
Lariano;228
Latera;25
Latina;2576
Lenola;92
Leonessa;61
Licenza;13
Longone Sabino;24
Lubriano;14
Maenza;58
Magliano Romano;17
Magliano Sabina;95
Mandela;20
Manziana;155
Marano Equo;26
Marcellina;118
Marcetelli;4
Marino;799
Marta;85
Mazzano Romano;49
Mentana;319
Micigliano;2
Minturno;396
Mompeo;19
Montalto Di Castro;206
Montasola;12
Monte Porzio Catone;170
Monte Romano;50
Monte San Biagio;120
Monte San Giovanni Campano;232
Monte San Giovanni In Sabina;24
Montebuono;27
Montecompatri;191
Montefiascone;308
Monteflavio;42
Montelanico;40
Monteleone Sabino;33
Montelibretti;130
Montenero Sabino;6
Monterosi;67
Monterotondo;694
