Argomento: Popolazione
Classi età: 0-4
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;4
Acquafondata;4
Acquapendente;88
Acuto;31
Affile;28
Agosta;28
Alatri;516
Albano Laziale;665
Allumiere;51
Alvito;38
Amaseno;85
Amatrice;45
Anagni;382
Anguillara Sabazia;357
Anticoli Corrado;15
Antrodoco;32
Anzio;1071
Aprilia;1650
Aquino;64
Arce;89
Arcinazzo Romano;17
Ardea;902
Ariccia;289
Arlena Di Castro;10
Arnara;33
Arpino;108
Arsoli;10
Artena;267
Ascrea;2
Atina;86
Ausonia;32
Bagnoregio;48
Barbarano Romano;15
Bassano In Teverina;21
Bassano Romano;66
Bassiano;24
Bellegra;35
Belmonte Castello;11
Belmonte In Sabina;8
Blera;50
Bolsena;56
Bomarzo;35
Borbona;13
Borgo Velino;12
Borgorose;72
Boville Ernica;181
Bracciano;306
Broccostella;42
Calcata;16
Camerata Nuova;2
Campagnano Di Roma;197
Campodimele;6
Campoli Appennino;27
Canale Monterano;65
Canepina;51
Canino;75
Cantalice;37
Cantalupo In Sabina;22
Canterano;3
Capena;229
Capodimonte;18
Capranica;99
Capranica Prenestina;3
Caprarola;105
Carbognano;34
Carpineto Romano;70
Casalattico;7
Casalvieri;33
Casape;7
Casaprota;8
Casperia;17
Cassino;664
Castel Di Tora;3
Castel Gandolfo;149
Castel Madama;119
Castel San Pietro Romano;10
Castel Sant'Angelo;26
Castel Sant'Elia;47
Castelforte;81
Castelliri;63
Castelnuovo Di Farfa;11
Castelnuovo Di Porto;161
Castelnuovo Parano;14
Castiglione In Teverina;38
Castro Dei Volsci;70
Castrocielo;74
Cave;225
Ceccano;387
Celleno;25
Cellere;14
Ceprano;117
Cerreto Laziale;33
Cervara Di Roma;6
Cervaro;150
Cerveteri;695
Ciampino;706
Ciciliano;14
Cineto Romano;3
Cisterna Di Latina;778
Cittaducale;96
Cittareale;10
Civita Castellana;242
Civitavecchia;863
Civitella D'Agliano;26
Civitella San Paolo;32
Colfelice;33
Collalto Sabino;2
Colle Di Tora;4
Colle San Magno;10
Colleferro;351
Collegiove;0
Collepardo;11
Collevecchio;16
Colli Sul Velino;5
Colonna;82
Concerviano;3
Configni;3
Contigliano;88
Corchiano;64
Coreno Ausonio;31
Cori;199
Cottanello;10
Esperia;60
Fabrica Di Roma;142
Faleria;26
Falvaterra;8
Fara In Sabina;276
Farnese;19
Ferentino;337
Fiamignano;10
Fiano Romano;353
Filacciano;11
Filettino;3
Fiuggi;128
Fiumicino;1697
Fondi;835
Fontana Liri;49
Fonte Nuova;741
Fontechiari;28
Forano;46
Formello;277
Formia;636
Frascati;450
Frasso Sabino;15
Frosinone;749
Fumone;22
Gaeta;275
Gallese;31
Gallicano Nel Lazio;130
Gallinaro;27
Gavignano;35
Genazzano;105
Genzano Di Roma;400
Gerano;19
Giuliano Di Roma;48
Gorga;18
Gradoli;11
Graffignano;38
Greccio;21
Grottaferrata;340
Grotte Di Castro;36
Guarcino;20
Guidonia Montecelio;1819
Ischia Di Castro;35
Isola Del Liri;161
Itri;188
Jenne;1
Labico;139
Labro;8
Ladispoli;738
Lanuvio;232
Lariano;281
Latera;10
Latina;2418
Lenola;71
Leonessa;29
Licenza;16
Longone Sabino;7
Lubriano;10
Maenza;47
Magliano Romano;21
Magliano Sabina;58
Mandela;16
Manziana;125
Marano Equo;9
Marcellina;174
Marcetelli;0
Marino;1073
Marta;41
Mazzano Romano;53
Mentana;460
Micigliano;2
Minturno;381
Mompeo;9
Montalto Di Castro;129
Montasola;2
Monte Porzio Catone;163
Monte Romano;30
Monte San Biagio;136
Monte San Giovanni Campano;232
Monte San Giovanni In Sabina;5
Montebuono;6
Montecompatri;220
Montefiascone;214
Monteflavio;14
Montelanico;42
Monteleone Sabino;23
Montelibretti;95
Montenero Sabino;3
Monterosi;109
Monterotondo;817
Montopoli Di Sabina;74
Montorio Romano;37
Moricone;41
Morlupo;141
Morolo;41
Morro Reatino;6
Nazzano;16
Nemi;29
Nepi;140
Nerola;25
Nespolo;4
Nettuno;859
Norma;64
Olevano Romano;104
Onano;7
Oriolo Romano;57
Orte;187
Orvinio;7
Paganico;0
Palestrina;465
Paliano;159
Palombara Sabina;241
Pastena;16
Patrica;37
Percile;1
Pescorocchiano;28
Pescosolido;28
Petrella Salto;17
Piansano;27
Picinisco;23
Pico;51
Piedimonte San Germano;162
Piglio;69
Pignataro Interamna;68
Pisoniano;11
Pofi;74
Poggio Bustone;35
Poggio Catino;31
Poggio Mirteto;105
Poggio Moiano;42
Poggio Nativo;46
Poggio San Lorenzo;7
Poli;39
Pomezia;1307
Pontecorvo;230
Pontinia;337
Ponza;74
Ponzano Romano;30
Posta;12
Posta Fibreno;26
Pozzaglia Sabino;2
Priverno;296
Proceno;6
Prossedi;25
Riano;213
Rieti;703
Rignano Flaminio;188
Riofreddo;10
Ripi;90
Rivodutri;20
Rocca Canterano;1
Rocca D'Arce;17
Rocca Di Cave;4
Rocca Di Papa;346
Rocca Massima;17
Rocca Priora;223
Rocca Santo Stefano;18
Rocca Sinibalda;10
Roccagiovine;2
Roccagorga;78
Roccantica;10
Roccasecca;112
Roccasecca Dei Volsci;14
Roiate;8
Roma;50545
Ronciglione;120
Roviano;14
Sabaudia;420
Sacrofano;119
