Argomento: Popolazione
Classi età: 20-24
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;15
Acquafondata;3
Acquapendente;138
Acuto;51
Affile;32
Agosta;43
Alatri;720
Albano Laziale;973
Allumiere;84
Alvito;78
Amaseno;112
Amatrice;50
Anagni;508
Anguillara Sabazia;466
Anticoli Corrado;22
Antrodoco;46
Anzio;1432
Aprilia;1955
Aquino;148
Arce;148
Arcinazzo Romano;31
Ardea;1269
Ariccia;499
Arlena Di Castro;17
Arnara;39
Arpino;179
Arsoli;30
Artena;346
Ascrea;1
Atina;109
Ausonia;69
Bagnoregio;69
Barbarano Romano;17
Bassano In Teverina;25
Bassano Romano;102
Bassiano;32
Bellegra;54
Belmonte Castello;17
Belmonte In Sabina;13
Blera;47
Bolsena;83
Bomarzo;41
Borbona;11
Borgo Velino;19
Borgorose;95
Boville Ernica;200
Bracciano;497
Broccostella;80
Calcata;13
Camerata Nuova;14
Campagnano Di Roma;294
Campodimele;10
Campoli Appennino;41
Canale Monterano;101
Canepina;83
Canino;99
Cantalice;65
Cantalupo In Sabina;42
Canterano;14
Capena;269
Capodimonte;22
Capranica;150
Capranica Prenestina;8
Caprarola;114
Carbognano;51
Carpineto Romano;80
Casalattico;10
Casalvieri;67
Casape;13
Casaprota;11
Casperia;28
Cassino;1040
Castel Di Tora;8
Castel Gandolfo;211
Castel Madama;156
Castel San Pietro Romano;25
Castel Sant'Angelo;21
Castel Sant'Elia;66
Castelforte;102
Castelliri;83
Castelnuovo Di Farfa;14
Castelnuovo Di Porto;253
Castelnuovo Parano;22
Castiglione In Teverina;40
Castro Dei Volsci;109
Castrocielo;79
Cave;281
Ceccano;519
Celleno;27
Cellere;18
Ceprano;227
Cerreto Laziale;32
Cervara Di Roma;8
Cervaro;193
Cerveteri;953
Ciampino;938
Ciciliano;32
Cineto Romano;11
Cisterna Di Latina;1026
Cittaducale;136
Cittareale;7
Civita Castellana;358
Civitavecchia;1337
Civitella D'Agliano;34
Civitella San Paolo;46
Colfelice;42
Collalto Sabino;4
Colle Di Tora;12
Colle San Magno;15
Colleferro;495
Collegiove;3
Collepardo;21
Collevecchio;50
Colli Sul Velino;11
Colonna;100
Concerviano;1
Configni;12
Contigliano;104
Corchiano;91
Coreno Ausonio;41
Cori;322
Cottanello;14
Esperia;83
Fabrica Di Roma;189
Faleria;39
Falvaterra;12
Fara In Sabina;354
Farnese;31
Ferentino;565
Fiamignano;16
Fiano Romano;396
Filacciano;14
Filettino;14
Fiuggi;281
Fiumicino;1936
Fondi;1100
Fontana Liri;52
Fonte Nuova;836
Fontechiari;24
Forano;93
Formello;368
Formia;962
Frascati;524
Frasso Sabino;23
Frosinone;1128
Fumone;52
Gaeta;467
Gallese;64
Gallicano Nel Lazio;166
Gallinaro;31
Gavignano;52
Genazzano;115
Genzano Di Roma;545
Gerano;25
Giuliano Di Roma;46
Gorga;12
Gradoli;35
Graffignano;31
Greccio;23
Grottaferrata;527
Grotte Di Castro;77
Guarcino;34
Guidonia Montecelio;2462
Ischia Di Castro;38
Isola Del Liri;270
Itri;311
Jenne;13
Labico;165
Labro;7
Ladispoli;1143
Lanuvio;318
Lariano;349
Latera;15
Latina;3466
Lenola;124
Leonessa;44
Licenza;20
Longone Sabino;13
Lubriano;19
Maenza;79
Magliano Romano;38
Magliano Sabina;93
Mandela;32
Manziana;178
Marano Equo;14
Marcellina;189
Marcetelli;1
Marino;962
Marta;68
Mazzano Romano;63
Mentana;592
Micigliano;0
Minturno;522
Mompeo;7
Montalto Di Castro;211
Montasola;4
Monte Porzio Catone;182
Monte Romano;43
Monte San Biagio;151
Monte San Giovanni Campano;303
Monte San Giovanni In Sabina;11
Montebuono;23
Montecompatri;266
Montefiascone;294
Monteflavio;22
Montelanico;47
Monteleone Sabino;27
Montelibretti;119
Montenero Sabino;3
Monterosi;106
Monterotondo;1038
Montopoli Di Sabina;102
Montorio Romano;41
Moricone;43
Morlupo;216
Morolo;76
Morro Reatino;5
Nazzano;37
Nemi;48
Nepi;217
Nerola;49
Nespolo;4
Nettuno;1256
Norma;92
Olevano Romano;162
Onano;20
Oriolo Romano;91
Orte;239
Orvinio;4
Paganico;2
Palestrina;541
Paliano;194
Palombara Sabina;326
Pastena;27
Patrica;71
Percile;4
Pescorocchiano;25
Pescosolido;43
Petrella Salto;25
Piansano;38
Picinisco;30
Pico;50
Piedimonte San Germano;153
Piglio;97
Pignataro Interamna;52
Pisoniano;18
Pofi;94
Poggio Bustone;49
Poggio Catino;23
Poggio Mirteto;168
Poggio Moiano;80
