Argomento: Popolazione
Classi età: 40-44
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;13
Acquafondata;4
Acquapendente;160
Acuto;60
Affile;45
Agosta;56
Alatri;968
Albano Laziale;1358
Allumiere;134
Alvito;85
Amaseno;152
Amatrice;73
Anagni;725
Anguillara Sabazia;595
Anticoli Corrado;33
Antrodoco;72
Anzio;2210
Aprilia;2779
Aquino;175
Arce;174
Arcinazzo Romano;28
Ardea;1914
Ariccia;543
Arlena Di Castro;33
Arnara;64
Arpino;211
Arsoli;46
Artena;462
Ascrea;8
Atina;124
Ausonia;82
Bagnoregio;107
Barbarano Romano;37
Bassano In Teverina;47
Bassano Romano;154
Bassiano;38
Bellegra;79
Belmonte Castello;22
Belmonte In Sabina;19
Blera;107
Bolsena;98
Bomarzo;49
Borbona;11
Borgo Velino;21
Borgorose;140
Boville Ernica;275
Bracciano;619
Broccostella;78
Calcata;31
Camerata Nuova;15
Campagnano Di Roma;353
Campodimele;16
Campoli Appennino;59
Canale Monterano;119
Canepina;83
Canino;195
Cantalice;81
Cantalupo In Sabina;46
Canterano;8
Capena;439
Capodimonte;50
Capranica;236
Capranica Prenestina;13
Caprarola;159
Carbognano;71
Carpineto Romano;139
Casalattico;20
Casalvieri;85
Casape;16
Casaprota;23
Casperia;29
Cassino;1156
Castel Di Tora;10
Castel Gandolfo;287
Castel Madama;228
Castel San Pietro Romano;18
Castel Sant'Angelo;42
Castel Sant'Elia;94
Castelforte;129
Castelliri;95
Castelnuovo Di Farfa;37
Castelnuovo Di Porto;274
Castelnuovo Parano;24
Castiglione In Teverina;77
Castro Dei Volsci;131
Castrocielo;139
Cave;427
Ceccano;784
Celleno;46
Cellere;27
Ceprano;277
Cerreto Laziale;38
Cervara Di Roma;14
Cervaro;261
Cerveteri;1261
Ciampino;1289
Ciciliano;44
Cineto Romano;16
Cisterna Di Latina;1344
Cittaducale;216
Cittareale;12
Civita Castellana;579
Civitavecchia;1748
Civitella D'Agliano;47
Civitella San Paolo;79
Colfelice;64
Collalto Sabino;14
Colle Di Tora;9
Colle San Magno;27
Colleferro;646
Collegiove;4
Collepardo;34
Collevecchio;38
Colli Sul Velino;8
Colonna;155
Concerviano;9
Configni;25
Contigliano;127
Corchiano;132
Coreno Ausonio;58
Cori;380
Cottanello;16
Esperia;119
Fabrica Di Roma;299
Faleria;69
Falvaterra;12
Fara In Sabina;493
Farnese;47
Ferentino;675
Fiamignano;37
Fiano Romano;660
Filacciano;10
Filettino;15
Fiuggi;344
Fiumicino;3238
Fondi;1521
Fontana Liri;88
Fonte Nuova;1278
Fontechiari;45
Forano;113
Formello;418
Formia;1172
Frascati;747
Frasso Sabino;30
Frosinone;1415
Fumone;70
Gaeta;575
Gallese;84
Gallicano Nel Lazio;274
Gallinaro;41
Gavignano;66
Genazzano;187
Genzano Di Roma;731
Gerano;37
Giuliano Di Roma;73
Gorga;18
Gradoli;32
Graffignano;64
Greccio;43
Grottaferrata;552
Grotte Di Castro;72
Guarcino;48
Guidonia Montecelio;3328
Ischia Di Castro;80
Isola Del Liri;348
Itri;350
Jenne;9
Labico;247
Labro;14
Ladispoli;1399
Lanuvio;463
Lariano;430
Latera;27
Latina;4340
Lenola;134
Leonessa;50
Licenza;32
Longone Sabino;9
Lubriano;34
Maenza;90
Magliano Romano;51
Magliano Sabina;107
Mandela;34
Manziana;259
Marano Equo;28
Marcellina;303
Marcetelli;3
Marino;1870
Marta;119
Mazzano Romano;129
Mentana;841
Micigliano;7
Minturno;615
Mompeo;15
Montalto Di Castro;314
Montasola;15
Monte Porzio Catone;247
Monte Romano;91
Monte San Biagio;228
Monte San Giovanni Campano;419
Monte San Giovanni In Sabina;23
Montebuono;26
Montecompatri;458
Montefiascone;391
Monteflavio;38
Montelanico;69
Monteleone Sabino;38
Montelibretti;171
Montenero Sabino;8
Monterosi;161
Monterotondo;1451
Montopoli Di Sabina;132
Montorio Romano;65
Moricone;85
Morlupo;285
Morolo;120
Morro Reatino;17
Nazzano;53
Nemi;68
Nepi;330
Nerola;74
Nespolo;7
Nettuno;1703
Norma;128
Olevano Romano;201
Onano;27
Oriolo Romano;115
Orte;350
Orvinio;10
Paganico;4
Palestrina;800
Paliano;301
Palombara Sabina;427
Pastena;29
Patrica;102
Percile;2
Pescorocchiano;49
Pescosolido;48
