Argomento: Popolazione
Classi età: 75-79
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;18
Acquafondata;3
Acquapendente;138
Acuto;31
Affile;38
Agosta;39
Alatri;515
Albano Laziale;855
Allumiere;96
Alvito;71
Amaseno;97
Amatrice;72
Anagni;498
Anguillara Sabazia;424
Anticoli Corrado;16
Antrodoco;36
Anzio;1311
Aprilia;1390
Aquino;78
Arce;126
Arcinazzo Romano;19
Ardea;972
Ariccia;467
Arlena Di Castro;19
Arnara;64
Arpino;200
Arsoli;43
Artena;251
Ascrea;10
Atina;97
Ausonia;52
Bagnoregio;85
Barbarano Romano;27
Bassano In Teverina;36
Bassano Romano;122
Bassiano;41
Bellegra;69
Belmonte Castello;15
Belmonte In Sabina;20
Blera;91
Bolsena;127
Bomarzo;53
Borbona;16
Borgo Velino;23
Borgorose;88
Boville Ernica;180
Bracciano;454
Broccostella;51
Calcata;13
Camerata Nuova;15
Campagnano Di Roma;211
Campodimele;9
Campoli Appennino;30
Canale Monterano;87
Canepina;81
Canino;140
Cantalice;56
Cantalupo In Sabina;40
Canterano;6
Capena;183
Capodimonte;53
Capranica;143
Capranica Prenestina;8
Caprarola;119
Carbognano;43
Carpineto Romano;100
Casalattico;17
Casalvieri;66
Casape;19
Casaprota;16
Casperia;25
Cassino;740
Castel Di Tora;11
Castel Gandolfo;197
Castel Madama;150
Castel San Pietro Romano;21
Castel Sant'Angelo;26
Castel Sant'Elia;51
Castelforte;84
Castelliri;75
Castelnuovo Di Farfa;16
Castelnuovo Di Porto;189
Castelnuovo Parano;13
Castiglione In Teverina;53
Castro Dei Volsci;136
Castrocielo;96
Cave;201
Ceccano;517
Celleno;21
Cellere;37
Ceprano;196
Cerreto Laziale;31
Cervara Di Roma;5
Cervaro;168
Cerveteri;899
Ciampino;871
Ciciliano;24
Cineto Romano;20
Cisterna Di Latina;736
Cittaducale;188
Cittareale;7
Civita Castellana;394
Civitavecchia;1393
Civitella D'Agliano;40
Civitella San Paolo;45
Colfelice;46
Collalto Sabino;9
Colle Di Tora;8
Colle San Magno;16
Colleferro;558
Collegiove;5
Collepardo;13
Collevecchio;35
Colli Sul Velino;16
Colonna;86
Concerviano;5
Configni;16
Contigliano;94
Corchiano;65
Coreno Ausonio;34
Cori;236
Cottanello;14
Esperia;63
Fabrica Di Roma;168
Faleria;31
Falvaterra;10
Fara In Sabina;273
Farnese;33
Ferentino;452
Fiamignano;27
Fiano Romano;245
Filacciano;13
Filettino;11
Fiuggi;256
Fiumicino;1480
Fondi;685
Fontana Liri;63
Fonte Nuova;576
Fontechiari;20
Forano;71
Formello;302
Formia;882
Frascati;547
Frasso Sabino;8
Frosinone;1128
Fumone;56
Gaeta;595
Gallese;70
Gallicano Nel Lazio;115
Gallinaro;28
Gavignano;44
Genazzano;142
Genzano Di Roma;547
Gerano;31
Giuliano Di Roma;52
Gorga;14
Gradoli;34
Graffignano;68
Greccio;50
Grottaferrata;598
Grotte Di Castro;74
Guarcino;42
Guidonia Montecelio;1630
Ischia Di Castro;63
Isola Del Liri;363
Itri;210
Jenne;6
Labico;97
Labro;7
Ladispoli;890
Lanuvio;217
Lariano;252
Latera;31
Latina;2987
Lenola;73
Leonessa;65
Licenza;24
Longone Sabino;13
Lubriano;29
Maenza;65
Magliano Romano;28
Magliano Sabina;95
Mandela;19
Manziana;208
Marano Equo;16
Marcellina;121
Marcetelli;2
Marino;956
Marta;93
Mazzano Romano;65
Mentana;415
Micigliano;3
Minturno;399
Mompeo;16
Montalto Di Castro;239
Montasola;12
Monte Porzio Catone;237
Monte Romano;45
Monte San Biagio;117
Monte San Giovanni Campano;225
Monte San Giovanni In Sabina;21
Montebuono;15
Montecompatri;215
Montefiascone;363
Monteflavio;28
Montelanico;48
Monteleone Sabino;31
Montelibretti;135
Montenero Sabino;14
Monterosi;94
Monterotondo;862
Montopoli Di Sabina;113
Montorio Romano;38
Moricone;57
Morlupo;193
Morolo;73
Morro Reatino;13
Nazzano;26
Nemi;51
Nepi;206
Nerola;41
Nespolo;4
Nettuno;1152
Norma;77
Olevano Romano;155
Onano;33
Oriolo Romano;93
Orte;237
Orvinio;11
Paganico;5
Palestrina;461
Paliano;191
Palombara Sabina;275
Pastena;23
Patrica;60
Percile;8
Pescorocchiano;55
Pescosolido;22
Petrella Salto;28
Piansano;50
Picinisco;33
Pico;68
Piedimonte San Germano;99
Piglio;105
Pignataro Interamna;40
Pisoniano;19
Pofi;109
Poggio Bustone;46
Poggio Catino;29
Poggio Mirteto;140
Poggio Moiano;52
Poggio Nativo;54
Poggio San Lorenzo;12
Poli;56
Pomezia;1240
Pontecorvo;208
Pontinia;312
Ponza;69
Ponzano Romano;29
Posta;13
Posta Fibreno;39
Pozzaglia Sabino;13
Priverno;335
Proceno;20
Prossedi;22
Riano;204
Rieti;1246
Rignano Flaminio;212
Riofreddo;23
Ripi;122
Rivodutri;31
Rocca Canterano;3
Rocca D'Arce;26
Rocca Di Cave;13
Rocca Di Papa;283
Rocca Massima;31
Rocca Priora;235
Rocca Santo Stefano;21
Rocca Sinibalda;14
Roccagiovine;5
Roccagorga;99
Roccantica;18
Roccasecca;161
Roccasecca Dei Volsci;32
Roiate;10
Roma;70637
Ronciglione;204
Roviano;26
Sabaudia;459
Sacrofano;186
Salisano;15
