Argomento: Popolazione
Classi età: 65-69
Genere: Maschi
Anni¹: 2022


;2022
Torri In Sabina;41
Torrice;136
Torricella In Sabina;55
Torrita Tiberina;28
Trevi Nel Lazio;79
Trevignano Romano;189
Trivigliano;42
Turania;13
Tuscania;272
Vacone;5
Valentano;115
Vallecorsa;91
Vallemaio;38
Vallepietra;11
Vallerano;85
Vallerotonda;50
Vallinfreda;8
Valmontone;385
Varco Sabino;10
Vasanello;150
Vejano;85
Velletri;1497
Ventotene;30
Veroli;633
Vetralla;411
Vicalvi;23
Vico Nel Lazio;67
Vicovaro;126
Vignanello;144
Villa Latina;34
Villa San Giovanni In Tuscia;42
Villa Santa Lucia;92
Villa Santo Stefano;63
Viterbo;1856
Viticuso;8
Vitorchiano;139
Vivaro Romano;6
Zagarolo;487

Fonte www.opensalutelazio.it
