Argomento: Popolazione
Classi età: 25-29
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;9
Acquafondata;9
Acquapendente;137
Acuto;47
Affile;46
Agosta;42
Alatri;799
Albano Laziale;946
Allumiere;105
Alvito;77
Amaseno;110
Amatrice;68
Anagni;542
Anguillara Sabazia;477
Anticoli Corrado;23
Antrodoco;82
Anzio;1418
Aprilia;2122
Aquino;143
Arce;160
Arcinazzo Romano;43
Ardea;1189
Ariccia;430
Arlena Di Castro;24
Arnara;44
Arpino;174
Arsoli;23
Artena;349
Ascrea;8
Atina;99
Ausonia;71
Bagnoregio;63
Barbarano Romano;24
Bassano In Teverina;26
Bassano Romano;121
Bassiano;32
Bellegra;53
Belmonte Castello;20
Belmonte In Sabina;17
Blera;81
Bolsena;83
Bomarzo;39
Borbona;14
Borgo Velino;28
Borgorose;129
Boville Ernica;234
Bracciano;465
Broccostella;99
Calcata;24
Camerata Nuova;10
Campagnano Di Roma;285
Campodimele;17
Campoli Appennino;45
Canale Monterano;122
Canepina;68
Canino;115
Cantalice;56
Cantalupo In Sabina;46
Canterano;15
Capena;246
Capodimonte;39
Capranica;161
Capranica Prenestina;7
Caprarola;145
Carbognano;49
Carpineto Romano;68
Casalattico;17
Casalvieri;64
Casape;11
Casaprota;11
Casperia;15
Cassino;1100
Castel Di Tora;7
Castel Gandolfo;190
Castel Madama;170
Castel San Pietro Romano;26
Castel Sant'Angelo;38
Castel Sant'Elia;66
Castelforte;125
Castelliri;82
Castelnuovo Di Farfa;35
Castelnuovo Di Porto;235
Castelnuovo Parano;23
Castiglione In Teverina;51
Castro Dei Volsci;107
Castrocielo;100
Cave;275
Ceccano;546
Celleno;39
Cellere;26
Ceprano;238
Cerreto Laziale;29
Cervara Di Roma;10
Cervaro;214
Cerveteri;870
Ciampino;977
Ciciliano;27
Cineto Romano;9
Cisterna Di Latina;1029
Cittaducale;167
Cittareale;12
Civita Castellana;416
Civitavecchia;1262
Civitella D'Agliano;32
Civitella San Paolo;46
Colfelice;47
Collalto Sabino;8
Colle Di Tora;9
Colle San Magno;18
Colleferro;564
Collegiove;7
Collepardo;29
Collevecchio;45
Colli Sul Velino;16
Colonna;117
Concerviano;6
Configni;17
Contigliano;91
Corchiano;96
Coreno Ausonio;46
Cori;305
Cottanello;13
Esperia;92
Fabrica Di Roma;200
Faleria;54
Falvaterra;15
Fara In Sabina;388
Farnese;31
Ferentino;571
Fiamignano;23
Fiano Romano;437
Filacciano;9
Filettino;13
Fiuggi;272
Fiumicino;1914
Fondi;1103
Fontana Liri;74
Fonte Nuova;837
Fontechiari;37
Forano;94
Formello;330
Formia;1004
Frascati;524
Frasso Sabino;22
Frosinone;1197
Fumone;35
Gaeta;504
Gallese;47
Gallicano Nel Lazio;152
Gallinaro;25
Gavignano;54
Genazzano;151
Genzano Di Roma;584
Gerano;27
Giuliano Di Roma;64
Gorga;13
Gradoli;29
Graffignano;53
Greccio;40
Grottaferrata;467
Grotte Di Castro;70
Guarcino;34
Guidonia Montecelio;2395
Ischia Di Castro;54
Isola Del Liri;257
Itri;312
Jenne;7
Labico;154
Labro;10
Ladispoli;1060
Lanuvio;331
Lariano;355
Latera;20
Latina;3472
Lenola;127
Leonessa;47
Licenza;18
Longone Sabino;9
Lubriano;26
Maenza;81
Magliano Romano;39
Magliano Sabina;83
Mandela;16
Manziana;177
Marano Equo;15
Marcellina;209
Marcetelli;3
Marino;1092
Marta;79
Mazzano Romano;87
Mentana;597
Micigliano;6
Minturno;582
Mompeo;18
Montalto Di Castro;213
Montasola;6
Monte Porzio Catone;193
Monte Romano;55
Monte San Biagio;181
