Argomento: Popolazione
Classi età: 5-9
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;2
Acquafondata;6
Acquapendente;93
Acuto;34
Affile;24
Agosta;38
Alatri;655
Albano Laziale;914
Allumiere;83
Alvito;34
Amaseno;86
Amatrice;32
Anagni;474
Anguillara Sabazia;431
Anticoli Corrado;16
Antrodoco;32
Anzio;1306
Aprilia;1762
Aquino;108
Arce;95
Arcinazzo Romano;17
Ardea;1119
Ariccia;357
Arlena Di Castro;8
Arnara;46
Arpino;129
Arsoli;24
Artena;312
Ascrea;1
Atina;67
Ausonia;47
Bagnoregio;46
Barbarano Romano;14
Bassano In Teverina;24
Bassano Romano;81
Bassiano;20
Bellegra;57
Belmonte Castello;14
Belmonte In Sabina;10
Blera;64
Bolsena;45
Bomarzo;31
Borbona;7
Borgo Velino;18
Borgorose;78
Boville Ernica;179
Bracciano;427
Broccostella;43
Calcata;19
Camerata Nuova;4
Campagnano Di Roma;271
Campodimele;5
Campoli Appennino;33
Canale Monterano;82
Canepina;47
Canino;112
Cantalice;45
Cantalupo In Sabina;29
Canterano;0
Capena;278
Capodimonte;16
Capranica;144
Capranica Prenestina;5
Caprarola;99
Carbognano;49
Carpineto Romano;75
Casalattico;10
Casalvieri;44
Casape;10
Casaprota;7
Casperia;22
Cassino;724
Castel Di Tora;2
Castel Gandolfo;189
Castel Madama;149
Castel San Pietro Romano;16
Castel Sant'Angelo;15
Castel Sant'Elia;53
Castelforte;84
Castelliri;69
Castelnuovo Di Farfa;18
Castelnuovo Di Porto;192
Castelnuovo Parano;21
Castiglione In Teverina;50
Castro Dei Volsci;81
Castrocielo;91
Cave;231
Ceccano;506
Celleno;26
Cellere;10
Ceprano;163
Cerreto Laziale;17
Cervara Di Roma;7
Cervaro;171
Cerveteri;804
Ciampino;811
Ciciliano;26
Cineto Romano;5
Cisterna Di Latina;815
Cittaducale;103
Cittareale;1
Civita Castellana;303
Civitavecchia;1145
Civitella D'Agliano;26
Civitella San Paolo;44
Colfelice;39
Collalto Sabino;2
Colle Di Tora;5
Colle San Magno;8
Colleferro;369
Collegiove;0
Collepardo;20
Collevecchio;18
Colli Sul Velino;6
Colonna;101
Concerviano;5
Configni;6
Contigliano;76
Corchiano;62
Coreno Ausonio;34
Cori;192
Cottanello;14
Esperia;64
Fabrica Di Roma;187
Faleria;38
Falvaterra;6
Fara In Sabina;315
Farnese;15
Ferentino;437
Fiamignano;19
Fiano Romano;432
Filacciano;6
Filettino;8
Fiuggi;179
Fiumicino;2140
Fondi;925
Fontana Liri;56
Fonte Nuova;840
