Argomento: Popolazione
Classi età: 30-34
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;14
Acquafondata;15
Acquapendente;147
Acuto;49
Affile;48
Agosta;51
Alatri;878
Albano Laziale;1051
Allumiere;92
Alvito;69
Amaseno;138
Amatrice;57
Anagni;562
Anguillara Sabazia;449
Anticoli Corrado;27
Antrodoco;60
Anzio;1752
Aprilia;2178
Aquino;133
Arce;169
Arcinazzo Romano;32
Ardea;1221
Ariccia;447
Arlena Di Castro;31
Arnara;60
Arpino;189
Arsoli;21
Artena;416
Ascrea;5
Atina;122
Ausonia;71
Bagnoregio;88
Barbarano Romano;22
Bassano In Teverina;24
Bassano Romano;128
Bassiano;40
Bellegra;78
Belmonte Castello;20
Belmonte In Sabina;13
Blera;77
Bolsena;79
Bomarzo;44
Borbona;17
Borgo Velino;22
Borgorose;127
Boville Ernica;291
Bracciano;454
Broccostella;80
Calcata;20
Camerata Nuova;13
Campagnano Di Roma;272
Campodimele;17
Campoli Appennino;52
Canale Monterano;111
Canepina;85
Canino;150
Cantalice;84
Cantalupo In Sabina;47
Canterano;14
Capena;309
Capodimonte;38
Capranica;166
Capranica Prenestina;12
Caprarola;137
Carbognano;59
Carpineto Romano;90
Casalattico;11
Casalvieri;59
Casape;24
Casaprota;14
Casperia;25
Cassino;1168
Castel Di Tora;7
Castel Gandolfo;204
Castel Madama;201
Castel San Pietro Romano;18
Castel Sant'Angelo;32
Castel Sant'Elia;66
Castelforte;119
Castelliri;87
Castelnuovo Di Farfa;39
Castelnuovo Di Porto;274
Castelnuovo Parano;28
Castiglione In Teverina;68
Castro Dei Volsci;115
Castrocielo;96
Cave;320
Ceccano;701
Celleno;32
Cellere;31
Ceprano;231
Cerreto Laziale;35
Cervara Di Roma;12
Cervaro;198
Cerveteri;911
Ciampino;1052
Ciciliano;42
Cineto Romano;19
Cisterna Di Latina;1040
Cittaducale;177
Cittareale;14
Civita Castellana;433
Civitavecchia;1353
Civitella D'Agliano;30
Civitella San Paolo;68
Colfelice;57
Collalto Sabino;10
Colle Di Tora;12
Colle San Magno;19
Colleferro;577
Collegiove;9
Collepardo;24
Collevecchio;48
Colli Sul Velino;8
Colonna;110
Concerviano;5
Configni;11
Contigliano;104
Corchiano;111
Coreno Ausonio;37
Cori;290
Cottanello;17
Esperia;119
Fabrica Di Roma;235
Faleria;51
Falvaterra;18
Fara In Sabina;406
Farnese;35
Ferentino;644
Fiamignano;35
Fiano Romano;470
Filacciano;10
Filettino;15
Fiuggi;278
Fiumicino;2327
Fondi;1307
Fontana Liri;84
Fonte Nuova;983
Fontechiari;43
Forano;103
Formello;327
Formia;904
Frascati;590
Frasso Sabino;32
Frosinone;1279
Fumone;70
Gaeta;492
Gallese;68
Gallicano Nel Lazio;185
Gallinaro;32
Gavignano;62
Genazzano;146
Genzano Di Roma;606
Gerano;25
Giuliano Di Roma;69
Gorga;26
Gradoli;39
Graffignano;56
Greccio;35
Grottaferrata;470
Grotte Di Castro;77
Guarcino;42
Guidonia Montecelio;2583
Ischia Di Castro;58
Isola Del Liri;266
Itri;306
Jenne;9
Labico;190
Labro;8
Ladispoli;1153
Lanuvio;310
Lariano;368
Latera;35
Latina;3606
Lenola;122
Leonessa;60
Licenza;27
Longone Sabino;18
Lubriano;19
Maenza;78
Magliano Romano;41
Magliano Sabina;77
Mandela;17
Manziana;180
Marano Equo;27
Marcellina;236
Marcetelli;2
Marino;1408
Marta;80
Mazzano Romano;62
Mentana;660
Micigliano;1
Minturno;641
Mompeo;15
Montalto Di Castro;242
Montasola;12
Monte Porzio Catone;199
Monte Romano;56
Monte San Biagio;195
Monte San Giovanni Campano;389
Monte San Giovanni In Sabina;12
Montebuono;20
Montecompatri;328
Montefiascone;379
Monteflavio;18
Montelanico;80
Monteleone Sabino;34
Montelibretti;117
Montenero Sabino;7
Monterosi;124
Monterotondo;1075
Montopoli Di Sabina;100
Montorio Romano;74
Moricone;60
Morlupo;192
Morolo;95
Morro Reatino;7
Nazzano;42
Nemi;49
Nepi;241
Nerola;38
Nespolo;5
Nettuno;1413
Norma;119
Olevano Romano;186
Onano;16
Oriolo Romano;93
Orte;246
Orvinio;6
Paganico;3
Palestrina;688
Paliano;222
Palombara Sabina;359
Pastena;36
Patrica;103
Percile;4
Pescorocchiano;59
Pescosolido;39
Petrella Salto;28
Piansano;54
Picinisco;39
Pico;70
Piedimonte San Germano;175
Piglio;132
Pignataro Interamna;74
Pisoniano;21
Pofi;112
Poggio Bustone;51
Poggio Catino;30
Poggio Mirteto;187
Poggio Moiano;111
