Argomento: Popolazione
Classi età: 45-49
Genere: Femmine
Anni¹: 2022


;2022
Ripi;190
Rivodutri;44
Rocca Canterano;3
Rocca D'Arce;24
Rocca Di Cave;10
Rocca Di Papa;725
Rocca Massima;34
Rocca Priora;495
Rocca Santo Stefano;28
Rocca Sinibalda;22
Roccagiovine;13
Roccagorga;166
Roccantica;18
Roccasecca;244
Roccasecca Dei Volsci;36
Roiate;18
Roma;117504
Ronciglione;339
Roviano;49
Sabaudia;774
Sacrofano;352
Salisano;20
Sambuci;30
San Biagio Saracinisco;5
San Cesareo;706
San Donato Val Di Comino;70
San Felice Circeo;363
San Giorgio A Liri;112
San Giovanni Incarico;97
San Gregorio Da Sassola;50
San Lorenzo Nuovo;68
San Polo Dei Cavalieri;98
San Vito Romano;80
San Vittore Del Lazio;88
Sant'Ambrogio Sul Garigliano;26
Sant'Andrea Del Garigliano;46
Sant'Angelo Romano;214
Sant'Apollinare;57
Sant'Elia Fiumerapido;202
Sant'Oreste;133
Santa Marinella;847
Santi Cosma E Damiano;268
Santopadre;37
Saracinesco;8
Scandriglia;133
Segni;349
Selci;42
Sermoneta;423
Serrone;126
Settefrati;24
Sezze;927
Sgurgola;100
Sonnino;266
Sora;936
Soriano Nel Cimino;320
Sperlonga;118
Spigno Saturnia;107
Stimigliano;92
Strangolagalli;92
Subiaco;306
Supino;165
Sutri;263
Tarano;53
Tarquinia;684
Terelle;9
Terracina;1791
Tessennano;5
Tivoli;2254
Toffia;34
Tolfa;180
Torre Cajetani;48
Torri In Sabina;37
Torrice;179
Torricella In Sabina;41
Torrita Tiberina;43
Trevi Nel Lazio;57
Trevignano Romano;218
Trivigliano;72
Turania;5
Tuscania;323
Vacone;9
Valentano;90
Vallecorsa;90
Vallemaio;17
Vallepietra;9
Vallerano;87
Vallerotonda;47
Vallinfreda;15
Valmontone;671
Varco Sabino;4
Vasanello;157
Vejano;68
Velletri;2155
Ventotene;20
Veroli;756
Vetralla;523
Vicalvi;26
Vico Nel Lazio;71
Vicovaro;155
Vignanello;163
Villa Latina;40
Villa San Giovanni In Tuscia;35
Villa Santa Lucia;91
Villa Santo Stefano;52
Viterbo;2778
Viticuso;10
Vitorchiano;244
Vivaro Romano;1
Zagarolo;791

Fonte www.opensalutelazio.it
