Argomento: Popolazione
Classi età: 45-49
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;21
Acquafondata;8
Acquapendente;192
Acuto;62
Affile;44
Agosta;54
Alatri;1179
Albano Laziale;1737
Allumiere;144
Alvito;83
Amaseno;140
Amatrice;61
Anagni;880
Anguillara Sabazia;858
Anticoli Corrado;24
Antrodoco;80
Anzio;2453
Aprilia;3106
Aquino;203
Arce;174
Arcinazzo Romano;39
Ardea;2244
Ariccia;766
Arlena Di Castro;23
Arnara;79
Arpino;228
Arsoli;59
Artena;530
Ascrea;4
Atina;155
Ausonia;71
Bagnoregio;112
Barbarano Romano;40
Bassano In Teverina;50
Bassano Romano;168
Bassiano;56
Bellegra;84
Belmonte Castello;27
Belmonte In Sabina;25
Blera;112
Bolsena;141
Bomarzo;65
Borbona;9
Borgo Velino;38
Borgorose;149
Boville Ernica;265
Bracciano;802
Broccostella;92
Calcata;34
Camerata Nuova;19
Campagnano Di Roma;481
Campodimele;15
Campoli Appennino;41
Canale Monterano;195
Canepina;107
Canino;173
Cantalice;81
Cantalupo In Sabina;70
Canterano;9
Capena;507
Capodimonte;69
Capranica;263
Capranica Prenestina;10
Caprarola;207
Carbognano;59
Carpineto Romano;142
Casalattico;21
Casalvieri;89
Casape;29
Casaprota;31
Casperia;44
Cassino;1431
Castel Di Tora;8
Castel Gandolfo;396
Castel Madama;281
Castel San Pietro Romano;31
Castel Sant'Angelo;36
Castel Sant'Elia;104
Castelforte;172
Castelliri;111
Castelnuovo Di Farfa;26
Castelnuovo Di Porto;337
Castelnuovo Parano;33
Castiglione In Teverina;86
Castro Dei Volsci;191
Castrocielo;138
Cave;437
Ceccano;857
Celleno;40
Cellere;27
Ceprano;327
Cerreto Laziale;43
Cervara Di Roma;18
Cervaro;323
Cerveteri;1610
Ciampino;1634
Ciciliano;54
Cineto Romano;21
Cisterna Di Latina;1516
Cittaducale;249
Cittareale;13
Civita Castellana;643
Civitavecchia;2310
Civitella D'Agliano;37
Civitella San Paolo;59
Colfelice;73
Collalto Sabino;18
Colle Di Tora;12
Colle San Magno;17
Colleferro;820
Collegiove;2
Collepardo;31
Collevecchio;65
Colli Sul Velino;12
Colonna;188
Concerviano;12
Configni;13
Contigliano;131
Corchiano;151
Coreno Ausonio;45
Cori;415
Cottanello;12
Esperia;118
Fabrica Di Roma;353
Faleria;69
Falvaterra;17
Fara In Sabina;600
Farnese;38
Ferentino;806
Fiamignano;38
Fiano Romano;754
Filacciano;15
Filettino;17
Fiuggi;461
Fiumicino;3870
Fondi;1596
Fontana Liri;94
Fonte Nuova;1434
Fontechiari;39
Forano;121
Formello;595
Formia;1500
Frascati;984
Frasso Sabino;28
Frosinone;1754
Fumone;73
Gaeta;768
Gallese;102
Gallicano Nel Lazio;288
Gallinaro;39
Gavignano;82
Genazzano;201
Genzano Di Roma;934
Gerano;40
Giuliano Di Roma;79
Gorga;22
Gradoli;41
Graffignano;80
Greccio;57
Grottaferrata;877
Grotte Di Castro;91
Guarcino;61
Guidonia Montecelio;3806
Ischia Di Castro;73
Isola Del Liri;400
Itri;380
Jenne;7
Labico;294
Labro;15
Ladispoli;1852
Lanuvio;576
Lariano;525
Latera;11
Latina;5516
Lenola;146
Leonessa;74
Licenza;29
Longone Sabino;20
Lubriano;36
Maenza;84
Magliano Romano;60
Magliano Sabina;114
Mandela;35
Manziana;335
Marano Equo;36
Marcellina;296
Marcetelli;0
Marino;2010
Marta;137
Mazzano Romano;118
Mentana;987
Micigliano;3
Minturno;744
Mompeo;12
Montalto Di Castro;381
Montasola;13
Monte Porzio Catone;332
Monte Romano;70
Monte San Biagio;235
Monte San Giovanni Campano;433
Monte San Giovanni In Sabina;29
Montebuono;34
Montecompatri;532
Montefiascone;513
Monteflavio;47
Montelanico;72
Monteleone Sabino;46
Montelibretti;216
Montenero Sabino;8
Monterosi;191
Monterotondo;1907
Montopoli Di Sabina;178
Montorio Romano;57
Moricone;84
Morlupo;353
Morolo;116
Morro Reatino;12
Nazzano;51
Nemi;82
Nepi;402
Nerola;77
Nespolo;6
Nettuno;1973
Norma;144
Olevano Romano;244
Onano;29
Oriolo Romano;171
Orte;384
Orvinio;7
Paganico;5
Palestrina;909
Paliano;322
Palombara Sabina;525
Pastena;35
Patrica;110
Percile;9
Pescorocchiano;50
Pescosolido;54
Petrella Salto;29
Piansano;52
Picinisco;32
Pico;88
Piedimonte San Germano;278
Piglio;158
Pignataro Interamna;84
Pisoniano;15
Pofi;152
Poggio Bustone;69
Poggio Catino;39
Poggio Mirteto;247
Poggio Moiano;98
Poggio Nativo;95
Poggio San Lorenzo;12
Poli;76
Pomezia;2963
Pontecorvo;425
Pontinia;591
Ponza;105
Ponzano Romano;41
Posta;19
Posta Fibreno;37
Pozzaglia Sabino;5
Priverno;509
Proceno;20
Prossedi;36
Riano;468
Rieti;1813
Rignano Flaminio;429
Riofreddo;28
