Argomento: Popolazione
Classi età: 10-14
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;9
Acquafondata;3
Acquapendente;87
Acuto;41
Affile;30
Agosta;40
Alatri;675
Albano Laziale;1036
Allumiere;76
Alvito;39
Amaseno;94
Amatrice;44
Anagni;477
Anguillara Sabazia;508
Anticoli Corrado;13
Antrodoco;43
Anzio;1481
Aprilia;2043
Aquino;107
Arce;90
Arcinazzo Romano;17
Ardea;1243
Ariccia;462
Arlena Di Castro;17
Arnara;43
Arpino;114
Arsoli;35
Artena;348
Ascrea;4
Atina;98
Ausonia;47
Bagnoregio;54
Barbarano Romano;10
Bassano In Teverina;28
Bassano Romano;99
Bassiano;19
Bellegra;49
Belmonte Castello;10
Belmonte In Sabina;14
Blera;52
Bolsena;63
Bomarzo;29
Borbona;7
Borgo Velino;19
Borgorose;100
Boville Ernica;181
Bracciano;442
Broccostella;59
Calcata;24
Camerata Nuova;9
Campagnano Di Roma;295
Campodimele;9
Campoli Appennino;36
Canale Monterano;94
Canepina;72
Canino;112
Cantalice;46
Cantalupo In Sabina;35
Canterano;10
Capena;274
Capodimonte;27
Capranica;133
Capranica Prenestina;1
Caprarola;111
Carbognano;39
Carpineto Romano;75
Casalattico;9
Casalvieri;46
Casape;14
Casaprota;19
Casperia;32
Cassino;823
Castel Di Tora;3
Castel Gandolfo;218
Castel Madama;173
Castel San Pietro Romano;15
Castel Sant'Angelo;18
Castel Sant'Elia;59
Castelforte;86
Castelliri;70
Castelnuovo Di Farfa;17
Castelnuovo Di Porto;205
Castelnuovo Parano;24
Castiglione In Teverina;53
Castro Dei Volsci;78
Castrocielo;96
Cave;251
Ceccano;537
Celleno;33
Cellere;18
Ceprano;190
Cerreto Laziale;26
Cervara Di Roma;7
Cervaro;205
Cerveteri;898
Ciampino;955
Ciciliano;23
Cineto Romano;6
Cisterna Di Latina;878
Cittaducale;146
Cittareale;3
Civita Castellana;364
Civitavecchia;1273
Civitella D'Agliano;20
Civitella San Paolo;52
Colfelice;26
Collalto Sabino;3
Colle Di Tora;8
Colle San Magno;12
Colleferro;494
Collegiove;1
Collepardo;15
Collevecchio;23
Colli Sul Velino;12
Colonna;109
Concerviano;3
Configni;10
Contigliano;70
Corchiano;85
Coreno Ausonio;43
Cori;227
Cottanello;10
Esperia;62
Fabrica Di Roma;187
Faleria;40
Falvaterra;11
Fara In Sabina;322
Farnese;13
Ferentino;412
Fiamignano;16
Fiano Romano;477
Filacciano;8
Filettino;11
Fiuggi;203
Fiumicino;2236
Fondi;921
Fontana Liri;63
Fonte Nuova;865
Fontechiari;22
Forano;70
Formello;400
Formia;927
Frascati;621
Frasso Sabino;10
Frosinone;963
Fumone;30
Gaeta;374
Gallese;48
Gallicano Nel Lazio;190
Gallinaro;25
Gavignano;45
Genazzano;136
Genzano Di Roma;517
Gerano;27
Giuliano Di Roma;44
Gorga;7
Gradoli;27
Graffignano;41
Greccio;22
Grottaferrata;529
Grotte Di Castro;43
Guarcino;29
Guidonia Montecelio;2429
Ischia Di Castro;52
Isola Del Liri;237
Itri;225
Jenne;2
Labico;188
Labro;8
Ladispoli;1003
Lanuvio;369
Lariano;347
Latera;6
Latina;3119
Lenola;88
Leonessa;33
Licenza;28
Longone Sabino;9
Lubriano;16
Maenza;84
Magliano Romano;32
Magliano Sabina;72
Mandela;33
Manziana;170
Marano Equo;10
Marcellina;168
Marcetelli;0
Marino;1148
Marta;60
Mazzano Romano;64
Mentana;616
Micigliano;0
Minturno;444
Mompeo;9
Montalto Di Castro;217
Montasola;8
Monte Porzio Catone;223
Monte Romano;46
Monte San Biagio;152
Monte San Giovanni Campano;278
Monte San Giovanni In Sabina;18
Montebuono;14
Montecompatri;333
Montefiascone;269
Monteflavio;21
Montelanico;43
Monteleone Sabino;11
Montelibretti;122
Montenero Sabino;3
Monterosi;132
Monterotondo;1072
Montopoli Di Sabina;100
Montorio Romano;43
Moricone;60
Morlupo;210
Morolo;68
Morro Reatino;9
Nazzano;28
Nemi;56
Nepi;219
Nerola;45
Nespolo;2
Nettuno;1134
Norma;82
Olevano Romano;145
Onano;13
Oriolo Romano;71
Orte;210
Orvinio;5
Paganico;1
Palestrina;594
Paliano;199
Palombara Sabina;331
Pastena;21
Patrica;65
Percile;5
Pescorocchiano;32
Pescosolido;26
Petrella Salto;11
Piansano;26
