Argomento: Popolazione
Classi età: 35-39
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;14
Acquafondata;8
Acquapendente;153
Acuto;59
Affile;41
Agosta;46
Alatri;920
Albano Laziale;1197
Allumiere;116
Alvito;70
Amaseno;144
Amatrice;53
Anagni;669
Anguillara Sabazia;540
Anticoli Corrado;31
Antrodoco;63
Anzio;1938
Aprilia;2524
Aquino;139
Arce;178
Arcinazzo Romano;35
Ardea;1528
Ariccia;500
Arlena Di Castro;26
Arnara;62
Arpino;186
Arsoli;33
Artena;471
Ascrea;3
Atina;132
Ausonia;76
Bagnoregio;98
Barbarano Romano;27
Bassano In Teverina;42
Bassano Romano;128
Bassiano;49
Bellegra;76
Belmonte Castello;24
Belmonte In Sabina;17
Blera;91
Bolsena;95
Bomarzo;57
Borbona;15
Borgo Velino;32
Borgorose;130
Boville Ernica;272
Bracciano;470
Broccostella;73
Calcata;22
Camerata Nuova;10
Campagnano Di Roma;329
Campodimele;31
Campoli Appennino;48
Canale Monterano;99
Canepina;90
Canino;183
Cantalice;67
Cantalupo In Sabina;52
Canterano;16
Capena;360
Capodimonte;45
Capranica;181
Capranica Prenestina;10
Caprarola;174
Carbognano;61
Carpineto Romano;110
Casalattico;14
Casalvieri;79
Casape;17
Casaprota;13
Casperia;32
Cassino;1132
Castel Di Tora;9
Castel Gandolfo;248
Castel Madama;217
Castel San Pietro Romano;27
Castel Sant'Angelo;35
Castel Sant'Elia;74
Castelforte;146
Castelliri;113
Castelnuovo Di Farfa;20
Castelnuovo Di Porto;218
Castelnuovo Parano;25
Castiglione In Teverina;80
Castro Dei Volsci;122
Castrocielo;133
Cave;374
Ceccano;731
Celleno;35
Cellere;18
Ceprano;219
Cerreto Laziale;27
Cervara Di Roma;17
Cervaro;227
Cerveteri;996
Ciampino;1137
Ciciliano;33
Cineto Romano;11
Cisterna Di Latina;1276
Cittaducale;182
Cittareale;10
Civita Castellana;441
Civitavecchia;1464
Civitella D'Agliano;47
Civitella San Paolo;65
Colfelice;67
Collalto Sabino;13
Colle Di Tora;10
Colle San Magno;15
Colleferro;569
Collegiove;0
Collepardo;27
Collevecchio;35
Colli Sul Velino;8
Colonna;118
Concerviano;5
Configni;22
Contigliano;123
Corchiano;104
Coreno Ausonio;45
Cori;311
Cottanello;17
Esperia;121
Fabrica Di Roma;239
Faleria;55
Falvaterra;17
Fara In Sabina;415
Farnese;32
Ferentino;665
Fiamignano;34
Fiano Romano;534
Filacciano;7
Filettino;14
Fiuggi;290
Fiumicino;2616
Fondi;1412
Fontana Liri;94
Fonte Nuova;1126
Fontechiari;39
Forano;89
Formello;388
Formia;986
Frascati;656
Frasso Sabino;20
Frosinone;1304
Fumone;61
Gaeta;466
Gallese;77
Gallicano Nel Lazio;215
Gallinaro;30
Gavignano;61
Genazzano;165
Genzano Di Roma;660
Gerano;38
Giuliano Di Roma;77
Gorga;23
Gradoli;37
Graffignano;53
Greccio;45
Grottaferrata;495
Grotte Di Castro;78
Guarcino;59
Guidonia Montecelio;2825
Ischia Di Castro;64
Isola Del Liri;293
Itri;349
Jenne;4
Labico;214
Labro;8
Ladispoli;1166
Lanuvio;417
Lariano;466
Latera;24
Latina;3723
Lenola;117
Leonessa;55
Licenza;29
Longone Sabino;11
Lubriano;26
Maenza;110
Magliano Romano;42
Magliano Sabina;86
Mandela;23
Manziana;196
Marano Equo;23
Marcellina;251
Marcetelli;5
Marino;1720
Marta;98
Mazzano Romano;84
Mentana;745
Micigliano;5
Minturno;632
Mompeo;9
Montalto Di Castro;256
Montasola;9
Monte Porzio Catone;257
Monte Romano;48
