Argomento: Popolazione
Classi età: 35-39
Genere: Femmine
Anni¹: 2022


;2022
Montefiascone;385
Monteflavio;26
Montelanico;53
Monteleone Sabino;31
Montelibretti;142
Montenero Sabino;5
Monterosi;167
Monterotondo;1330
Montopoli Di Sabina;126
Montorio Romano;60
Moricone;78
Morlupo;244
Morolo;96
Morro Reatino;11
Nazzano;32
Nemi;52
Nepi;285
Nerola;49
Nespolo;1
Nettuno;1346
Norma;104
Olevano Romano;189
Onano;25
Oriolo Romano;92
Orte;250
Orvinio;10
Paganico;2
Palestrina;718
Paliano;239
Palombara Sabina;387
Pastena;36
Patrica;85
Percile;5
Pescorocchiano;58
Pescosolido;38
Petrella Salto;27
Piansano;56
Picinisco;32
Pico;61
Piedimonte San Germano;246
Piglio;125
Pignataro Interamna;75
Pisoniano;25
Pofi;96
Poggio Bustone;60
Poggio Catino;34
Poggio Mirteto;176
Poggio Moiano;84
Poggio Nativo;76
Poggio San Lorenzo;19
Poli;68
Pomezia;1896
Pontecorvo;371
Pontinia;506
Ponza;114
Ponzano Romano;32
Posta;7
Posta Fibreno;39
Pozzaglia Sabino;7
Priverno;437
Proceno;10
Prossedi;40
Riano;331
Rieti;1180
Rignano Flaminio;307
Riofreddo;16
Ripi;162
Rivodutri;22
Rocca Canterano;2
Rocca D'Arce;20
Rocca Di Cave;9
Rocca Di Papa;502
Rocca Massima;23
Rocca Priora;342
Rocca Santo Stefano;30
Rocca Sinibalda;16
Roccagiovine;6
Roccagorga;103
Roccantica;24
Roccasecca;194
Roccasecca Dei Volsci;19
Roiate;12
Roma;82497
Ronciglione;230
Roviano;39
Sabaudia;593
Sacrofano;197
Salisano;14
Sambuci;32
San Biagio Saracinisco;3
San Cesareo;541
San Donato Val Di Comino;56
San Felice Circeo;300
San Giorgio A Liri;93
San Giovanni Incarico;89
San Gregorio Da Sassola;40
San Lorenzo Nuovo;44
San Polo Dei Cavalieri;82
San Vito Romano;83
San Vittore Del Lazio;73
Sant'Ambrogio Sul Garigliano;23
Sant'Andrea Del Garigliano;33
Sant'Angelo Romano;125
Sant'Apollinare;63
Sant'Elia Fiumerapido;179
Sant'Oreste;97
Santa Marinella;501
Santi Cosma E Damiano;198
Santopadre;33
Saracinesco;3
Scandriglia;72
Segni;263
Selci;25
Sermoneta;344
Serrone;77
Settefrati;18
Sezze;701
Sgurgola;65
Sonnino;235
Sora;745
Soriano Nel Cimino;197
Sperlonga;87
Spigno Saturnia;77
Stimigliano;68
Strangolagalli;77
Subiaco;255
Supino;122
Sutri;170
Tarano;24
Tarquinia;450
Terelle;4
Terracina;1254
Tessennano;8
Tivoli;1674
Toffia;29
Tolfa;137
Torre Cajetani;39
Torri In Sabina;28
Torrice;130
Torricella In Sabina;26
Torrita Tiberina;39
Trevi Nel Lazio;44
Trevignano Romano;182
Trivigliano;55
Turania;4
Tuscania;239
Vacone;4
Valentano;88
Vallecorsa;63
Vallemaio;26
Vallepietra;3
Vallerano;72
Vallerotonda;30
Vallinfreda;7
Valmontone;556
Varco Sabino;4
Vasanello;147
Vejano;69
Velletri;1616
Ventotene;22
Veroli;615
Vetralla;408
Vicalvi;16
Vico Nel Lazio;68
Vicovaro;108
Vignanello;123
Villa Latina;40
Villa San Giovanni In Tuscia;36
Villa Santa Lucia;68
Villa Santo Stefano;53
Viterbo;2067
Viticuso;6
Vitorchiano;163
Vivaro Romano;3
Zagarolo;529

Fonte www.opensalutelazio.it
