Argomento: Popolazione
Classi età: 35-39
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;15
Acquafondata;10
Acquapendente;142
Acuto;46
Affile;49
Agosta;51
Alatri;868
Albano Laziale;1165
Allumiere;119
Alvito;63
Amaseno;130
Amatrice;45
Anagni;646
Anguillara Sabazia;526
Anticoli Corrado;22
Antrodoco;67
Anzio;1723
Aprilia;2286
Aquino;162
Arce;153
Arcinazzo Romano;28
Ardea;1397
Ariccia;499
Arlena Di Castro;18
Arnara;68
Arpino;181
Arsoli;33
Artena;459
Ascrea;4
Atina;116
Ausonia;73
Bagnoregio;102
Barbarano Romano;37
Bassano In Teverina;25
Bassano Romano;125
Bassiano;39
Bellegra;81
Belmonte Castello;24
Belmonte In Sabina;13
Blera;93
Bolsena;97
Bomarzo;60
Borbona;19
Borgo Velino;27
Borgorose;122
Boville Ernica;262
Bracciano;489
Broccostella;80
Calcata;29
Camerata Nuova;4
Campagnano Di Roma;307
Campodimele;19
Campoli Appennino;47
Canale Monterano;104
Canepina;76
Canino;128
Cantalice;77
Cantalupo In Sabina;43
Canterano;9
Capena;362
Capodimonte;41
Capranica;178
Capranica Prenestina;7
Caprarola;175
Carbognano;75
Carpineto Romano;101
Casalattico;11
Casalvieri;74
Casape;16
Casaprota;12
Casperia;29
Cassino;1033
Castel Di Tora;4
Castel Gandolfo;247
Castel Madama;230
Castel San Pietro Romano;31
Castel Sant'Angelo;35
Castel Sant'Elia;81
Castelforte;115
Castelliri;107
Castelnuovo Di Farfa;27
Castelnuovo Di Porto;259
Castelnuovo Parano;27
Castiglione In Teverina;58
Castro Dei Volsci;115
Castrocielo;125
Cave;363
Ceccano;718
Celleno;42
Cellere;19
Ceprano;221
Cerreto Laziale;34
Cervara Di Roma;8
Cervaro;222
Cerveteri;1016
Ciampino;1158
Ciciliano;35
Cineto Romano;12
Cisterna Di Latina;1106
Cittaducale;153
Cittareale;13
Civita Castellana;446
Civitavecchia;1502
Civitella D'Agliano;45
Civitella San Paolo;62
Colfelice;60
Collalto Sabino;6
Colle Di Tora;8
Colle San Magno;22
Colleferro;563
Collegiove;1
Collepardo;29
Collevecchio;37
Colli Sul Velino;8
Colonna;131
Concerviano;2
Configni;15
Contigliano;117
Corchiano;98
Coreno Ausonio;36
Cori;311
Cottanello;18
Esperia;107
Fabrica Di Roma;256
Faleria;62
Falvaterra;12
Fara In Sabina;419
Farnese;37
Ferentino;627
Fiamignano;30
Fiano Romano;541
Filacciano;12
Filettino;12
Fiuggi;279
Fiumicino;2657
Fondi;1206
Fontana Liri;104
Fonte Nuova;1094
Fontechiari;38
Forano;59
Formello;420
Formia;1036
Frascati;668
Frasso Sabino;16
Frosinone;1244
Fumone;65
Gaeta;486
Gallese;69
Gallicano Nel Lazio;225
Gallinaro;43
Gavignano;54
Genazzano;180
Genzano Di Roma;671
Gerano;33
Giuliano Di Roma;84
Gorga;24
Gradoli;21
Graffignano;50
Greccio;41
Grottaferrata;541
Grotte Di Castro;57
Guarcino;36
Guidonia Montecelio;2703
Ischia Di Castro;70
Isola Del Liri;290
Itri;319
Jenne;9
Labico;198
Labro;16
Ladispoli;1162
Lanuvio;409
Lariano;455
Latera;14
Latina;3658
Lenola;110
Leonessa;43
Licenza;28
Longone Sabino;11
Lubriano;19
Maenza;93
Magliano Romano;35
Magliano Sabina;101
Mandela;23
Manziana;227
Marano Equo;19
Marcellina;236
Marcetelli;1
Marino;1748
Marta;93
Mazzano Romano;75
Mentana;733
Micigliano;2
Minturno;594
Mompeo;10
Montalto Di Castro;258
Montasola;8
Monte Porzio Catone;248
Monte Romano;62
Monte San Biagio;196
Monte San Giovanni Campano;389
Monte San Giovanni In Sabina;13
Montebuono;14
Montecompatri;382
