Argomento: Popolazione
Classi età: 70-74
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;18
Acquafondata;12
Acquapendente;196
Acuto;64
Affile;46
Agosta;53
Alatri;805
Albano Laziale;1038
Allumiere;112
Alvito;87
Amaseno;134
Amatrice;90
Anagni;617
Anguillara Sabazia;477
Anticoli Corrado;32
Antrodoco;97
Anzio;1491
Aprilia;1716
Aquino;203
Arce;185
Arcinazzo Romano;42
Ardea;1160
Ariccia;534
Arlena Di Castro;32
Arnara;68
Arpino;213
Arsoli;43
Artena;327
Ascrea;11
Atina;108
Ausonia;84
Bagnoregio;102
Barbarano Romano;24
Bassano In Teverina;41
Bassano Romano;134
Bassiano;50
Bellegra;94
Belmonte Castello;30
Belmonte In Sabina;27
Blera;89
Bolsena;152
Bomarzo;59
Borbona;26
Borgo Velino;37
Borgorose;128
Boville Ernica;238
Bracciano;414
Broccostella;66
Calcata;24
Camerata Nuova;16
Campagnano Di Roma;257
Campodimele;24
Campoli Appennino;62
Canale Monterano;106
Canepina;74
Canino;149
Cantalice;72
Cantalupo In Sabina;57
Canterano;14
Capena;200
Capodimonte;59
Capranica;183
Capranica Prenestina;11
Caprarola;165
Carbognano;58
Carpineto Romano;135
Casalattico;15
Casalvieri;81
Casape;23
Casaprota;25
Casperia;53
Cassino;1057
Castel Di Tora;7
Castel Gandolfo;217
Castel Madama;198
Castel San Pietro Romano;15
Castel Sant'Angelo;56
Castel Sant'Elia;57
Castelforte;144
Castelliri;111
Castelnuovo Di Farfa;45
Castelnuovo Di Porto;202
Castelnuovo Parano;21
Castiglione In Teverina;76
Castro Dei Volsci;148
Castrocielo;139
Cave;285
Ceccano;637
Celleno;51
Cellere;33
Ceprano;265
Cerreto Laziale;29
Cervara Di Roma;18
Cervaro;241
Cerveteri;944
Ciampino;955
Ciciliano;48
Cineto Romano;24
Cisterna Di Latina;933
Cittaducale;203
Cittareale;21
Civita Castellana;425
Civitavecchia;1316
Civitella D'Agliano;64
Civitella San Paolo;58
Colfelice;64
Collalto Sabino;21
Colle Di Tora;12
Colle San Magno;18
Colleferro;565
Collegiove;5
Collepardo;31
Collevecchio;56
Colli Sul Velino;18
Colonna;97
Concerviano;9
Configni;19
Contigliano;98
Corchiano;94
Coreno Ausonio;66
Cori;303
Cottanello;21
Esperia;162
Fabrica Di Roma;215
Faleria;64
Falvaterra;26
Fara In Sabina;362
Farnese;55
Ferentino;594
Fiamignano;54
Fiano Romano;347
Filacciano;18
Filettino;15
Fiuggi;303
Fiumicino;1668
Fondi;1060
Fontana Liri;86
Fonte Nuova;687
Fontechiari;39
Forano;103
Formello;287
Formia;1138
Frascati;565
Frasso Sabino;16
Frosinone;1217
Fumone;68
Gaeta;663
Gallese;87
Gallicano Nel Lazio;144
Gallinaro;40
Gavignano;57
Genazzano;146
Genzano Di Roma;657
Gerano;37
Giuliano Di Roma;91
Gorga;29
Gradoli;39
Graffignano;87
Greccio;53
Grottaferrata;503
Grotte Di Castro;89
Guarcino;59
Guidonia Montecelio;2012
Ischia Di Castro;70
Isola Del Liri;288
Itri;335
Jenne;14
Labico;143
Labro;9
Ladispoli;817
Lanuvio;347
Lariano;343
Latera;27
Latina;3328
Lenola;134
Leonessa;75
Licenza;28
Longone Sabino;28
Lubriano;33
Maenza;89
Magliano Romano;45
Magliano Sabina;133
Mandela;25
Manziana;216
Marano Equo;30
Marcellina;157
Marcetelli;2
Marino;1024
Marta;126
Mazzano Romano;104
Mentana;462
Micigliano;3
Minturno;605
Mompeo;21
Montalto Di Castro;250
Montasola;14
Monte Porzio Catone;258
Monte Romano;70
Monte San Biagio;196
Monte San Giovanni Campano;409
Monte San Giovanni In Sabina;29
Montebuono;34
Montecompatri;271
Montefiascone;408
Monteflavio;37
Montelanico;69
Monteleone Sabino;48
Montelibretti;129
Montenero Sabino;15
Monterosi;117
Monterotondo;846
Montopoli Di Sabina;129
Montorio Romano;43
Moricone;68
Morlupo;212
Morolo;90
Morro Reatino;12
Nazzano;31
Nemi;55
Nepi;268
Nerola;56
Nespolo;8
Nettuno;1184
Norma;95
Olevano Romano;168
Onano;35
Oriolo Romano;123
Orte;226
Orvinio;24
Paganico;4
Palestrina;500
Paliano;248
Palombara Sabina;329
Pastena;55
Patrica;91
Percile;7
Pescorocchiano;89
Pescosolido;46
Petrella Salto;43
Piansano;83
Picinisco;41
Pico;100
Piedimonte San Germano;160
Piglio;138
Pignataro Interamna;89
Pisoniano;24
Pofi;136
Poggio Bustone;72
Poggio Catino;37
Poggio Mirteto;168
Poggio Moiano;77
Poggio Nativo;73
Poggio San Lorenzo;21
Poli;64
Pomezia;1415
Pontecorvo;417
Pontinia;413
Ponza;107
Ponzano Romano;24
Posta;16
Posta Fibreno;38
Pozzaglia Sabino;10
Priverno;346
Proceno;15
Prossedi;39
Riano;240
Rieti;1320
Rignano Flaminio;240
Riofreddo;27
Ripi;155
Rivodutri;45
Rocca Canterano;18
Rocca D'Arce;36
Rocca Di Cave;15
Rocca Di Papa;419
Rocca Massima;28
Rocca Priora;318
Rocca Santo Stefano;28
Rocca Sinibalda;38
Roccagiovine;13
Roccagorga;121
Roccantica;18
Roccasecca;238
Roccasecca Dei Volsci;32
Roiate;29
Roma;63294
Ronciglione;243
Roviano;44
Sabaudia;576
Sacrofano;208
Salisano;20
Sambuci;39
San Biagio Saracinisco;11
San Cesareo;341
San Donato Val Di Comino;69
San Felice Circeo;280
San Giorgio A Liri;87
San Giovanni Incarico;113
San Gregorio Da Sassola;39
San Lorenzo Nuovo;79
San Polo Dei Cavalieri;80
San Vito Romano;77
San Vittore Del Lazio;74
Sant'Ambrogio Sul Garigliano;38
Sant'Andrea Del Garigliano;56
Sant'Angelo Romano;112
Sant'Apollinare;68
Sant'Elia Fiumerapido;201
Sant'Oreste;106
Santa Marinella;539
Santi Cosma E Damiano;207
Santopadre;34
Saracinesco;8
Scandriglia;109
Segni;259
Selci;43
Sermoneta;232
Serrone;97
Settefrati;27
Sezze;560
Sgurgola;72
Sonnino;199
Sora;695
Soriano Nel Cimino;261
Sperlonga;109
Spigno Saturnia;113
Stimigliano;55
Strangolagalli;66
Subiaco;259
Supino;150
Sutri;209
Tarano;36
Tarquinia;476
Terelle;14
Terracina;1309
Tessennano;18
Tivoli;1367
Toffia;28
Tolfa;139
Torre Cajetani;44
Torri In Sabina;38
Torrice;121
Torricella In Sabina;47
Torrita Tiberina;33
Trevi Nel Lazio;64
Trevignano Romano;200
Trivigliano;56
Turania;10
Tuscania;252
Vacone;9
Valentano;103
Vallecorsa;106
Vallemaio;23
Vallepietra;14
Vallerano;80
Vallerotonda;72
Vallinfreda;10
Valmontone;350
Varco Sabino;8
Vasanello;138
Vejano;71
Velletri;1378
Ventotene;19
Veroli;581
Vetralla;374
Vicalvi;16
Vico Nel Lazio;66
Vicovaro;103
Vignanello;144
Villa Latina;38
Villa San Giovanni In Tuscia;37
Villa Santa Lucia;72
Villa Santo Stefano;58
Viterbo;1772
Viticuso;12
Vitorchiano;108
Vivaro Romano;5
Zagarolo;418

Fonte www.opensalutelazio.it
