Argomento: Popolazione
Classi età: 60-64
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;25
Acquafondata;17
Acquapendente;183
Acuto;73
Affile;54
Agosta;61
Alatri;919
Albano Laziale;1195
Allumiere;128
Alvito;89
Amaseno;132
Amatrice;109
Anagni;662
Anguillara Sabazia;672
Anticoli Corrado;35
Antrodoco;96
Anzio;2020
Aprilia;2237
Aquino;160
Arce;197
Arcinazzo Romano;47
Ardea;1619
Ariccia;677
Arlena Di Castro;34
Arnara;82
Arpino;244
Arsoli;55
Artena;489
Ascrea;12
Atina;158
Ausonia;93
Bagnoregio;144
Barbarano Romano;52
Bassano In Teverina;50
Bassano Romano;172
Bassiano;66
Bellegra;118
Belmonte Castello;31
Belmonte In Sabina;17
Blera;116
Bolsena;159
Bomarzo;66
Borbona;26
Borgo Velino;37
Borgorose;175
Boville Ernica;321
Bracciano;617
Broccostella;109
Calcata;39
Camerata Nuova;15
Campagnano Di Roma;399
Campodimele;38
Campoli Appennino;53
Canale Monterano;169
Canepina;115
Canino;211
Cantalice;84
Cantalupo In Sabina;59
Canterano;22
Capena;359
Capodimonte;57
Capranica;211
Capranica Prenestina;15
Caprarola;192
Carbognano;81
Carpineto Romano;141
Casalattico;18
Casalvieri;83
Casape;27
Casaprota;24
Casperia;50
Cassino;1131
Castel Di Tora;9
Castel Gandolfo;290
Castel Madama;273
Castel San Pietro Romano;41
Castel Sant'Angelo;45
Castel Sant'Elia;108
Castelforte;140
Castelliri;118
Castelnuovo Di Farfa;48
Castelnuovo Di Porto;297
Castelnuovo Parano;32
Castiglione In Teverina;62
Castro Dei Volsci;126
Castrocielo;128
Cave;367
Ceccano;753
Celleno;47
Cellere;47
Ceprano;252
Cerreto Laziale;34
Cervara Di Roma;24
Cervaro;237
Cerveteri;1315
Ciampino;1205
Ciciliano;54
Cineto Romano;27
Cisterna Di Latina;1156
Cittaducale;208
Cittareale;23
Civita Castellana;495
Civitavecchia;1598
Civitella D'Agliano;57
Civitella San Paolo;80
Colfelice;69
Collalto Sabino;22
Colle Di Tora;5
Colle San Magno;24
Colleferro;714
Collegiove;7
Collepardo;53
Collevecchio;54
Colli Sul Velino;18
Colonna;124
Concerviano;13
Configni;24
Contigliano;104
Corchiano;134
Coreno Ausonio;57
Cori;343
Cottanello;21
Esperia;131
Fabrica Di Roma;278
Faleria;81
Falvaterra;19
Fara In Sabina;424
Farnese;42
Ferentino;716
Fiamignano;53
Fiano Romano;448
Filacciano;25
Filettino;28
Fiuggi;355
Fiumicino;2452
Fondi;1229
Fontana Liri;101
Fonte Nuova;923
Fontechiari;45
Forano;86
Formello;427
Formia;1181
Frascati;705
Frasso Sabino;31
Frosinone;1486
Fumone;76
Gaeta;654
Gallese;108
Gallicano Nel Lazio;203
Gallinaro;48
Gavignano;83
Genazzano;225
Genzano Di Roma;838
Gerano;52
Giuliano Di Roma;71
Gorga;28
Gradoli;51
Graffignano;78
Greccio;46
Grottaferrata;635
Grotte Di Castro;97
Guarcino;62
Guidonia Montecelio;2718
Ischia Di Castro;92
Isola Del Liri;391
Itri;355
Jenne;16
Labico;207
Labro;13
Ladispoli;1337
Lanuvio;449
Lariano;428
Latera;37
Latina;3806
Lenola;146
Leonessa;110
Licenza;35
Longone Sabino;24
Lubriano;37
Maenza;123
Magliano Romano;51
Magliano Sabina;127
Mandela;36
Manziana;281
Marano Equo;26
Marcellina;240
Marcetelli;5
Marino;1370
Marta;107
Mazzano Romano;108
Mentana;684
Micigliano;6
Minturno;718
Mompeo;15
Montalto Di Castro;293
Montasola;17
Monte Porzio Catone;284
Monte Romano;60
Monte San Biagio;204
Monte San Giovanni Campano;447
Monte San Giovanni In Sabina;24
Montebuono;29
Montecompatri;395
Montefiascone;472
Monteflavio;55
Montelanico;71
Monteleone Sabino;42
Montelibretti;185
Montenero Sabino;7
Monterosi;151
Monterotondo;1261
Montopoli Di Sabina;150
Montorio Romano;81
Moricone;86
Morlupo;347
Morolo;125
Morro Reatino;11
Nazzano;71
Nemi;82
Nepi;341
Nerola;63
Nespolo;11
Nettuno;1677
Norma;134
Olevano Romano;265
Onano;30
Oriolo Romano;143
Orte;279
Orvinio;16
Paganico;6
Palestrina;768
Paliano;289
Palombara Sabina;467
Pastena;52
Patrica;111
Percile;10
Pescorocchiano;82
Pescosolido;50
Petrella Salto;51
Piansano;84
Picinisco;41
Pico;106
Piedimonte San Germano;205
Piglio;176
Pignataro Interamna;90
Pisoniano;35
Pofi;151
Poggio Bustone;76
Poggio Catino;57
Poggio Mirteto;196
Poggio Moiano;97
Poggio Nativo;100
Poggio San Lorenzo;28
Poli;76
Pomezia;2062
Pontecorvo;405
Pontinia;414
Ponza;131
Ponzano Romano;47
Posta;31
Posta Fibreno;27
Pozzaglia Sabino;22
Priverno;484
Proceno;32
Prossedi;45
Riano;330
Rieti;1527
Rignano Flaminio;349
Riofreddo;25
Ripi;156
Rivodutri;41
Rocca Canterano;5
Rocca D'Arce;31
Rocca Di Cave;10
Rocca Di Papa;583
Rocca Massima;41
Rocca Priora;424
Rocca Santo Stefano;36
Rocca Sinibalda;39
Roccagiovine;14
Roccagorga;148
Roccantica;17
Roccasecca;258
Roccasecca Dei Volsci;37
Roiate;31
Roma;86580
Ronciglione;339
Roviano;39
Sabaudia;608
Sacrofano;258
Salisano;26
Sambuci;42
San Biagio Saracinisco;12
San Cesareo;479
San Donato Val Di Comino;80
San Felice Circeo;337
San Giorgio A Liri;110
San Giovanni Incarico;123
San Gregorio Da Sassola;62
San Lorenzo Nuovo;81
San Polo Dei Cavalieri;117
San Vito Romano;130
San Vittore Del Lazio;97
Sant'Ambrogio Sul Garigliano;34
Sant'Andrea Del Garigliano;33
Sant'Angelo Romano;176
Sant'Apollinare;71
Sant'Elia Fiumerapido;210
Sant'Oreste;138
Santa Marinella;638
Santi Cosma E Damiano;227
Santopadre;51
Saracinesco;11
Scandriglia;108
Segni;323
Selci;41
Sermoneta;298
Serrone;103
Settefrati;30
Sezze;790
Sgurgola;80
Sonnino;240
Sora;891
Soriano Nel Cimino;289
Sperlonga;136
Spigno Saturnia;82
Stimigliano;58
Strangolagalli;83
Subiaco;301
Supino;187
Sutri;274
Tarano;44
Tarquinia;566
Terelle;12
Terracina;1437
Tessennano;8
Tivoli;1791
Toffia;40
Tolfa;159
Torre Cajetani;45
Torri In Sabina;60
Torrice;142
Torricella In Sabina;50
Torrita Tiberina;38
Trevi Nel Lazio;85
Trevignano Romano;243
Trivigliano;56
Turania;14
