Argomento: Popolazione
Classi età: 0-4
Genere: Femmine
Anni¹: 2022


;2022
Cori;159
Cottanello;12
Esperia;84
Fabrica Di Roma;137
Faleria;28
Falvaterra;12
Fara In Sabina;244
Farnese;21
Ferentino;331
Fiamignano;11
Fiano Romano;344
Filacciano;5
Filettino;12
Fiuggi;151
Fiumicino;1579
Fondi;847
Fontana Liri;41
Fonte Nuova;721
Fontechiari;20
Forano;41
Formello;257
Formia;588
Frascati;375
Frasso Sabino;17
Frosinone;765
Fumone;28
Gaeta;277
Gallese;50
Gallicano Nel Lazio;122
Gallinaro;14
Gavignano;27
Genazzano;92
Genzano Di Roma;383
Gerano;14
Giuliano Di Roma;49
Gorga;15
Gradoli;13
Graffignano;29
Greccio;23
Grottaferrata;302
Grotte Di Castro;21
Guarcino;20
Guidonia Montecelio;1714
Ischia Di Castro;28
Isola Del Liri;132
Itri;178
Jenne;3
Labico;134
Labro;4
Ladispoli;647
Lanuvio;219
Lariano;252
Latera;7
Latina;2224
Lenola;62
Leonessa;28
Licenza;14
Longone Sabino;4
Lubriano;20
Maenza;49
Magliano Romano;26
Magliano Sabina;53
Mandela;10
Manziana;116
Marano Equo;9
Marcellina;159
Marcetelli;1
Marino;992
Marta;60
Mazzano Romano;43
Mentana;446
Micigliano;2
Minturno;376
Mompeo;2
Montalto Di Castro;131
Montasola;6
Monte Porzio Catone;137
Monte Romano;39
Monte San Biagio;98
Monte San Giovanni Campano;230
Monte San Giovanni In Sabina;6
Montebuono;9
Montecompatri;237
Montefiascone;203
Monteflavio;24
Montelanico;39
Monteleone Sabino;19
Montelibretti;87
Montenero Sabino;6
Monterosi;77
Monterotondo;764
Montopoli Di Sabina;59
Montorio Romano;33
Moricone;40
Morlupo;128
Morolo;69
Morro Reatino;2
Nazzano;25
Nemi;18
Nepi;158
Nerola;31
Nespolo;1
Nettuno;807
Norma;75
Olevano Romano;103
Onano;5
Oriolo Romano;49
Orte;161
Orvinio;9
Paganico;0
Palestrina;424
Paliano;121
Palombara Sabina;235
Pastena;21
Patrica;60
Percile;0
Pescorocchiano;27
Pescosolido;15
Petrella Salto;8
Piansano;16
Picinisco;16
Pico;35
Piedimonte San Germano;146
Piglio;70
Pignataro Interamna;49
Pisoniano;8
Pofi;66
Poggio Bustone;22
Poggio Catino;27
Poggio Mirteto;70
Poggio Moiano;53
Poggio Nativo;32
Poggio San Lorenzo;12
Poli;46
Pomezia;1193
Pontecorvo;221
Pontinia;341
Ponza;56
Ponzano Romano;25
Posta;4
Posta Fibreno;15
Pozzaglia Sabino;2
Priverno;260
Proceno;3
Prossedi;18
Riano;181
Rieti;639
Rignano Flaminio;192
Riofreddo;10
Ripi;85
Rivodutri;11
Rocca Canterano;8
Rocca D'Arce;12
Rocca Di Cave;5
Rocca Di Papa;311
Rocca Massima;18
Rocca Priora;213
Rocca Santo Stefano;12
Rocca Sinibalda;10
Roccagiovine;5
Roccagorga;73
Roccantica;8
Roccasecca;113
Roccasecca Dei Volsci;23
Roiate;9
Roma;48076
Ronciglione;107
Roviano;14
Sabaudia;343
Sacrofano;102
Salisano;5
Sambuci;14
San Biagio Saracinisco;4
San Cesareo;382
San Donato Val Di Comino;30
San Felice Circeo;164
San Giorgio A Liri;70
San Giovanni Incarico;52
San Gregorio Da Sassola;26
San Lorenzo Nuovo;18
San Polo Dei Cavalieri;54
San Vito Romano;39
San Vittore Del Lazio;43
Sant'Ambrogio Sul Garigliano;15
Sant'Andrea Del Garigliano;26
Sant'Angelo Romano;85
Sant'Apollinare;32
Sant'Elia Fiumerapido;82
Sant'Oreste;54
Santa Marinella;247
Santi Cosma E Damiano;141
Santopadre;12
Saracinesco;1
Scandriglia;65
Segni;130
Selci;19
Sermoneta;238
Serrone;43
Settefrati;10
Sezze;445
Sgurgola;47
Sonnino;152
Sora;376
Soriano Nel Cimino;114
Sperlonga;49
Spigno Saturnia;56
Stimigliano;27
Strangolagalli;42
Subiaco;127
Supino;76
Sutri;80
Tarano;19
Tarquinia;248
Terelle;1
Terracina;748
Tessennano;5
Tivoli;897
Toffia;21
Tolfa;71
Torre Cajetani;25
Torri In Sabina;16
Torrice;89
Torricella In Sabina;9
Torrita Tiberina;15
Trevi Nel Lazio;21
Trevignano Romano;89
Trivigliano;25
Turania;2
Tuscania;125
Vacone;1
Valentano;49
Vallecorsa;41
Vallemaio;15
Vallepietra;2
Vallerano;46
Vallerotonda;20
Vallinfreda;2
Valmontone;338
Varco Sabino;0
Vasanello;77
Vejano;35
Velletri;953
Ventotene;7
Veroli;370
Vetralla;209
Vicalvi;16
Vico Nel Lazio;41
Vicovaro;53
Vignanello;77
Villa Latina;10
Villa San Giovanni In Tuscia;8
Villa Santa Lucia;45
Villa Santo Stefano;29
Viterbo;1068
Viticuso;4
Vitorchiano;101
Vivaro Romano;1
Zagarolo;357

Fonte www.opensalutelazio.it
