Argomento: Popolazione
Classi età: 0-4
Genere: Femmine
Anni¹: 2022


;2022
Accumoli;3
Acquafondata;4
Acquapendente;80
Acuto;27
Affile;26
Agosta;37
Alatri;532
Albano Laziale;649
Allumiere;54
Alvito;38
Amaseno;81
Amatrice;27
Anagni;348
Anguillara Sabazia;332
Anticoli Corrado;15
Antrodoco;27
Anzio;1110
Aprilia;1578
Aquino;95
Arce;95
Arcinazzo Romano;15
Ardea;916
Ariccia;256
Arlena Di Castro;19
Arnara;33
Arpino;111
Arsoli;14
Artena;291
Ascrea;6
Atina;60
Ausonia;55
Bagnoregio;45
Barbarano Romano;15
Bassano In Teverina;14
Bassano Romano;55
Bassiano;19
Bellegra;39
Belmonte Castello;6
Belmonte In Sabina;13
Blera;38
Bolsena;44
Bomarzo;31
Borbona;5
Borgo Velino;10
Borgorose;59
Boville Ernica;172
Bracciano;270
Broccostella;52
Calcata;13
Camerata Nuova;1
Campagnano Di Roma;192
Campodimele;10
Campoli Appennino;31
Canale Monterano;74
Canepina;45
Canino;81
Cantalice;41
Cantalupo In Sabina;26
Canterano;4
Capena;235
Capodimonte;25
Capranica;119
Capranica Prenestina;4
Caprarola;93
Carbognano;41
Carpineto Romano;59
Casalattico;8
Casalvieri;35
Casape;5
Casaprota;5
Casperia;20
Cassino;638
Castel Di Tora;6
Castel Gandolfo;164
Castel Madama;135
Castel San Pietro Romano;9
Castel Sant'Angelo;15
Castel Sant'Elia;25
Castelforte;76
Castelliri;60
Castelnuovo Di Farfa;16
Castelnuovo Di Porto;147
Castelnuovo Parano;8
Castiglione In Teverina;43
Castro Dei Volsci;64
Castrocielo;69
Cave;221
Ceccano;398
Celleno;18
Cellere;8
Ceprano;106
Cerreto Laziale;23
Cervara Di Roma;8
Cervaro;136
Cerveteri;590
Ciampino;679
Ciciliano;13
Cineto Romano;7
Cisterna Di Latina;718
Cittaducale;92
Cittareale;3
Civita Castellana;192
Civitavecchia;820
Civitella D'Agliano;22
Civitella San Paolo;39
Colfelice;44
Collalto Sabino;3
Colle Di Tora;1
Colle San Magno;11
Colleferro;287
Collegiove;0
Collepardo;9
Collevecchio;19
Colli Sul Velino;2
Colonna;89
Concerviano;2
Configni;4
Contigliano;74
Corchiano;76
Coreno Ausonio;24
