Argomento: Popolazione
Classi età: 50-54
Genere: Maschi
Anni¹: 2022


;2022
Accumoli;28
Acquafondata;19
Acquapendente;199
Acuto;83
Affile;46
Agosta;63
Alatri;1085
Albano Laziale;1665
Allumiere;135
Alvito;87
Amaseno;155
Amatrice;93
Anagni;784
Anguillara Sabazia;852
Anticoli Corrado;25
Antrodoco;90
Anzio;2466
Aprilia;3051
Aquino;173
Arce;204
Arcinazzo Romano;51
Ardea;2386
Ariccia;753
Arlena Di Castro;29
Arnara;77
Arpino;247
Arsoli;56
Artena;612
Ascrea;6
Atina;154
Ausonia;87
Bagnoregio;131
Barbarano Romano;49
Bassano In Teverina;62
Bassano Romano;197
Bassiano;63
Bellegra;116
Belmonte Castello;22
Belmonte In Sabina;29
Blera;124
Bolsena;154
Bomarzo;68
Borbona;17
Borgo Velino;33
Borgorose;163
Boville Ernica;297
Bracciano;806
Broccostella;110
Calcata;41
Camerata Nuova;16
Campagnano Di Roma;472
Campodimele;18
Campoli Appennino;58
Canale Monterano;166
Canepina;124
Canino;203
Cantalice;109
Cantalupo In Sabina;71
Canterano;14
Capena;501
Capodimonte;68
Capranica;266
Capranica Prenestina;16
Caprarola;194
Carbognano;76
Carpineto Romano;169
Casalattico;21
Casalvieri;124
Casape;29
Casaprota;40
Casperia;51
Cassino;1349
Castel Di Tora;16
Castel Gandolfo;402
Castel Madama;305
Castel San Pietro Romano;47
Castel Sant'Angelo;40
Castel Sant'Elia;108
Castelforte;147
Castelliri;106
Castelnuovo Di Farfa;38
Castelnuovo Di Porto;394
Castelnuovo Parano;27
Castiglione In Teverina;97
Castro Dei Volsci;193
Castrocielo;149
Cave;438
Ceccano;882
Celleno;46
Cellere;40
Ceprano;302
Cerreto Laziale;45
Cervara Di Roma;24
Cervaro;328
Cerveteri;1786
Ciampino;1611
Ciciliano;46
Cineto Romano;34
Cisterna Di Latina;1458
Cittaducale;241
Cittareale;4
Civita Castellana;639
Civitavecchia;2111
Civitella D'Agliano;49
Civitella San Paolo;87
Colfelice;66
Collalto Sabino;20
Colle Di Tora;17
Colle San Magno;24
Colleferro;851
Collegiove;4
Collepardo;27
Collevecchio;66
Colli Sul Velino;17
Colonna;179
Concerviano;10
Configni;20
Contigliano;157
Corchiano;156
Coreno Ausonio;39
Cori;414
Cottanello;17
Esperia;117
Fabrica Di Roma;328
Faleria;74
Falvaterra;23
Fara In Sabina;546
Farnese;56
Ferentino;797
Fiamignano;46
Fiano Romano;699
Filacciano;24
Filettino;23
Fiuggi;439
Fiumicino;3745
Fondi;1588
Fontana Liri;104
Fonte Nuova;1348
Fontechiari;44
Forano;140
Formello;603
Formia;1428
Frascati;875
Frasso Sabino;32
Frosinone;1606
Fumone;78
Gaeta;765
Gallese;105
Gallicano Nel Lazio;315
Gallinaro;53
Gavignano;73
Genazzano;250
Genzano Di Roma;886
Gerano;43
Giuliano Di Roma;94
Gorga;28
Gradoli;53
Graffignano;84
Greccio;57
Grottaferrata;783
Grotte Di Castro;106
Guarcino;62
Guidonia Montecelio;3776
Ischia Di Castro;95
Isola Del Liri;419
Itri;400
Jenne;11
Labico;305
Labro;17
Ladispoli;1949
Lanuvio;554
Lariano;529
Latera;23
Latina;5371
Lenola;143
Leonessa;74
Licenza;31
Longone Sabino;19
Lubriano;30
Maenza;113
Magliano Romano;62
Magliano Sabina;127
Mandela;32
Manziana;352
Marano Equo;29
Marcellina;297
Marcetelli;2
Marino;1920
Marta;127
Mazzano Romano;135
Mentana;949
Micigliano;6
Minturno;754
Mompeo;17
Montalto Di Castro;384
Montasola;16
Monte Porzio Catone;348
Monte Romano;50
Monte San Biagio;234
Monte San Giovanni Campano;453
Monte San Giovanni In Sabina;24
Montebuono;41
Montecompatri;567
Montefiascone;527
Monteflavio;47
Montelanico;88
Monteleone Sabino;45
Montelibretti;221
Montenero Sabino;15
Monterosi;197
Monterotondo;1796
Montopoli Di Sabina;176
Montorio Romano;84
Moricone;97
Morlupo;336
Morolo;117
Morro Reatino;17
Nazzano;63
Nemi;78
Nepi;393
Nerola;86
Nespolo;12
Nettuno;1991
Norma;143
Olevano Romano;293
Onano;36
Oriolo Romano;153
Orte;396
Orvinio;22
Paganico;7
Palestrina;872
Paliano;335
Palombara Sabina;507
Pastena;43
Patrica;123
Percile;12
Pescorocchiano;64
Pescosolido;59
Petrella Salto;38
Piansano;62
Picinisco;41
Pico;104
Piedimonte San Germano;250
Piglio;168
Pignataro Interamna;81
Pisoniano;22
Pofi;141
Poggio Bustone;84
Poggio Catino;50
Poggio Mirteto;239
Poggio Moiano;105
Poggio Nativo;102
Poggio San Lorenzo;25
Poli;81
Pomezia;2857
Pontecorvo;438
Pontinia;572
Ponza;123
Ponzano Romano;59
Posta;18
Posta Fibreno;42
Pozzaglia Sabino;10
Priverno;499
Proceno;25
Prossedi;41
Riano;469
Rieti;1752
Rignano Flaminio;440
Riofreddo;21
Ripi;204
Rivodutri;42
Rocca Canterano;9
Rocca D'Arce;33
Rocca Di Cave;16
Rocca Di Papa;757
Rocca Massima;50
Rocca Priora;511
Rocca Santo Stefano;33
Rocca Sinibalda;43
Roccagiovine;7
Roccagorga;183
Roccantica;23
Roccasecca;256
Roccasecca Dei Volsci;53
Roiate;22
Roma;111588
Ronciglione;321
Roviano;53
Sabaudia;871
Sacrofano;350
Salisano;10
Sambuci;28
San Biagio Saracinisco;13
San Cesareo;711
San Donato Val Di Comino;64
San Felice Circeo;441
San Giorgio A Liri;102
San Giovanni Incarico;105
San Gregorio Da Sassola;50
San Lorenzo Nuovo;70
San Polo Dei Cavalieri;107
San Vito Romano;109
San Vittore Del Lazio;109
Sant'Ambrogio Sul Garigliano;41
Sant'Andrea Del Garigliano;44
Sant'Angelo Romano;211
Sant'Apollinare;60
Sant'Elia Fiumerapido;205
Sant'Oreste;125
Santa Marinella;805
Santi Cosma E Damiano;252
Santopadre;43
Saracinesco;7
Scandriglia;133
Segni;381
Selci;41
Sermoneta;403
Serrone;139
Settefrati;31
Sezze;966
Sgurgola;101
Sonnino;281
Sora;953
Soriano Nel Cimino;302
Sperlonga;138
Spigno Saturnia;104
Stimigliano;83
Strangolagalli;95
Subiaco;330
Supino;158
Sutri;272
Tarano;77
Tarquinia;625
Terelle;10
Terracina;1859
Tessennano;11
Tivoli;2297
Toffia;34
Tolfa;194
Torre Cajetani;33
Torri In Sabina;47
Torrice;192
Torricella In Sabina;64
Torrita Tiberina;38
Trevi Nel Lazio;64
Trevignano Romano;255
Trivigliano;76
Turania;11
Tuscania;327
Vacone;14
Valentano;98
Vallecorsa;69
Vallemaio;26
Vallepietra;8
Vallerano;93
Vallerotonda;57
Vallinfreda;18
Valmontone;626
Varco Sabino;8
Vasanello;147
Vejano;77
Velletri;2125
Ventotene;39
Veroli;815
Vetralla;517
Vicalvi;22
Vico Nel Lazio;82
Vicovaro;143
Vignanello;186
Villa Latina;45
Villa San Giovanni In Tuscia;46
Villa Santa Lucia;110
Villa Santo Stefano;59
Viterbo;2656
Viticuso;22
Vitorchiano;235
Vivaro Romano;4
Zagarolo;782

Fonte www.opensalutelazio.it
