Argomento: Popolazione
Classi età: ≥85
Genere: Maschi
Anni¹: 2022


;2022
Torricella In Sabina;25
Torrita Tiberina;11
Trevi Nel Lazio;31
Trevignano Romano;64
Trivigliano;20
Turania;3
Tuscania;95
Vacone;10
Valentano;37
Vallecorsa;62
Vallemaio;21
Vallepietra;10
Vallerano;45
Vallerotonda;29
Vallinfreda;8
Valmontone;133
Varco Sabino;6
Vasanello;30
Vejano;31
Velletri;551
Ventotene;9
Veroli;235
Vetralla;169
Vicalvi;20
Vico Nel Lazio;21
Vicovaro;37
Vignanello;55
Villa Latina;25
Villa San Giovanni In Tuscia;23
Villa Santa Lucia;33
Villa Santo Stefano;23
Viterbo;866
Viticuso;4
Vitorchiano;39
Vivaro Romano;5
Zagarolo;153

Fonte www.opensalutelazio.it
