Lanuvio;197
Lariano;177
Latera;11
Latina;1690
Lenola;75
Leonessa;32
Licenza;20
Longone Sabino;13
Lubriano;10
Maenza;50
Magliano Romano;21
Magliano Sabina;48
Mandela;11
Manziana;94
Marano Equo;7
Marcellina;103
Marcetelli;(*)
Marino;586
Marta;47
Mazzano Romano;52
Mentana;336
Micigliano;(*)
Minturno;365
Mompeo;11
Montalto Di Castro;110
Montasola;(*)
Monte Porzio Catone;135
Monte Romano;36
Monte San Biagio;116
Monte San Giovanni Campano;241
Monte San Giovanni In Sabina;13
Montebuono;16
Montecompatri;165
Montefiascone;170
Monteflavio;23
Montelanico;39
Monteleone Sabino;16
Montelibretti;93
Montenero Sabino;(*)
Monterosi;49
Monterotondo;557
Montopoli Di Sabina;64
Montorio Romano;34
Moricone;51
Morlupo;112
Morolo;57
Morro Reatino;0
Nazzano;24
Nemi;25
Nepi;117
Nerola;22
Nespolo;(*)
Nettuno;684
Norma;60
Olevano Romano;104
Onano;15
Oriolo Romano;52
Orte;103
Orvinio;8
Paganico;(*)
Palestrina;325
Paliano;127
Palombara Sabina;196
Pastena;27
Patrica;52
Percile;5
Pescorocchiano;30
Pescosolido;28
Petrella Salto;19
Piansano;33
Picinisco;22
Pico;52
Piedimonte San Germano;97
Piglio;82
Pignataro Interamna;54
Pisoniano;7
Pofi;86
Poggio Bustone;29
Poggio Catino;21
Poggio Mirteto;79
Poggio Moiano;39
Poggio Nativo;40
Poggio San Lorenzo;11
Poli;40
Pomezia;798
Pontecorvo;246
Pontinia;203
Ponza;54
Ponzano Romano;20
Posta;6
Posta Fibreno;25
Pozzaglia Sabino;(*)
Priverno;218
Proceno;6
Prossedi;24
Riano;126
Rieti;714
Rignano Flaminio;122
Riofreddo;14
Ripi;101
Rivodutri;20
Rocca Canterano;(*)
Rocca D'Arce;16
Rocca Di Cave;4
Rocca Di Papa;215
Rocca Massima;18
Rocca Priora;172
Rocca Santo Stefano;13
Rocca Sinibalda;13
Roccagiovine;0
Roccagorga;74
Roccantica;8
Roccasecca;121
Roccasecca Dei Volsci;27
Roiate;17
Roma;33593
Ronciglione;101
Roviano;29
Sabaudia;289
Sacrofano;80
Salisano;7
Sambuci;12
San Biagio Saracinisco;6
San Cesareo;226
San Donato Val Di Comino;44
San Felice Circeo;134
San Giorgio A Liri;48
San Giovanni Incarico;60
San Gregorio Da Sassola;24
San Lorenzo Nuovo;23
San Polo Dei Cavalieri;46
San Vito Romano;49
San Vittore Del Lazio;40
Sant'Ambrogio Sul Garigliano;17
Sant'Andrea Del Garigliano;35
Sant'Angelo Romano;59
Sant'Apollinare;29
Sant'Elia Fiumerapido;114
Sant'Oreste;68
Santa Marinella;229
Santi Cosma E Damiano;143
Santopadre;25
Saracinesco;(*)
Scandriglia;53
Segni;143
Selci;19
Sermoneta;128
Serrone;44
Settefrati;15
Sezze;320
Sgurgola;28
Sonnino;103
Sora;412
Soriano Nel Cimino;138
Sperlonga;62
Spigno Saturnia;50
Stimigliano;27
Strangolagalli;35
Subiaco;149
Supino;76
Sutri;97
Tarano;19
Tarquinia;266
Terelle;(*)
Terracina;675
Tessennano;5
Tivoli;816
Toffia;20
Tolfa;65
Torre Cajetani;17
Torri In Sabina;21
Torrice;62
Torricella In Sabina;20
Torrita Tiberina;15
Trevi Nel Lazio;35
Trevignano Romano;58
Trivigliano;26
Turania;4
Tuscania;117
Vacone;(*)
Valentano;42
Vallecorsa;50
Vallemaio;17
Vallepietra;7
Vallerano;25
Vallerotonda;26
Vallinfreda;5
Valmontone;235
Varco Sabino;(*)
Vasanello;73
Vejano;32
Velletri;795
Ventotene;6
Veroli;284
Vetralla;187
Vicalvi;7
Vico Nel Lazio;32
Vicovaro;69
Vignanello;67
Villa Latina;16
Villa San Giovanni In Tuscia;14
Villa Santa Lucia;51
Villa Santo Stefano;25
Viterbo;816
Viticuso;4
Vitorchiano;53
Vivaro Romano;(*)
Zagarolo;220
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza;
;
Fonte www.opensalutelazio.it;
