Lanuvio;95
Lariano;142
Latera;21
Latina;1384
Lenola;43
Leonessa;38
Licenza;8
Longone Sabino;9
Lubriano;7
Maenza;28
Magliano Romano;19
Magliano Sabina;46
Mandela;12
Manziana;74
Marano Equo;12
Marcellina;50
Marcetelli;(*)
Marino;367
Marta;36
Mazzano Romano;36
Mentana;181
Micigliano;(*)
Minturno;206
Mompeo;13
Montalto Di Castro;119
Montasola;(*)
Monte Porzio Catone;99
Monte Romano;27
Monte San Biagio;76
Monte San Giovanni Campano;141
Monte San Giovanni In Sabina;7
Montebuono;11
Montecompatri;115
Montefiascone;161
Monteflavio;13
Montelanico;24
Monteleone Sabino;16
Montelibretti;72
Montenero Sabino;9
Monterosi;40
Monterotondo;399
Montopoli Di Sabina;47
Montorio Romano;26
Moricone;26
Morlupo;70
Morolo;43
Morro Reatino;4
Nazzano;21
Nemi;21
Nepi;95
Nerola;25
Nespolo;(*)
Nettuno;476
Norma;34
Olevano Romano;83
Onano;7
Oriolo Romano;40
Orte;90
Orvinio;4
Paganico;(*)
Palestrina;206
Paliano;76
Palombara Sabina;134
Pastena;21
Patrica;22
Percile;7
Pescorocchiano;42
Pescosolido;17
Petrella Salto;22
Piansano;24
Picinisco;12
Pico;30
Piedimonte San Germano;53
Piglio;51
Pignataro Interamna;23
Pisoniano;13
Pofi;57
Poggio Bustone;25
Poggio Catino;10
Poggio Mirteto;78
Poggio Moiano;29
Poggio Nativo;34
Poggio San Lorenzo;5
Poli;18
Pomezia;560
Pontecorvo;115
Pontinia;170
Ponza;37
Ponzano Romano;13
Posta;10
Posta Fibreno;13
Pozzaglia Sabino;11
Priverno;160
Proceno;5
Prossedi;12
Riano;97
Rieti;575
Rignano Flaminio;88
Riofreddo;12
Ripi;65
Rivodutri;14
Rocca Canterano;4
Rocca D'Arce;15
Rocca Di Cave;5
Rocca Di Papa;125
Rocca Massima;16
Rocca Priora;137
Rocca Santo Stefano;13
Rocca Sinibalda;13
Roccagiovine;(*)
Roccagorga;65
Roccantica;12
Roccasecca;111
Roccasecca Dei Volsci;23
Roiate;8
Roma;30891
Ronciglione;93
Roviano;17
Sabaudia;224
Sacrofano;81
Salisano;6
Sambuci;5
San Biagio Saracinisco;(*)
San Cesareo;128
San Donato Val Di Comino;26
San Felice Circeo;132
San Giorgio A Liri;32
San Giovanni Incarico;34
San Gregorio Da Sassola;20
San Lorenzo Nuovo;28
San Polo Dei Cavalieri;27
San Vito Romano;33
San Vittore Del Lazio;27
Sant'Ambrogio Sul Garigliano;10
Sant'Andrea Del Garigliano;19
Sant'Angelo Romano;50
Sant'Apollinare;16
Sant'Elia Fiumerapido;63
Sant'Oreste;50
Santa Marinella;198
Santi Cosma E Damiano;72
Santopadre;22
Saracinesco;(*)
Scandriglia;45
Segni;101
Selci;21
Sermoneta;90
Serrone;39
Settefrati;5
Sezze;208
Sgurgola;24
Sonnino;79
Sora;289
Soriano Nel Cimino;96
Sperlonga;34
Spigno Saturnia;27
Stimigliano;20
Strangolagalli;37
Subiaco;93
Supino;42
Sutri;62
Tarano;18
Tarquinia;218
Terelle;6
Terracina;551
Tessennano;7
Tivoli;547
Toffia;17
Tolfa;54
Torre Cajetani;13
Torri In Sabina;20
Torrice;48
Torricella In Sabina;14
Torrita Tiberina;22
Trevi Nel Lazio;24
Trevignano Romano;72
Trivigliano;17
Turania;(*)
Tuscania;84
Vacone;(*)
Valentano;30
Vallecorsa;37
Vallemaio;11
Vallepietra;(*)
Vallerano;19
Vallerotonda;22
Vallinfreda;4
Valmontone;167
Varco Sabino;(*)
Vasanello;35
Vejano;29
Velletri;513
Ventotene;5
Veroli;224
Vetralla;169
Vicalvi;9
Vico Nel Lazio;22
Vicovaro;36
Vignanello;63
Villa Latina;13
Villa San Giovanni In Tuscia;24
Villa Santa Lucia;23
Villa Santo Stefano;11
Viterbo;681
Viticuso;(*)
Vitorchiano;24
Vivaro Romano;0
Zagarolo;156
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza;
;
Fonte www.opensalutelazio.it;
