Gruppo patologie: Dati di prevalenza Ipertensione;
Genere: Maschi;
Classi età: 55-59;
Indicatore: Numero assoluto;
Anni¹: 2022;
genere;man
classi_eta;"""55-59"""
AREA;2022
LAZIO;64503
ROMA;28847
ASL Roma 1;9501
ASL Roma 2;13887
ASL Roma 3;6303
ASL Roma 4;3793
ASL Roma 5;6183
ASL Roma 6;6695
ASL Frosinone;6068
ASL Latina;6545
ASL Rieti;2042
ASL Viterbo;3486
;
DISTRETTO;2022
;
ASL Roma 1, Distretto 01;1339
ASL Roma 1, Distretto 02;1334
ASL Roma 1, Distretto 03;2028
ASL Roma 1, Distretto 13;1365
ASL Roma 1, Distretto 14;2025
ASL Roma 1, Distretto 15;1410
ASL Roma 2, Distretto 04;2059
ASL Roma 2, Distretto 05;2687
ASL Roma 2, Distretto 06;2932
ASL Roma 2, Distretto 07;3087
ASL Roma 2, Distretto 08;1304
ASL Roma 2, Distretto 09;1818
ASL Roma 3, Municipio X;2575
ASL Roma 3, Municipio XI;1609
ASL Roma 3, Municipio XII;1275
ASL Roma 3, Fiumicino;844
ASL Roma 4, Distretto F1;908
ASL Roma 4, Distretto F2;1011
ASL Roma 4, Distretto F3;646
ASL Roma 4, Distretto F4;1228
ASL Roma 5, Distretto G1-Mentana-Monterotondo;1174
ASL Roma 5, Distretto G2-Guidonia;1625
ASL Roma 5, Distretto G3-Tivoli;1018
ASL Roma 5, Distretto G4-Subiaco;407
ASL Roma 5, Distretto G5-Palestrina;1029
ASL Roma 5, Distretto G6-Colleferro;930
ASL Roma 6, Distretto H1;1077
ASL Roma 6, Distretto H2;1198
ASL Roma 6, Distretto H3;916
ASL Roma 6, Distretto H4;1405
ASL Roma 6, Distretto H5;861
ASL Roma 6, Distretto H6;1238
ASL Viterbo, Distretto A;1017
ASL Viterbo, Distretto B;1021
ASL Viterbo, Distretto C;1448
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;1262
ASL Rieti, Distretto 2 - Salario-Mirtense;780
ASL Latina, Distretto 1 - Aprilia-Cisterna;1502
ASL Latina, Distretto 2 - Latina;1934
ASL Latina, Distretto 3 - Monti Lepini;634
ASL Latina, Distretto 4 - Fondi-Terracina;1224
ASL Latina, Distretto 5 - Formia-Gaeta;1251
ASL Frosinone, Distretto A - Alatri-Anagni;1128
