Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Morro Reatino;4
Nazzano;6
Nemi;5
Nepi;44
Nerola;6
Nespolo;(*)
Nettuno;234
Norma;17
Olevano Romano;32
Onano;7
Oriolo Romano;19
Orte;41
Orvinio;0
Paganico;0
Palestrina;99
Paliano;41
Palombara Sabina;68
Pastena;6
Patrica;13
Percile;0
Pescorocchiano;12
Pescosolido;9
Petrella Salto;(*)
Piansano;9
Picinisco;(*)
Pico;20
Piedimonte San Germano;34
Piglio;30
Pignataro Interamna;6
Pisoniano;(*)
Pofi;19
Poggio Bustone;12
Poggio Catino;8
Poggio Mirteto;26
Poggio Moiano;18
Poggio Nativo;15
Poggio San Lorenzo;(*)
Poli;17
Pomezia;241
Pontecorvo;78
Pontinia;72
Ponza;17
Ponzano Romano;5
Posta;(*)
Posta Fibreno;9
Pozzaglia Sabino;(*)
Priverno;57
Proceno;(*)
Prossedi;5
Riano;35
Rieti;199
Rignano Flaminio;38
Riofreddo;(*)
Ripi;15
Rivodutri;7
Rocca Canterano;0
Rocca D'Arce;6
Rocca Di Cave;4
Rocca Di Papa;67
Rocca Massima;5
Rocca Priora;50
Rocca Santo Stefano;6
Rocca Sinibalda;5
Roccagiovine;(*)
Roccagorga;16
Roccantica;4
Roccasecca;43
Roccasecca Dei Volsci;7
Roiate;(*)
Roma;9422
Ronciglione;34
Roviano;7
Sabaudia;83
Sacrofano;29
Salisano;(*)
Sambuci;7
San Biagio Saracinisco;0
San Cesareo;73
San Donato Val Di Comino;11
San Felice Circeo;60
San Giorgio A Liri;15
San Giovanni Incarico;27
San Gregorio Da Sassola;7
San Lorenzo Nuovo;7
San Polo Dei Cavalieri;13
San Vito Romano;23
San Vittore Del Lazio;15
Sant'Ambrogio Sul Garigliano;6
Sant'Andrea Del Garigliano;4
Sant'Angelo Romano;18
Sant'Apollinare;7
Sant'Elia Fiumerapido;33
Sant'Oreste;18
Santa Marinella;63
Santi Cosma E Damiano;34
Santopadre;6
Saracinesco;(*)
Scandriglia;15
Segni;35
Selci;(*)
Sermoneta;28
Serrone;15
Settefrati;(*)
Sezze;121
Sgurgola;9
Sonnino;24
Sora;92
Soriano Nel Cimino;48
Sperlonga;16
Spigno Saturnia;17
Stimigliano;11
Strangolagalli;11
Subiaco;33
Supino;27
Sutri;23
Tarano;5
Tarquinia;71
Terelle;6
Terracina;197
Tessennano;0
Tivoli;226
Toffia;8
Tolfa;25
Torre Cajetani;5
Torri In Sabina;(*)
Torrice;27
Torricella In Sabina;7
Torrita Tiberina;6
Trevi Nel Lazio;11
Trevignano Romano;22
Trivigliano;13
Turania;(*)
Tuscania;31
Vacone;(*)
Valentano;8
Vallecorsa;8
Vallemaio;7
Vallepietra;(*)
Vallerano;12
Vallerotonda;14
Vallinfreda;0
Valmontone;74
Varco Sabino;4
Vasanello;21
Vejano;7
Velletri;227
Ventotene;(*)
Veroli;83
Vetralla;59
Vicalvi;9
Vico Nel Lazio;11
Vicovaro;20
Vignanello;21
Villa Latina;6
Villa San Giovanni In Tuscia;(*)
Villa Santa Lucia;17
Villa Santo Stefano;6
Viterbo;247
Viticuso;(*)
Vitorchiano;15
Vivaro Romano;0
Zagarolo;70
(*)  n casi ≤ 3 Dato omesso per normativa sulla riservatezza

Fonte www.opensalutelazio.it
