Gruppo patologie: Dati di prevalenza Diabete ;tipo 2
Genere: Femmine
Classi età: ≥85
Indicatore: Numero assoluto
Anni¹: 2022


AREA;2022
LAZIO;19579
ROMA;9606
ASL Roma 1;3318
ASL Roma 2;4596
ASL Roma 3;1905
ASL Roma 4;1004
ASL Roma 5;1623
ASL Roma 6;1652
ASL Frosinone;1778
ASL Latina;1818
ASL Rieti;666
ASL Viterbo;1219

DISTRETTO;2022

ASL Roma 1, Distretto 01;542
ASL Roma 1, Distretto 02;495
ASL Roma 1, Distretto 03;690
ASL Roma 1, Distretto 13;476
ASL Roma 1, Distretto 14;670
ASL Roma 1, Distretto 15;445
ASL Roma 2, Distretto 04;647
ASL Roma 2, Distretto 05;1064
ASL Roma 2, Distretto 06;730
ASL Roma 2, Distretto 07;1138
ASL Roma 2, Distretto 08;517
ASL Roma 2, Distretto 09;500
ASL Roma 3, Municipio X;624
ASL Roma 3, Municipio XI;562
ASL Roma 3, Municipio XII;506
ASL Roma 3, Fiumicino;213
ASL Roma 4, Distretto F1;316
ASL Roma 4, Distretto F2;217
ASL Roma 4, Distretto F3;170
ASL Roma 4, Distretto F4;301
ASL Roma 5, Distretto G1-Mentana-Monterotondo;281
ASL Roma 5, Distretto G2-Guidonia;338
ASL Roma 5, Distretto G3-Tivoli;307
ASL Roma 5, Distretto G4-Subiaco;157
ASL Roma 5, Distretto G5-Palestrina;258
ASL Roma 5, Distretto G6-Colleferro;282
ASL Roma 6, Distretto H1;275
ASL Roma 6, Distretto H2;330
ASL Roma 6, Distretto H3;231
ASL Roma 6, Distretto H4;242
ASL Roma 6, Distretto H5;237
ASL Roma 6, Distretto H6;337
ASL Viterbo, Distretto A;447
ASL Viterbo, Distretto B;328
ASL Viterbo, Distretto C;444
ASL Rieti, Distretto 1-Rieti-Antrodoco-SElpidio;434
ASL Rieti, Distretto 2 - Salario-Mirtense;232
ASL Latina, Distretto 1 - Aprilia-Cisterna;354
ASL Latina, Distretto 2 - Latina;492
ASL Latina, Distretto 3 - Monti Lepini;184
ASL Latina, Distretto 4 - Fondi-Terracina;376
ASL Latina, Distretto 5 - Formia-Gaeta;412
ASL Frosinone, Distretto A - Alatri-Anagni;309
ASL Frosinone, Distretto B - Frosinone;601
ASL Frosinone, Distretto C - Sora;380
ASL Frosinone, Distretto D - Cassino - Pontecorvo;488

COMUNE;2022
Accumoli;8
Acquafondata;(*)
Acquapendente;25
Acuto;11
Affile;7
Agosta;9
Alatri;78
Albano Laziale;122
Allumiere;21
Alvito;10
Amaseno;14
Amatrice;20
Anagni;74
Anguillara Sabazia;49
Anticoli Corrado;5
Antrodoco;9
Anzio;156
Aprilia;211
Aquino;16
Arce;22
Arcinazzo Romano;6
Ardea;91
Ariccia;58
Arlena Di Castro;5
Arnara;8
Arpino;33
Arsoli;4
Artena;45
Ascrea;0
Atina;17
Ausonia;10
Bagnoregio;22
Barbarano Romano;6
Bassano In Teverina;(*)
Bassano Romano;18
Bassiano;6
Bellegra;12
Belmonte Castello;6
Belmonte In Sabina;0
Blera;16
Bolsena;20
Bomarzo;9
Borbona;6
Borgo Velino;10
Borgorose;18
Boville Ernica;31
Bracciano;73
Broccostella;5
Calcata;4
Camerata Nuova;(*)
Campagnano Di Roma;44
Campodimele;4
Campoli Appennino;6
Canale Monterano;15
Canepina;16
Canino;34
Cantalice;16
Cantalupo In Sabina;6
Canterano;0
Capena;25
Capodimonte;7
Capranica;39
Capranica Prenestina;(*)
Caprarola;11
Carbognano;10
Carpineto Romano;20
Casalattico;(*)
Casalvieri;9
Casape;4
Casaprota;7
Casperia;0
Cassino;124
Castel Di Tora;(*)
Castel Gandolfo;31
Castel Madama;28
Castel San Pietro Romano;(*)
Castel Sant'Angelo;8
Castel Sant'Elia;5
Castelforte;26
Castelliri;9
Castelnuovo Di Farfa;(*)
Castelnuovo Di Porto;21
Castelnuovo Parano;(*)
Castiglione In Teverina;9
Castro Dei Volsci;23
Castrocielo;23
Cave;25
Ceccano;81
Celleno;8
Cellere;5
Ceprano;29
Cerreto Laziale;(*)
Cervara Di Roma;(*)
Cervaro;30
Cerveteri;95
Ciampino;114
Ciciliano;8
Cineto Romano;6
Cisterna Di Latina;103
Cittaducale;18
Cittareale;6
Civita Castellana;74
Civitavecchia;220
Civitella D'Agliano;10
Civitella San Paolo;(*)
Colfelice;7
Collalto Sabino;4
Colle Di Tora;(*)
Colle San Magno;4
Colleferro;96
Collegiove;0
Collepardo;(*)
Collevecchio;8
Colli Sul Velino;5
Colonna;13
Concerviano;0
Configni;0
Contigliano;21
Corchiano;11
Coreno Ausonio;5
Cori;37
Cottanello;(*)
Esperia;28
Fabrica Di Roma;22
Faleria;12
Falvaterra;(*)
Fara In Sabina;41
Farnese;15
Ferentino;44
Fiamignano;5
Fiano Romano;35
Filacciano;5
Filettino;4
Fiuggi;30
Fiumicino;213
Fondi;122
Fontana Liri;7
Fonte Nuova;96
Fontechiari;5
Forano;16
Formello;36
Formia;153
Frascati;80
Frasso Sabino;6
Frosinone;138
Fumone;5
Gaeta;83
Gallese;8
Gallicano Nel Lazio;8
Gallinaro;4
Gavignano;9
Genazzano;25
Genzano Di Roma;71
Gerano;4
Giuliano Di Roma;4
Gorga;(*)
Gradoli;(*)
Graffignano;7
Greccio;13
Grottaferrata;67
Grotte Di Castro;13
Guarcino;6
Guidonia Montecelio;226
Ischia Di Castro;14
Isola Del Liri;60
Itri;31
Jenne;(*)
Labico;9
Labro;4
Ladispoli;122
Lanuvio;41
Lariano;38
Latera;5
Latina;378
Lenola;15
Leonessa;15
Licenza;6
Longone Sabino;(*)
Lubriano;6
Maenza;15
Magliano Romano;6
Magliano Sabina;19
Mandela;(*)
Manziana;23
Marano Equo;5
Marcellina;20
